timestamp, uuid, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/09 23:51:28.563, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.41 W
2026/09/09 23:51:28.768, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.41 W
2026/09/09 23:51:28.968, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.57 W
2026/09/09 23:51:29.169, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.57 W
2026/09/09 23:51:29.384, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.57 W
2026/09/09 23:51:29.585, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.57 W
2026/09/09 23:51:29.785, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.57 W
2026/09/09 23:51:29.986, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.33 W
2026/09/09 23:51:30.187, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.33 W
2026/09/09 23:51:30.388, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.33 W
2026/09/09 23:51:30.589, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.33 W
2026/09/09 23:51:30.790, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.33 W
2026/09/09 23:51:30.991, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.11 W
2026/09/09 23:51:31.193, GPU-c1cea8fb-09b9-7202-87aa-1f037396ba39, NVIDIA L40S, 46068 MiB, 23021 MiB, 0 %, 111.11 W
