context_id,source_index,questions,cells,source_characters,selected,reasons
a38d13377f754ca4beb5ed5cc9b5c1ec,25,6,78,1227,0,more_than_60_cells
054153aec5a8b7066b1083f3ec3515ed,26,6,24,1407,1,
90f27fce7bbbda3fa39e96667c98b8f0,27,6,21,2861,0,outside_declared_selection_scan
3e2109c375cbf670d40c77b22b430b20,28,6,33,1833,1,
8c6114af79ce7f7775b24ac57a2c7b64,30,6,78,3313,0,more_than_60_cells
616265ea38390d64cc296291b9de3fbc,31,6,12,1179,0,outside_declared_selection_scan
637fab7088ea6c78a5dba55f17e833bd,32,6,21,2089,0,outside_declared_selection_scan
c9a90a9fcd85be9a6c273b539cd53163,34,6,20,597,0,outside_declared_selection_scan
484d5ab2adc070a942f822421537bb3b,35,7,21,3006,0,question_count_not_six
d33382e9889d93bb77bc18a7d5c2358e,36,6,16,708,0,outside_declared_selection_scan
2f7d749e5b10203f268b5c1ef8f54a6b,37,6,40,982,0,outside_declared_selection_scan
28b843dd15fa99919296ccee8e2469ef,38,6,45,1803,1,
8c030fa477c7b599077d076bcb5b0e13,40,6,24,621,0,outside_declared_selection_scan
8c79671b7ad782c9d32167f2c04a1af5,41,6,56,1444,0,duplicate_public_definition
f1e5a9243865198ceddc74bd6a0b10b5,43,6,35,2748,0,outside_declared_selection_scan
293279f81a05c9d75adf2cc2ef06ec35,45,6,20,1185,0,outside_declared_selection_scan
9acc7faf491d7a0ed461977c9e5cbcbb,46,6,84,1260,0,more_than_60_cells
504d01c4bb83fc6d346c56fee69948cc,47,6,21,2739,0,outside_declared_selection_scan
0fa66bdde5dce465760cf558173d40c6,48,6,20,3405,0,outside_declared_selection_scan
23b98a2dfcb8b787448e527f00cffa9b,49,6,25,2290,0,outside_declared_selection_scan
5208576a85192612b24f629769981aa8,50,6,12,510,0,outside_declared_selection_scan
8b1c7617ae16b63840f3cfc52ea82824,51,6,27,1324,1,
832f8af1730c8f79e9d70fc20c3e9ed5,52,6,24,1341,1,
e451667af82b3c2c9542984300486ebd,53,6,30,2020,1,
