workload,agents,review_ticks,risk,policy,closure_penalty,study,planned_episodes,completed_episodes,total_loss,mean_loss,mean_loss_ci_low,mean_loss_ci_high,mean_loss_per_job,correct_jobs,incorrect_jobs,jobs,mean_incorrect_jobs,corrections,reviews_completed,review_utilization,initially_infeasible_expiries,zero_value_expiries,missed_opportunities,wrong_missed_opportunities,objective_missed_opportunities,mean_augmented_loss,dispatch_opportunities,competitive_dispatches,same_state_search_greedy_differences,same_state_search_edf_differences,analytical_search_choice_changes,pooled_search_choice_changes,max_agent_loss,max_agent_incorrect,mean_common_objective_0,mean_common_objective_4,mean_common_objective_8
competition,3,1,frozen,delay,0,objective,4,4,0.0,0.0,0.0,0.0,0.0,24,0,24,0.0,7,24,0.5,0,0,0,0,0,0.0,24,16,8,6,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,frozen,delay,4,objective,4,4,0.0,0.0,0.0,0.0,0.0,24,0,24,0.0,7,24,0.5,0,0,0,0,0,0.0,24,16,8,6,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,frozen,delay,8,objective,4,4,0.0,0.0,0.0,0.0,0.0,24,0,24,0.0,7,24,0.5,0,0,0,0,0,0.0,24,16,8,6,0,0,0.0,0,0.0,0.0,0.0
competition,3,2,frozen,delay,0,objective,4,4,16.0,4.0,4.0,4.0,0.6666666666666666,20,4,24,1.0,3,16,0.6666666666666666,0,0,8,4,8,4.0,16,14,3,5,3,0,4.0,1,4.0,8.0,12.0
competition,3,2,frozen,delay,4,objective,4,4,16.0,4.0,4.0,4.0,0.6666666666666666,20,4,24,1.0,4,16,0.6666666666666666,0,0,8,4,8,8.0,16,14,3,5,4,0,4.0,1,4.0,8.0,12.0
competition,3,2,frozen,delay,8,objective,4,4,16.0,4.0,4.0,4.0,0.6666666666666666,20,4,24,1.0,4,16,0.6666666666666666,0,0,8,4,8,12.0,16,14,3,5,4,0,4.0,1,4.0,8.0,12.0
larger,6,1,frozen,delay,0,objective,4,4,39.0,9.75,5.5,14.0,0.5416666666666666,71,1,72,0.25,15,56,0.5833333333333334,0,7,9,0,9,9.75,56,45,20,19,3,2,7.0,1,9.75,10.75,11.75
larger,6,1,frozen,delay,4,objective,4,4,39.0,9.75,3.5,16.0,0.5416666666666666,70,2,72,0.5,14,65,0.6770833333333334,0,3,4,1,7,11.75,65,53,28,22,9,2,7.0,1,9.75,11.75,13.75
larger,6,1,frozen,delay,8,objective,4,4,41.0,10.25,5.0,16.75,0.5694444444444444,71,1,72,0.25,17,67,0.6979166666666666,0,2,3,0,5,12.25,67,55,31,20,5,1,7.0,1,10.25,11.25,12.25
larger,6,2,frozen,delay,0,objective,4,4,92.0,23.0,9.5,37.75,1.2777777777777777,66,6,72,1.5,7,34,0.7083333333333333,3,7,28,5,28,23.0,34,26,6,11,8,0,17.0,1,23.0,29.0,35.0
larger,6,2,frozen,delay,4,objective,4,4,92.0,23.0,9.5,37.75,1.2777777777777777,66,6,72,1.5,7,34,0.7083333333333333,3,7,28,5,38,29.0,34,30,8,17,10,2,17.0,1,23.0,29.0,35.0
larger,6,2,frozen,delay,8,objective,4,4,94.0,23.5,9.5,37.5,1.3055555555555556,66,6,72,1.5,8,34,0.7083333333333333,2,7,29,5,38,35.5,34,30,10,17,12,1,18.0,1,23.5,29.5,35.5
