policy,pending_count,eligible_count,decisions,mean_seconds,p50_seconds,p95_seconds,max_seconds,mean_orders,max_orders
delay,0,0,282,5.990927312391024e-06,5.270354449748993e-06,9.437091648578642e-06,3.8139522075653076e-05,1.0,1
delay,1,0,22,9.116547351533717e-06,9.08970832824707e-06,1.1200364679098129e-05,1.594051718711853e-05,1.0,1
delay,1,1,68,1.8540934166487524e-05,1.7833895981311798e-05,2.7071312069892882e-05,6.044842302799225e-05,2.0,2
delay,2,1,9,1.9308800498644512e-05,2.057105302810669e-05,2.3711100220680235e-05,2.4652108550071716e-05,2.0,2
delay,2,2,88,2.8876100920818068e-05,2.8080306947231293e-05,4.007462412118911e-05,5.5870041251182556e-05,5.0,5
delay,3,1,4,2.7150847017765045e-05,2.484116703271866e-05,3.543710336089134e-05,3.693997859954834e-05,2.0,2
delay,3,2,24,3.0336125443379085e-05,2.900976687669754e-05,4.028128460049629e-05,5.064718425273895e-05,5.0,5
delay,3,3,104,5.844602576242043e-05,5.5419281125068665e-05,8.228430524468418e-05,0.0001698378473520279,16.0,16
delay,4,2,5,3.449581563472748e-05,3.788992762565613e-05,3.982968628406525e-05,4.029273986816406e-05,5.0,5
delay,4,3,7,6.821911249841963e-05,6.776861846446991e-05,9.807460010051726e-05,0.00010544061660766602,16.0,16
delay,4,4,40,0.00015442268922924996,0.00013389438390731812,0.00021780142560601234,0.0002668853849172592,65.0,65
delay,5,3,5,6.800331175327301e-05,7.033906877040863e-05,8.23579728603363e-05,8.277036249637604e-05,16.0,16
delay,5,4,16,0.0001635124208405614,0.0001601148396730423,0.00021116388961672783,0.00021549873054027557,65.0,65
delay,5,5,40,0.0008024352602660656,0.0006386144086718559,0.00123907933011651,0.001552412286400795,326.0,326
