kind,study,workload,agents,review_ticks,risk,left,right,primary,planned_pairs,completed_pairs,mean_loss_difference,ci_low,ci_high,left_wins,ties,left_losses,actual_order_differences,mean_incorrect_difference,incorrect_ci_low,incorrect_ci_high,mean_loss_per_job_difference,per_job_ci_low,per_job_ci_high,lower_loss_more_incorrect,lower_incorrect_higher_loss,common_objective_0_difference,common_objective_0_ci_low,common_objective_0_ci_high,common_objective_4_difference,common_objective_4_ci_low,common_objective_4_ci_high,common_objective_8_difference,common_objective_8_ci_low,common_objective_8_ci_high
duration,objective,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda0|objective,competition|a3|s1|frozen|delay|lambda0|objective,False,4,4,4.0,4.0,4.0,0,0,4,4,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,4.0,4.0,4.0,8.0,8.0,8.0,12.0,12.0,12.0
duration,objective,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda4|objective,competition|a3|s1|frozen|delay|lambda4|objective,False,4,4,4.0,4.0,4.0,0,0,4,4,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,4.0,4.0,4.0,8.0,8.0,8.0,12.0,12.0,12.0
duration,objective,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda8|objective,competition|a3|s1|frozen|delay|lambda8|objective,False,4,4,4.0,4.0,4.0,0,0,4,4,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,4.0,4.0,4.0,8.0,8.0,8.0,12.0,12.0,12.0
duration,objective,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda0|objective,larger|a6|s1|frozen|delay|lambda0|objective,False,4,4,13.25,4.0,24.5,0,0,4,4,1.25,0.5,2.0,0.7361111111111112,0.22222222222222224,1.3611111111111112,0,0,13.25,4.0,24.5,18.25,6.0,31.5,23.25,8.0,38.5
duration,objective,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda4|objective,larger|a6|s1|frozen|delay|lambda4|objective,False,4,4,13.25,6.0,24.75,0,0,4,4,1.0,0.25,1.75,0.7361111111111112,0.33333333333333337,1.375,0,0,13.25,6.0,24.75,17.25,8.0,31.75,21.25,9.0,38.75
duration,objective,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda8|objective,larger|a6|s1|frozen|delay|lambda8|objective,False,4,4,13.25,4.5,22.0,0,0,4,4,1.25,0.5,2.0,0.7361111111111112,0.25,1.222222222222222,0,0,13.25,4.5,22.0,18.25,6.5,30.0,23.25,8.5,38.0
objective,objective,competition,3,1,frozen,competition|a3|s1|frozen|delay|lambda4|objective,competition|a3|s1|frozen|delay|lambda0|objective,False,4,4,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
objective,objective,competition,3,1,frozen,competition|a3|s1|frozen|delay|lambda8|objective,competition|a3|s1|frozen|delay|lambda0|objective,False,4,4,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
objective,objective,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda4|objective,competition|a3|s2|frozen|delay|lambda0|objective,False,4,4,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
objective,objective,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda8|objective,competition|a3|s2|frozen|delay|lambda0|objective,False,4,4,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
objective,objective,larger,6,1,frozen,larger|a6|s1|frozen|delay|lambda4|objective,larger|a6|s1|frozen|delay|lambda0|objective,False,4,4,0.0,-2.25,2.75,2,1,1,4,0.25,0.0,0.75,-6.938893903907228e-18,-0.125,0.15277777777777776,0,0,0.0,-2.25,2.75,1.0,-2.25,5.75,2.0,-2.25,8.75
objective,objective,larger,6,1,frozen,larger|a6|s1|frozen|delay|lambda8|objective,larger|a6|s1|frozen|delay|lambda0|objective,False,4,4,0.5,-2.0,3.0,2,0,2,4,0.0,0.0,0.0,0.027777777777777825,-0.11111111111111106,0.16666666666666674,0,0,0.5,-2.0,3.0,0.5,-2.0,3.0,0.5,-2.0,3.0
objective,objective,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda4|objective,larger|a6|s2|frozen|delay|lambda0|objective,False,4,4,0.0,0.0,0.0,0,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
objective,objective,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda8|objective,larger|a6|s2|frozen|delay|lambda0|objective,False,4,4,0.5,-3.0,4.5,1,2,1,3,0.0,0.0,0.0,0.027777777777777735,-0.16666666666666674,0.24999999999999994,0,0,0.5,-3.0,4.5,0.5,-3.0,4.5,0.5,-3.0,4.5
