workload,agents,review_ticks,risk,policy,closure_penalty,agent_id,episodes,total_loss,mean_loss,p90_loss,max_loss,incorrect_jobs,mean_incorrect_jobs,max_incorrect_jobs
competition,3,1,frozen,delay,0,0,4,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,0,1,4,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,0,2,4,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,4,0,4,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,4,1,4,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,4,2,4,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,8,0,4,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,8,1,4,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,8,2,4,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,frozen,delay,0,0,4,4.0,1.0,2.8000000000000007,4.0,1,0.25,1
competition,3,2,frozen,delay,0,1,4,4.0,1.0,2.8000000000000007,4.0,1,0.25,1
competition,3,2,frozen,delay,0,2,4,8.0,2.0,4.0,4.0,2,0.5,1
competition,3,2,frozen,delay,4,0,4,4.0,1.0,2.8000000000000007,4.0,1,0.25,1
competition,3,2,frozen,delay,4,1,4,4.0,1.0,2.8000000000000007,4.0,1,0.25,1
competition,3,2,frozen,delay,4,2,4,8.0,2.0,4.0,4.0,2,0.5,1
competition,3,2,frozen,delay,8,0,4,4.0,1.0,2.8000000000000007,4.0,1,0.25,1
competition,3,2,frozen,delay,8,1,4,4.0,1.0,2.8000000000000007,4.0,1,0.25,1
competition,3,2,frozen,delay,8,2,4,8.0,2.0,4.0,4.0,2,0.5,1
larger,6,1,frozen,delay,0,0,4,0.0,0.0,0.0,0.0,1,0.25,1
larger,6,1,frozen,delay,0,1,4,15.0,3.75,5.4,6.0,0,0.0,0
larger,6,1,frozen,delay,0,2,4,5.0,1.25,3.500000000000001,5.0,0,0.0,0
larger,6,1,frozen,delay,0,3,4,6.0,1.5,3.0,3.0,0,0.0,0
larger,6,1,frozen,delay,0,4,4,6.0,1.5,3.4000000000000004,4.0,0,0.0,0
larger,6,1,frozen,delay,0,5,4,7.0,1.75,4.900000000000001,7.0,0,0.0,0
larger,6,1,frozen,delay,4,0,4,0.0,0.0,0.0,0.0,1,0.25,1
larger,6,1,frozen,delay,4,1,4,10.0,2.5,3.7,4.0,0,0.0,0
larger,6,1,frozen,delay,4,2,4,9.0,2.25,4.7,5.0,1,0.25,1
larger,6,1,frozen,delay,4,3,4,7.0,1.75,3.7,4.0,0,0.0,0
larger,6,1,frozen,delay,4,4,4,6.0,1.5,3.4000000000000004,4.0,0,0.0,0
larger,6,1,frozen,delay,4,5,4,7.0,1.75,4.900000000000001,7.0,0,0.0,0
larger,6,1,frozen,delay,8,0,4,0.0,0.0,0.0,0.0,1,0.25,1
larger,6,1,frozen,delay,8,1,4,13.0,3.25,3.7,4.0,0,0.0,0
larger,6,1,frozen,delay,8,2,4,6.0,1.5,4.200000000000001,6.0,0,0.0,0
larger,6,1,frozen,delay,8,3,4,10.0,2.5,5.4,6.0,0,0.0,0
larger,6,1,frozen,delay,8,4,4,5.0,1.25,3.1000000000000005,4.0,0,0.0,0
larger,6,1,frozen,delay,8,5,4,7.0,1.75,4.900000000000001,7.0,0,0.0,0
larger,6,2,frozen,delay,0,0,4,0.0,0.0,0.0,0.0,1,0.25,1
larger,6,2,frozen,delay,0,1,4,38.0,9.5,15.5,17.0,1,0.25,1
larger,6,2,frozen,delay,0,2,4,12.0,3.0,8.400000000000002,12.0,0,0.0,0
larger,6,2,frozen,delay,0,3,4,16.0,4.0,8.8,10.0,1,0.25,1
larger,6,2,frozen,delay,0,4,4,22.0,5.5,9.4,10.0,3,0.75,1
larger,6,2,frozen,delay,0,5,4,4.0,1.0,2.8000000000000007,4.0,0,0.0,0
larger,6,2,frozen,delay,4,0,4,0.0,0.0,0.0,0.0,1,0.25,1
larger,6,2,frozen,delay,4,1,4,38.0,9.5,15.5,17.0,1,0.25,1
larger,6,2,frozen,delay,4,2,4,12.0,3.0,8.400000000000002,12.0,0,0.0,0
larger,6,2,frozen,delay,4,3,4,16.0,4.0,8.8,10.0,1,0.25,1
larger,6,2,frozen,delay,4,4,4,22.0,5.5,9.4,10.0,3,0.75,1
larger,6,2,frozen,delay,4,5,4,4.0,1.0,2.8000000000000007,4.0,0,0.0,0
larger,6,2,frozen,delay,8,0,4,0.0,0.0,0.0,0.0,1,0.25,1
larger,6,2,frozen,delay,8,1,4,44.0,11.0,17.7,18.0,1,0.25,1
larger,6,2,frozen,delay,8,2,4,8.0,2.0,5.600000000000001,8.0,0,0.0,0
larger,6,2,frozen,delay,8,3,4,16.0,4.0,8.8,10.0,1,0.25,1
larger,6,2,frozen,delay,8,4,4,22.0,5.5,9.4,10.0,3,0.75,1
larger,6,2,frozen,delay,8,5,4,4.0,1.0,2.8000000000000007,4.0,0,0.0,0
