kind,study,workload,agents,review_ticks,risk,left,right,primary,planned_pairs,completed_pairs,mean_loss_difference,ci_low,ci_high,left_wins,ties,left_losses,actual_order_differences,mean_incorrect_difference,incorrect_ci_low,incorrect_ci_high,mean_loss_per_job_difference,per_job_ci_low,per_job_ci_high,lower_loss_more_incorrect,lower_incorrect_higher_loss,common_objective_0_difference,common_objective_0_ci_low,common_objective_0_ci_high,common_objective_4_difference,common_objective_4_ci_low,common_objective_4_ci_high,common_objective_8_difference,common_objective_8_ci_low,common_objective_8_ci_high
capacity,core,larger,6,1,frozen,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,False,4,4,10.5,5.75,17.75,0,0,4,4,1.25,0.25,2.5,0.2916666666666667,0.05555555555555558,0.638888888888889,0,0,10.5,5.75,17.75,15.5,8.5,27.0,20.5,10.0,37.0
capacity,core,larger,6,1,frozen,larger|a6|s1|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,False,4,4,17.25,9.0,29.25,0,0,4,4,0.75,0.0,1.5,0.5972222222222223,0.11111111111111113,1.2361111111111112,0,0,17.25,9.0,29.25,20.25,10.5,36.25,23.25,11.0,42.75
capacity,core,larger,6,1,frozen,larger|a6|s1|frozen|fcfs|lambda0,larger|a3|s1|frozen|fcfs|lambda0,False,4,4,18.5,11.25,24.5,0,0,4,4,1.5,1.0,2.0,0.6944444444444444,0.4722222222222221,0.9166666666666667,0,0,18.5,11.25,24.5,24.5,16.25,32.5,30.5,20.5,40.5
capacity,core,larger,6,1,frozen,larger|a6|s1|frozen|greedy|lambda0,larger|a3|s1|frozen|greedy|lambda0,False,4,4,14.0,10.0,17.5,0,0,4,4,1.25,1.0,1.75,0.375,0.1388888888888889,0.5833333333333334,0,0,14.0,10.0,17.5,19.0,14.25,22.25,24.0,18.75,28.0
capacity,core,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda0,larger|a3|s2|frozen|delay|lambda0,False,4,4,24.0,16.0,31.0,0,0,4,4,2.75,1.5,4.0,0.5833333333333335,-0.05555555555555547,1.2222222222222223,0,0,24.0,16.0,31.0,35.0,23.0,47.0,46.0,29.0,63.0
capacity,core,larger,6,2,frozen,larger|a6|s2|frozen|edf|lambda0,larger|a3|s2|frozen|edf|lambda0,False,4,4,27.75,16.5,37.75,0,0,4,4,2.75,1.5,4.25,0.5972222222222222,-0.4027777777777778,1.416666666666667,0,0,27.75,16.5,37.75,38.75,24.0,50.5,49.75,31.25,66.5
capacity,core,larger,6,2,frozen,larger|a6|s2|frozen|fcfs|lambda0,larger|a3|s2|frozen|fcfs|lambda0,False,4,4,27.0,15.5,37.5,0,0,4,4,3.0,1.5,4.5,0.8333333333333334,0.13888888888888884,1.3333333333333335,0,0,27.0,15.5,37.5,39.0,20.5,56.5,51.0,27.5,73.5
capacity,core,larger,6,2,frozen,larger|a6|s2|frozen|greedy|lambda0,larger|a3|s2|frozen|greedy|lambda0,False,4,4,25.75,15.5,36.0,0,0,4,4,3.25,2.0,4.5,0.638888888888889,0.16666666666666674,1.138888888888889,0,0,25.75,15.5,36.0,38.75,26.75,54.5,51.75,35.25,73.0
duration,core,competition,3,2,analytical,competition|a3|s2|analytical|delay|lambda0,competition|a3|s1|analytical|delay|lambda0,False,8,8,0.5,0.0,1.5,0,7,1,8,0.125,0.0,0.375,0.08333333333333333,0.0,0.25,0,0,0.5,0.0,1.5,1.0,0.0,3.0,1.5,0.0,4.5
duration,core,competition,3,2,analytical,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s1|analytical|greedy|lambda0,False,8,8,1.0,0.0,3.0,0,7,1,6,0.25,0.0,0.75,0.16666666666666666,0.0,0.5,0,0,1.0,0.0,3.0,2.0,0.0,6.0,3.0,0.0,9.0
duration,core,competition,3,2,frozen,competition|a3|s2|frozen|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,False,8,8,1.0,0.0,3.0,0,7,1,8,0.25,0.0,0.75,0.16666666666666666,0.0,0.5,0,0,1.0,0.0,3.0,2.0,0.0,6.0,3.0,0.0,9.0
duration,core,competition,3,2,frozen,competition|a3|s2|frozen|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,False,8,8,0.5,0.0,1.5,0,7,1,7,0.125,0.0,0.375,0.08333333333333333,0.0,0.25,0,0,0.5,0.0,1.5,1.0,0.0,3.0,1.5,0.0,4.5
duration,core,competition,3,2,pooled,competition|a3|s2|pooled|delay|lambda0,competition|a3|s1|pooled|delay|lambda0,False,8,8,1.0,0.0,3.0,0,7,1,8,0.25,0.0,0.75,0.16666666666666666,0.0,0.5,0,0,1.0,0.0,3.0,2.0,0.0,6.0,3.0,0.0,9.0
duration,core,competition,3,2,pooled,competition|a3|s2|pooled|greedy|lambda0,competition|a3|s1|pooled|greedy|lambda0,False,8,8,0.5,0.0,1.5,0,7,1,7,0.125,0.0,0.375,0.08333333333333333,0.0,0.25,0,0,0.5,0.0,1.5,1.0,0.0,3.0,1.5,0.0,4.5
duration,core,larger,3,2,frozen,larger|a3|s2|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,False,4,4,8.25,3.25,12.0,0,0,4,4,1.0,0.25,1.75,0.9166666666666667,0.36111111111111116,1.3333333333333335,0,0,8.25,3.25,12.0,12.25,4.25,19.0,16.25,5.25,26.0
duration,core,larger,3,2,frozen,larger|a3|s2|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,False,4,4,10.5,4.0,17.5,0,0,4,4,1.25,0.5,2.0,1.1666666666666667,0.4444444444444444,1.9444444444444446,0,0,10.5,4.0,17.5,15.5,6.0,25.0,20.5,8.0,33.0
duration,core,larger,3,2,frozen,larger|a3|s2|frozen|fcfs|lambda0,larger|a3|s1|frozen|fcfs|lambda0,False,4,4,6.0,2.0,10.0,0,0,4,4,0.75,0.0,1.5,0.6666666666666667,0.22222222222222218,1.1111111111111112,0,0,6.0,2.0,10.0,9.0,2.0,16.0,12.0,2.0,22.0
duration,core,larger,3,2,frozen,larger|a3|s2|frozen|greedy|lambda0,larger|a3|s1|frozen|greedy|lambda0,False,4,4,7.0,4.25,9.25,0,0,4,4,0.5,0.0,1.0,0.7777777777777777,0.47222222222222215,1.0277777777777777,0,0,7.0,4.25,9.25,9.0,5.0,13.25,11.0,5.5,17.25
duration,core,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda0,larger|a6|s1|frozen|delay|lambda0,False,4,4,21.75,15.75,26.0,0,0,4,4,2.5,2.0,3.0,1.2083333333333335,0.875,1.4444444444444444,0,0,21.75,15.75,26.0,31.75,24.75,37.5,41.75,33.75,49.5
duration,core,larger,6,2,frozen,larger|a6|s2|frozen|edf|lambda0,larger|a6|s1|frozen|edf|lambda0,False,4,4,21.0,15.0,26.0,0,0,4,4,3.25,2.5,4.0,1.1666666666666665,0.8333333333333333,1.4444444444444446,0,0,21.0,15.0,26.0,34.0,24.0,42.0,47.0,34.0,57.0
duration,core,larger,6,2,frozen,larger|a6|s2|frozen|fcfs|lambda0,larger|a6|s1|frozen|fcfs|lambda0,False,4,4,14.5,7.5,19.5,0,0,4,4,2.25,1.5,3.0,0.8055555555555556,0.4166666666666666,1.0833333333333335,0,0,14.5,7.5,19.5,23.5,13.5,31.5,32.5,19.5,43.5
duration,core,larger,6,2,frozen,larger|a6|s2|frozen|greedy|lambda0,larger|a6|s1|frozen|greedy|lambda0,False,4,4,18.75,9.75,28.5,0,0,4,4,2.5,1.5,3.5,1.0416666666666665,0.5416666666666666,1.5833333333333333,0,0,18.75,9.75,28.5,28.75,16.75,39.5,38.75,23.75,53.0
duration,core,original,3,2,analytical,original|a3|s2|analytical|delay|lambda0,original|a3|s1|analytical|delay|lambda0,False,8,8,5.0,0.75,11.0,0,4,4,5,0.5,0.0,1.375,0.8333333333333334,0.12499999999999999,1.8333333333333335,0,0,5.0,0.75,11.0,7.0,1.25,16.0,9.0,1.375,21.0
duration,core,original,3,2,analytical,original|a3|s2|analytical|greedy|lambda0,original|a3|s1|analytical|greedy|lambda0,False,8,8,3.625,0.375,8.0,0,5,3,5,0.25,0.0,0.75,0.6041666666666667,0.062499999999999986,1.3333333333333335,0,0,3.625,0.375,8.0,4.625,0.375,10.625,5.625,0.375,13.625
duration,core,original,3,2,frozen,original|a3|s2|frozen|delay|lambda0,original|a3|s1|frozen|delay|lambda0,False,8,8,5.0,0.75,11.0,0,4,4,5,0.625,0.125,1.375,0.8333333333333334,0.12499999999999999,1.8333333333333335,0,0,5.0,0.75,11.0,7.5,1.25,16.875,10.0,1.75,22.375
duration,core,original,3,2,frozen,original|a3|s2|frozen|greedy|lambda0,original|a3|s1|frozen|greedy|lambda0,False,8,8,3.625,0.375,8.0,0,5,3,5,0.375,0.0,0.875,0.6041666666666667,0.062499999999999986,1.3333333333333335,0,0,3.625,0.375,8.0,5.125,0.375,11.5,6.625,0.375,15.0
duration,core,original,3,2,pooled,original|a3|s2|pooled|delay|lambda0,original|a3|s1|pooled|delay|lambda0,False,8,8,5.0,0.75,11.0,0,4,4,6,0.625,0.125,1.375,0.8333333333333334,0.12499999999999999,1.8333333333333335,0,0,5.0,0.75,11.0,7.5,1.25,16.875,10.0,1.75,22.375
duration,core,original,3,2,pooled,original|a3|s2|pooled|greedy|lambda0,original|a3|s1|pooled|greedy|lambda0,False,8,8,3.625,0.375,8.0,0,5,3,5,0.375,0.0,0.875,0.6041666666666667,0.062499999999999986,1.3333333333333335,0,0,3.625,0.375,8.0,5.125,0.375,11.5,6.625,0.375,15.0
