workload,agents,review_ticks,risk,policy,closure_penalty,study,planned_episodes,completed_episodes,total_loss,mean_loss,mean_loss_ci_low,mean_loss_ci_high,mean_loss_per_job,correct_jobs,incorrect_jobs,jobs,mean_incorrect_jobs,corrections,reviews_completed,review_utilization,initially_infeasible_expiries,zero_value_expiries,missed_opportunities,wrong_missed_opportunities,objective_missed_opportunities,mean_augmented_loss,dispatch_opportunities,competitive_dispatches,same_state_search_greedy_differences,same_state_search_edf_differences,analytical_search_choice_changes,pooled_search_choice_changes,max_agent_loss,max_agent_incorrect,mean_common_objective_0,mean_common_objective_4,mean_common_objective_8
competition,3,1,analytical,delay,0,core,8,8,0.0,0.0,0.0,0.0,0.0,48,0,48,0.0,6,48,0.5,0,0,0,0,0,0.0,48,32,19,11,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,analytical,greedy,0,core,8,8,0.0,0.0,0.0,0.0,0.0,48,0,48,0.0,6,41,0.4270833333333333,0,0,7,0,7,0.0,41,32,19,7,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,frozen,delay,0,core,8,8,0.0,0.0,0.0,0.0,0.0,48,0,48,0.0,6,48,0.5,0,0,0,0,0,0.0,48,32,17,11,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,frozen,greedy,0,core,8,8,4.0,0.5,0.0,1.5,0.08333333333333333,47,1,48,0.125,6,41,0.42708333333333326,0,0,7,1,7,0.5,41,32,20,7,0,0,4.0,1,0.5,1.0,1.5
competition,3,1,pooled,delay,0,core,8,8,0.0,0.0,0.0,0.0,0.0,48,0,48,0.0,6,48,0.5,0,0,0,0,0,0.0,48,32,17,11,0,0,0.0,0,0.0,0.0,0.0
competition,3,1,pooled,greedy,0,core,8,8,4.0,0.5,0.0,1.5,0.08333333333333333,47,1,48,0.125,5,41,0.42708333333333326,0,0,7,1,7,0.5,41,32,20,7,0,0,4.0,1,0.5,1.0,1.5
competition,3,2,analytical,delay,0,core,8,8,4.0,0.5,0.0,1.5,0.08333333333333333,47,1,48,0.125,5,32,0.6666666666666666,0,0,16,1,16,0.5,32,25,8,12,2,0,4.0,1,0.5,1.0,1.5
competition,3,2,analytical,greedy,0,core,8,8,8.0,1.0,0.0,3.0,0.16666666666666666,46,2,48,0.25,4,32,0.6666666666666666,0,0,16,2,16,1.0,32,20,8,9,2,0,4.0,1,1.0,2.0,3.0
competition,3,2,frozen,delay,0,core,8,8,8.0,1.0,0.0,3.0,0.16666666666666666,46,2,48,0.25,4,32,0.6666666666666666,0,0,16,2,16,1.0,32,25,6,13,3,0,4.0,1,1.0,2.0,3.0
competition,3,2,frozen,greedy,0,core,8,8,8.0,1.0,0.0,3.0,0.16666666666666666,46,2,48,0.25,4,32,0.6666666666666666,0,0,16,2,16,1.0,32,21,6,10,2,0,4.0,1,1.0,2.0,3.0
