kind,study,workload,seed,left,right,review_ticks,risk,agents,loss_difference,incorrect_difference,loss_per_job_difference,lower_bound,upper_bound,paired_jobs,primary_action_differences,secondary_action_differences,different_observations,identical_request_primary_differences
capacity,core,larger,408,larger|a6|s2|frozen|greedy|lambda0,larger|a3|s2|frozen|greedy|lambda0,2,frozen,6,30.0,2,0.7777777777777777,30.0,30.0,9,0,0,0,0
capacity,core,larger,409,larger|a6|s2|frozen|greedy|lambda0,larger|a3|s2|frozen|greedy|lambda0,2,frozen,6,16.0,4,0.22222222222222232,16.0,16.0,9,0,0,3,0
capacity,core,larger,410,larger|a6|s2|frozen|greedy|lambda0,larger|a3|s2|frozen|greedy|lambda0,2,frozen,6,15.0,2,0.11111111111111116,15.0,15.0,9,0,1,4,0
capacity,core,larger,411,larger|a6|s2|frozen|greedy|lambda0,larger|a3|s2|frozen|greedy|lambda0,2,frozen,6,42.0,5,1.4444444444444446,42.0,42.0,9,0,0,2,0
duration,core,competition,400,competition|a3|s2|analytical|delay|lambda0,competition|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,401,competition|a3|s2|analytical|delay|lambda0,competition|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,402,competition|a3|s2|analytical|delay|lambda0,competition|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,403,competition|a3|s2|analytical|delay|lambda0,competition|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,404,competition|a3|s2|analytical|delay|lambda0,competition|a3|s1|analytical|delay|lambda0,2,analytical,3,4.0,1,0.6666666666666666,4.0,4.0,6,0,0,2,0
duration,core,competition,405,competition|a3|s2|analytical|delay|lambda0,competition|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,406,competition|a3|s2|analytical|delay|lambda0,competition|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,407,competition|a3|s2|analytical|delay|lambda0,competition|a3|s1|analytical|delay|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,400,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,401,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,402,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,403,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,404,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s1|analytical|greedy|lambda0,2,analytical,3,8.0,2,1.3333333333333333,8.0,8.0,6,0,0,3,0
duration,core,competition,405,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,406,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,407,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s1|analytical|greedy|lambda0,2,analytical,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,400,competition|a3|s2|frozen|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,401,competition|a3|s2|frozen|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,402,competition|a3|s2|frozen|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,403,competition|a3|s2|frozen|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,404,competition|a3|s2|frozen|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,2,frozen,3,8.0,2,1.3333333333333333,8.0,8.0,6,0,0,2,0
duration,core,competition,405,competition|a3|s2|frozen|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,406,competition|a3|s2|frozen|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,407,competition|a3|s2|frozen|delay|lambda0,competition|a3|s1|frozen|delay|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,400,competition|a3|s2|frozen|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,401,competition|a3|s2|frozen|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,402,competition|a3|s2|frozen|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,403,competition|a3|s2|frozen|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,404,competition|a3|s2|frozen|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,2,frozen,3,4.0,1,0.6666666666666666,4.0,4.0,6,0,0,3,0
duration,core,competition,405,competition|a3|s2|frozen|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,406,competition|a3|s2|frozen|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,1,0,3,1
duration,core,competition,407,competition|a3|s2|frozen|greedy|lambda0,competition|a3|s1|frozen|greedy|lambda0,2,frozen,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,400,competition|a3|s2|pooled|delay|lambda0,competition|a3|s1|pooled|delay|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,401,competition|a3|s2|pooled|delay|lambda0,competition|a3|s1|pooled|delay|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,402,competition|a3|s2|pooled|delay|lambda0,competition|a3|s1|pooled|delay|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,403,competition|a3|s2|pooled|delay|lambda0,competition|a3|s1|pooled|delay|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
duration,core,competition,404,competition|a3|s2|pooled|delay|lambda0,competition|a3|s1|pooled|delay|lambda0,2,pooled,3,8.0,2,1.3333333333333333,8.0,8.0,6,0,0,2,0
duration,core,competition,405,competition|a3|s2|pooled|delay|lambda0,competition|a3|s1|pooled|delay|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,406,competition|a3|s2|pooled|delay|lambda0,competition|a3|s1|pooled|delay|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,3,0
duration,core,competition,407,competition|a3|s2|pooled|delay|lambda0,competition|a3|s1|pooled|delay|lambda0,2,pooled,3,0.0,0,0.0,0.0,0.0,6,0,0,2,0
