policy,pending_count,eligible_count,decisions,mean_seconds,p50_seconds,p95_seconds,max_seconds,mean_orders,max_orders
delay,0,0,637,5.222675704881198e-06,4.6603381633758545e-06,8.64267349243164e-06,8.874014019966125e-05,1.0,1
delay,1,0,106,7.951245555337869e-06,8.005648851394653e-06,1.1408701539039612e-05,1.4159828424453735e-05,1.0,1
delay,1,1,154,1.7803174431447858e-05,1.7235055565834045e-05,2.548322081565856e-05,0.00010533072054386139,2.0,2
delay,2,0,5,8.885562419891357e-06,8.7786465883255e-06,9.768828749656678e-06,9.911134839057922e-06,1.0,1
delay,2,1,47,1.796029825159844e-05,1.7100945115089417e-05,2.4257414042949674e-05,2.5080516934394836e-05,2.0,2
delay,2,2,168,2.7852443357308705e-05,2.6434659957885742e-05,4.0042493492364886e-05,6.186030805110931e-05,5.0,5
delay,3,1,13,1.8462681999573342e-05,1.7100945115089417e-05,2.542696893215179e-05,2.6321038603782654e-05,2.0,2
delay,3,2,18,3.116619255807665e-05,3.0248425900936127e-05,4.330892115831372e-05,5.980953574180603e-05,5.0,5
delay,3,3,125,5.82771897315979e-05,5.1349401473999023e-05,8.220374584197997e-05,0.00022428855299949646,16.0,16
delay,4,1,1,1.9140541553497314e-05,1.9140541553497314e-05,1.9140541553497314e-05,1.9140541553497314e-05,2.0,2
delay,4,2,1,2.572685480117798e-05,2.572685480117798e-05,2.572685480117798e-05,2.572685480117798e-05,5.0,5
delay,4,3,10,5.223844200372696e-05,5.180761218070984e-05,6.138058379292488e-05,6.210058927536011e-05,16.0,16
delay,4,4,8,0.00015657604672014713,0.00014124345034360886,0.00021573081612586973,0.00022540800273418427,65.0,65
delay,5,2,1,2.576969563961029e-05,2.576969563961029e-05,2.576969563961029e-05,2.576969563961029e-05,5.0,5
delay,5,3,1,4.209950566291809e-05,4.209950566291809e-05,4.209950566291809e-05,4.209950566291809e-05,16.0,16
delay,5,4,6,0.00015763317545255026,0.0001535685732960701,0.0002053258940577507,0.00021034851670265198,65.0,65
delay,5,5,11,0.0009025721387429671,0.0010094977915287018,0.0011671874672174454,0.0011788364499807358,326.0,326
edf,0,0,154,5.240261845000379e-06,4.655681550502777e-06,8.958950638771057e-06,1.1207535862922668e-05,0.0,0
edf,1,0,7,1.1204076664788382e-05,1.0520219802856445e-05,1.4385953545570373e-05,1.4448538422584534e-05,0.0,0
edf,1,1,33,1.2667398109580532e-05,1.274794340133667e-05,1.8274039030075072e-05,1.9257888197898865e-05,0.0,0
