workload,agents,review_ticks,risk,policy,closure_penalty,agent_id,episodes,total_loss,mean_loss,p90_loss,max_loss,incorrect_jobs,mean_incorrect_jobs,max_incorrect_jobs
competition,3,1,analytical,delay,0,0,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,analytical,delay,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,analytical,delay,0,2,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,analytical,greedy,0,0,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,analytical,greedy,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,analytical,greedy,0,2,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,0,0,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,delay,0,2,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,greedy,0,0,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,1,frozen,greedy,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,frozen,greedy,0,2,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,pooled,delay,0,0,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,pooled,delay,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,pooled,delay,0,2,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,pooled,greedy,0,0,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,1,pooled,greedy,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,1,pooled,greedy,0,2,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,analytical,delay,0,0,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,analytical,delay,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,analytical,delay,0,2,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,2,analytical,greedy,0,0,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,2,analytical,greedy,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,analytical,greedy,0,2,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,2,frozen,delay,0,0,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,2,frozen,delay,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,frozen,delay,0,2,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,2,frozen,greedy,0,0,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,2,frozen,greedy,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,frozen,greedy,0,2,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,2,pooled,delay,0,0,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,2,pooled,delay,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,pooled,delay,0,2,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,2,pooled,greedy,0,0,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
competition,3,2,pooled,greedy,0,1,8,0.0,0.0,0.0,0.0,0,0.0,0
competition,3,2,pooled,greedy,0,2,8,4.0,0.5,1.1999999999999993,4.0,1,0.125,1
larger,3,1,frozen,delay,0,0,4,10.0,2.5,5.1000000000000005,6.0,0,0.0,0
larger,3,1,frozen,delay,0,1,4,1.0,0.25,0.7000000000000002,1.0,0,0.0,0
larger,3,1,frozen,delay,0,2,4,10.0,2.5,5.1000000000000005,6.0,0,0.0,0
larger,3,1,frozen,edf,0,0,4,9.0,2.25,4.800000000000001,6.0,0,0.0,0
larger,3,1,frozen,edf,0,1,4,1.0,0.25,0.7000000000000002,1.0,0,0.0,0
larger,3,1,frozen,edf,0,2,4,16.0,4.0,8.100000000000001,9.0,0,0.0,0
larger,3,1,frozen,fcfs,0,0,4,8.0,2.0,4.500000000000001,6.0,0,0.0,0
larger,3,1,frozen,fcfs,0,1,4,1.0,0.25,0.7000000000000002,1.0,0,0.0,0
larger,3,1,frozen,fcfs,0,2,4,15.0,3.75,9.700000000000003,13.0,1,0.25,1
larger,3,1,frozen,greedy,0,0,4,7.0,1.75,2.7,3.0,0,0.0,0
larger,3,1,frozen,greedy,0,1,4,0.0,0.0,0.0,0.0,0,0.0,0
larger,3,1,frozen,greedy,0,2,4,22.0,5.5,10.900000000000002,13.0,2,0.5,1
larger,3,2,frozen,delay,0,0,4,16.0,4.0,8.200000000000001,10.0,1,0.25,1
larger,3,2,frozen,delay,0,1,4,8.0,2.0,5.600000000000001,8.0,1,0.25,1
larger,3,2,frozen,delay,0,2,4,30.0,7.5,14.8,16.0,2,0.5,1
larger,3,2,frozen,edf,0,0,4,16.0,4.0,8.200000000000001,10.0,1,0.25,1
larger,3,2,frozen,edf,0,1,4,22.0,5.5,12.200000000000001,14.0,2,0.5,1
larger,3,2,frozen,edf,0,2,4,30.0,7.5,14.8,16.0,2,0.5,1
larger,3,2,frozen,fcfs,0,0,4,14.0,3.5,7.600000000000001,10.0,1,0.25,1
larger,3,2,frozen,fcfs,0,1,4,0.0,0.0,0.0,0.0,0,0.0,0
larger,3,2,frozen,fcfs,0,2,4,34.0,8.5,14.8,16.0,3,0.75,1
larger,3,2,frozen,greedy,0,0,4,18.0,4.5,8.200000000000001,10.0,1,0.25,1
