workload,estimator,prediction,examples,observed_error_rate,note
original,frozen,0.14606741573,225,0.15555555555555556,"Repeated policy trajectories, not independent observations"
original,pooled,0.183673469388,240,0.16666666666666666,"Repeated policy trajectories, not independent observations"
original,analytical,0.142857142857,155,0.12903225806451613,"Repeated policy trajectories, not independent observations"
original,analytical,0.272727272727,70,0.21428571428571427,"Repeated policy trajectories, not independent observations"
original,analytical,0.727272727273,15,0.3333333333333333,"Repeated policy trajectories, not independent observations"
original,frozen,0.183673469388,15,0.3333333333333333,"Repeated policy trajectories, not independent observations"
competition,frozen,0.14606741573,1099,0.25477707006369427,"Repeated policy trajectories, not independent observations"
competition,pooled,0.183673469388,1152,0.2725694444444444,"Repeated policy trajectories, not independent observations"
competition,analytical,0.727272727273,106,0.7924528301886793,"Repeated policy trajectories, not independent observations"
competition,analytical,0.272727272727,398,0.3969849246231156,"Repeated policy trajectories, not independent observations"
competition,analytical,0.142857142857,648,0.1111111111111111,"Repeated policy trajectories, not independent observations"
competition,frozen,0.183673469388,53,0.6415094339622641,"Repeated policy trajectories, not independent observations"
