workload,seed,observed_policy,review_ticks,tick,eligible_count,frozen_greedy,frozen_delay,pooled_greedy,pooled_delay,analytical_greedy,analytical_delay
original,219,delay,2,1,2,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
original,219,fcfs,2,1,2,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
original,219,greedy,2,1,2,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
original,219,myopic,2,1,2,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
original,219,uncertainty,2,1,2,a0j0,a0j0,a0j0,a0j0,a2j0,a2j0
original,222,delay,2,7,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
original,222,fcfs,2,7,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
original,222,greedy,2,7,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
original,222,myopic,2,7,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
original,222,uncertainty,2,7,2,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
original,223,delay,2,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
original,223,delay,2,7,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
original,223,fcfs,2,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
original,223,fcfs,2,7,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
original,223,greedy,2,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
original,223,greedy,2,7,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
original,223,myopic,2,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
original,223,myopic,2,7,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
original,223,uncertainty,2,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
original,223,uncertainty,2,7,2,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
competition,300,delay,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a1j0
competition,300,delay,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,300,delay,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,delay,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,edf,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a1j0
competition,300,edf,1,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,300,edf,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,edf,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,fcfs,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a1j0
competition,300,fcfs,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,300,fcfs,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,fcfs,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,greedy,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a1j0
competition,300,greedy,1,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,300,greedy,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,greedy,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,myopic,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a1j0
competition,300,myopic,1,1,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,300,myopic,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,myopic,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,uncertainty,1,0,3,a1j0,a0j0,a1j0,a0j0,a0j0,a1j0
competition,300,uncertainty,1,1,2,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
competition,300,uncertainty,1,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
competition,300,uncertainty,1,7,2,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
competition,300,delay,2,0,3,a1j0,a1j0,a1j0,a1j0,a0j0,a1j0
competition,300,delay,2,2,2,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
competition,300,delay,2,6,3,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
