workload,review_ticks,policy,alternative,competitive_states,changed_first_choices
original,1,greedy,pooled,0,0
original,1,greedy,analytical,0,0
original,1,delay,pooled,0,0
original,1,delay,analytical,0,0
original,2,greedy,pooled,20,0
original,2,greedy,analytical,20,5
original,2,delay,pooled,20,0
original,2,delay,analytical,20,5
competition,1,greedy,pooled,384,0
competition,1,greedy,analytical,384,64
competition,1,delay,pooled,384,42
competition,1,delay,analytical,384,62
competition,2,greedy,pooled,284,0
competition,2,greedy,analytical,284,53
competition,2,delay,pooled,284,0
competition,2,delay,analytical,284,24
