method,runs,project_correct_total,project_correct_mean,accepted_correct_total,accepted_correct_mean,accepted_wrong_total,accepted_wrong_mean,unfinished_total,unfinished_mean,raw_correct_total,raw_correct_mean,requirement_violations_total,requirement_violations_mean,dependency_inconsistencies_total,dependency_inconsistencies_mean,unnecessary_modifications_total,unnecessary_modifications_mean,appendix_correct_total,appendix_correct_mean,calls_total,calls_mean,attempts_total,attempts_mean,tokens_total,tokens_mean,inference_seconds_total,inference_seconds_mean,rounds_total,rounds_mean,repair_repeats_total,repair_repeats_mean,direct_recipients_total,direct_recipients_mean,forwarded_messages_total,forwarded_messages_mean,public_probe_executions_total,public_probe_executions_mean,V_total,V_mean
shared_state,32,17,0.53125,113,3.53125,0,0.0,15,0.46875,113,3.53125,15,0.46875,0,0.0,0,0.0,32,1.0,114,3.5625,114,3.5625,96973,3030.40625,224.73261051496956,7.022894078592799,54,1.6875,22,0.6875,92,2.875,0,0.0,820,25.625,7.5,0.234375
broadcast,32,30,0.9375,126,3.9375,0,0.0,2,0.0625,126,3.9375,2,0.0625,0,0.0,35,1.09375,32,1.0,136,4.25,136,4.25,99831,3119.71875,259.0431267701788,8.095097711568087,40,1.25,8,0.25,128,4.0,0,0.0,816,25.5,1.0,0.03125
targeted,32,31,0.96875,127,3.96875,0,0.0,1,0.03125,127,3.96875,1,0.03125,0,0.0,0,0.0,32,1.0,100,3.125,100,3.125,75985,2374.53125,187.31556187861133,5.853611308706604,40,1.25,8,0.25,92,2.875,0,0.0,672,21.0,0.5,0.015625
sparse,32,32,1.0,128,4.0,0,0.0,0,0.0,128,4.0,0,0.0,0,0.0,0,0.0,32,1.0,99,3.09375,99,3.09375,75495,2359.21875,185.17636353021953,5.78676136031936,39,1.21875,7,0.21875,39,1.21875,60,1.875,666,20.8125,0.0,0.0
pipeline,32,32,1.0,128,4.0,0,0.0,0,0.0,128,4.0,0,0.0,0,0.0,0,0.0,32,1.0,0,0.0,0,0.0,0,0.0,0,0.0,32,1.0,0,0.0,92,2.875,0,0.0,624,19.5,0.0,0.0
