project_id,month,rep,method,role,snapshot_correct,accepted,issues,revision,unaffected,modified
eval_02_0,2011-02,0,shared_state,analysis,True,True,,2,False,True
eval_02_0,2011-02,0,shared_state,chart,True,True,,2,False,True
eval_02_0,2011-02,0,shared_state,report,False,False,malformed_or_blocked,3,False,True
eval_02_0,2011-02,0,shared_state,appendix,True,True,,1,True,False
eval_02_0,2011-02,0,broadcast,analysis,True,True,,2,False,True
eval_02_0,2011-02,0,broadcast,chart,True,True,,2,False,True
eval_02_0,2011-02,0,broadcast,report,True,True,,2,False,True
eval_02_0,2011-02,0,broadcast,appendix,True,True,,2,True,True
eval_02_0,2011-02,0,targeted,analysis,True,True,,2,False,True
eval_02_0,2011-02,0,targeted,chart,True,True,,2,False,True
eval_02_0,2011-02,0,targeted,report,True,True,,2,False,True
eval_02_0,2011-02,0,targeted,appendix,True,True,,1,True,False
eval_02_0,2011-02,0,sparse,analysis,True,True,,2,False,True
eval_02_0,2011-02,0,sparse,chart,True,True,,2,False,True
eval_02_0,2011-02,0,sparse,report,True,True,,2,False,True
eval_02_0,2011-02,0,sparse,appendix,True,True,,1,True,False
eval_02_0,2011-02,0,pipeline,analysis,True,True,,2,False,True
eval_02_0,2011-02,0,pipeline,chart,True,True,,2,False,True
eval_02_0,2011-02,0,pipeline,report,True,True,,2,False,True
eval_02_0,2011-02,0,pipeline,appendix,True,True,,1,True,False
eval_02_0,2011-02,1,shared_state,analysis,True,True,,2,False,True
eval_02_0,2011-02,1,shared_state,chart,True,True,,2,False,True
eval_02_0,2011-02,1,shared_state,report,True,True,,3,False,True
eval_02_0,2011-02,1,shared_state,appendix,True,True,,1,True,False
eval_02_0,2011-02,1,broadcast,analysis,True,True,,2,False,True
eval_02_0,2011-02,1,broadcast,chart,True,True,,2,False,True
eval_02_0,2011-02,1,broadcast,report,True,True,,3,False,True
eval_02_0,2011-02,1,broadcast,appendix,True,True,,2,True,True
eval_02_0,2011-02,1,targeted,analysis,True,True,,2,False,True
eval_02_0,2011-02,1,targeted,chart,True,True,,2,False,True
eval_02_0,2011-02,1,targeted,report,True,True,,3,False,True
eval_02_0,2011-02,1,targeted,appendix,True,True,,1,True,False
eval_02_0,2011-02,1,sparse,analysis,True,True,,2,False,True
eval_02_0,2011-02,1,sparse,chart,True,True,,2,False,True
eval_02_0,2011-02,1,sparse,report,True,True,,3,False,True
eval_02_0,2011-02,1,sparse,appendix,True,True,,1,True,False
eval_02_0,2011-02,1,pipeline,analysis,True,True,,2,False,True
eval_02_0,2011-02,1,pipeline,chart,True,True,,2,False,True
eval_02_0,2011-02,1,pipeline,report,True,True,,2,False,True
eval_02_0,2011-02,1,pipeline,appendix,True,True,,1,True,False
eval_02_1,2011-02,0,shared_state,analysis,True,True,,2,False,True
eval_02_1,2011-02,0,shared_state,chart,True,True,,2,False,True
eval_02_1,2011-02,0,shared_state,report,False,False,malformed_or_blocked,3,False,True
eval_02_1,2011-02,0,shared_state,appendix,True,True,,1,True,False
eval_02_1,2011-02,0,broadcast,analysis,True,True,,2,False,True
eval_02_1,2011-02,0,broadcast,chart,True,True,,2,False,True
eval_02_1,2011-02,0,broadcast,report,True,True,,2,False,True
eval_02_1,2011-02,0,broadcast,appendix,True,True,,2,True,True
eval_02_1,2011-02,0,targeted,analysis,True,True,,2,False,True
eval_02_1,2011-02,0,targeted,chart,True,True,,2,False,True
eval_02_1,2011-02,0,targeted,report,True,True,,2,False,True
eval_02_1,2011-02,0,targeted,appendix,True,True,,1,True,False
eval_02_1,2011-02,0,sparse,analysis,True,True,,2,False,True
eval_02_1,2011-02,0,sparse,chart,True,True,,2,False,True
eval_02_1,2011-02,0,sparse,report,True,True,,2,False,True
eval_02_1,2011-02,0,sparse,appendix,True,True,,1,True,False
eval_02_1,2011-02,0,pipeline,analysis,True,True,,2,False,True
eval_02_1,2011-02,0,pipeline,chart,True,True,,2,False,True
eval_02_1,2011-02,0,pipeline,report,True,True,,2,False,True
eval_02_1,2011-02,0,pipeline,appendix,True,True,,1,True,False
eval_02_1,2011-02,1,shared_state,analysis,True,True,,2,False,True
eval_02_1,2011-02,1,shared_state,chart,True,True,,2,False,True
eval_02_1,2011-02,1,shared_state,report,True,True,,3,False,True
eval_02_1,2011-02,1,shared_state,appendix,True,True,,1,True,False
eval_02_1,2011-02,1,broadcast,analysis,True,True,,2,False,True
eval_02_1,2011-02,1,broadcast,chart,True,True,,2,False,True
eval_02_1,2011-02,1,broadcast,report,True,True,,2,False,True
eval_02_1,2011-02,1,broadcast,appendix,True,True,,2,True,True
eval_02_1,2011-02,1,targeted,analysis,True,True,,2,False,True
eval_02_1,2011-02,1,targeted,chart,True,True,,2,False,True
eval_02_1,2011-02,1,targeted,report,True,True,,2,False,True
eval_02_1,2011-02,1,targeted,appendix,True,True,,1,True,False
eval_02_1,2011-02,1,sparse,analysis,True,True,,2,False,True
eval_02_1,2011-02,1,sparse,chart,True,True,,2,False,True
eval_02_1,2011-02,1,sparse,report,True,True,,2,False,True
eval_02_1,2011-02,1,sparse,appendix,True,True,,1,True,False
eval_02_1,2011-02,1,pipeline,analysis,True,True,,2,False,True
eval_02_1,2011-02,1,pipeline,chart,True,True,,2,False,True
eval_02_1,2011-02,1,pipeline,report,True,True,,2,False,True
eval_02_1,2011-02,1,pipeline,appendix,True,True,,1,True,False
eval_03_0,2011-03,0,shared_state,analysis,True,True,,2,False,True
eval_03_0,2011-03,0,shared_state,chart,True,True,,2,False,True
eval_03_0,2011-03,0,shared_state,report,True,True,,2,False,True
eval_03_0,2011-03,0,shared_state,appendix,True,True,,1,True,False
eval_03_0,2011-03,0,broadcast,analysis,True,True,,2,False,True
eval_03_0,2011-03,0,broadcast,chart,True,True,,2,False,True
eval_03_0,2011-03,0,broadcast,report,True,True,,2,False,True
eval_03_0,2011-03,0,broadcast,appendix,True,True,,2,True,True
eval_03_0,2011-03,0,targeted,analysis,True,True,,2,False,True
eval_03_0,2011-03,0,targeted,chart,True,True,,2,False,True
eval_03_0,2011-03,0,targeted,report,True,True,,2,False,True
eval_03_0,2011-03,0,targeted,appendix,True,True,,1,True,False
eval_03_0,2011-03,0,sparse,analysis,True,True,,2,False,True
eval_03_0,2011-03,0,sparse,chart,True,True,,2,False,True
eval_03_0,2011-03,0,sparse,report,True,True,,2,False,True
eval_03_0,2011-03,0,sparse,appendix,True,True,,1,True,False
eval_03_0,2011-03,0,pipeline,analysis,True,True,,2,False,True
eval_03_0,2011-03,0,pipeline,chart,True,True,,2,False,True
eval_03_0,2011-03,0,pipeline,report,True,True,,2,False,True
eval_03_0,2011-03,0,pipeline,appendix,True,True,,1,True,False
eval_03_0,2011-03,1,shared_state,analysis,True,True,,2,False,True
eval_03_0,2011-03,1,shared_state,chart,True,True,,2,False,True
eval_03_0,2011-03,1,shared_state,report,True,True,,2,False,True
eval_03_0,2011-03,1,shared_state,appendix,True,True,,1,True,False
eval_03_0,2011-03,1,broadcast,analysis,True,True,,2,False,True
eval_03_0,2011-03,1,broadcast,chart,True,True,,2,False,True
eval_03_0,2011-03,1,broadcast,report,True,True,,2,False,True
eval_03_0,2011-03,1,broadcast,appendix,True,True,,2,True,True
eval_03_0,2011-03,1,targeted,analysis,True,True,,2,False,True
eval_03_0,2011-03,1,targeted,chart,True,True,,2,False,True
eval_03_0,2011-03,1,targeted,report,True,True,,2,False,True
eval_03_0,2011-03,1,targeted,appendix,True,True,,1,True,False
