method,demand,budget,projects,project_correct,project_correct_lo,project_correct_hi,artifact_accuracy,artifact_accuracy_lo,artifact_accuracy_hi,correct_artifacts,correct_artifacts_lo,correct_artifacts_hi,incorrect_artifacts,incorrect_artifacts_lo,incorrect_artifacts_hi,unresolved_artifacts,unresolved_artifacts_lo,unresolved_artifacts_hi,questions,questions_lo,questions_hi,answered_questions,answered_questions_lo,answered_questions_hi,distinct_decisions_requested,distinct_decisions_requested_lo,distinct_decisions_requested_hi,repeated_decision_questions,repeated_decision_questions_lo,repeated_decision_questions_hi,incorrect_reuse,incorrect_reuse_lo,incorrect_reuse_hi,reused_answers,reused_answers_lo,reused_answers_hi,maximum_error_fanout,maximum_error_fanout_lo,maximum_error_fanout_hi,revalidation_reads,revalidation_reads_lo,revalidation_reads_hi,version_checks,version_checks_lo,version_checks_hi,candidate_sources,candidate_sources_lo,candidate_sources_hi,scope_confirmations,scope_confirmations_lo,scope_confirmations_hi,changed_instruction_recoveries,changed_instruction_recoveries_lo,changed_instruction_recoveries_hi,changed_instruction_failures,changed_instruction_failures_lo,changed_instruction_failures_hi,failed_generation_calls,failed_generation_calls_lo,failed_generation_calls_hi,final_wrong_fields,final_wrong_fields_lo,final_wrong_fields_hi
independent,2,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.375,7.125,9.375,0.0,0.0,0.0,5.375,4.875,5.875,3.0,1.875,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.375,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
independent,2,2,8,0.0,0.0,0.0,0.0625,0.0,0.1875,0.125,0.0,0.375,0.0,0.0,0.0,1.875,1.625,2.0,8.375,7.125,9.375,2.0,2.0,2.0,5.375,4.875,5.875,3.0,1.875,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.375,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
independent,2,6,8,0.125,0.0,0.375,0.375,0.1875,0.625,0.75,0.375,1.25,0.0,0.0,0.0,1.25,0.75,1.625,8.375,7.125,9.375,5.875,5.625,6.0,5.375,4.875,5.875,3.0,1.875,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.375,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.375,0.375,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0
independent,2,unlimited,8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.375,7.125,9.375,8.375,7.125,9.375,5.375,4.875,5.875,3.0,1.875,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.375,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent,4,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,13.0,10.875,14.878124999999983,0.0,0.0,0.0,5.375,4.875,5.875,7.625,5.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,3.375,7.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.875,0.0,0.0,0.0,0.0,0.0,0.0
independent,4,2,8,0.0,0.0,0.0,0.03125,0.0,0.09375,0.125,0.0,0.375,0.0,0.0,0.0,3.875,3.625,4.0,13.0,10.875,14.878124999999983,2.0,2.0,2.0,5.375,4.875,5.875,7.625,5.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,3.375,7.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.875,0.0,0.0,0.0,0.0,0.0,0.0
independent,4,6,8,0.0,0.0,0.0,0.125,0.0,0.3125,0.5,0.0,1.25,0.0,0.0,0.0,3.5,2.75,4.0,13.0,10.875,14.878124999999983,6.0,6.0,6.0,5.375,4.875,5.875,7.625,5.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,3.375,7.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.375,0.5,0.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0
independent,4,unlimited,8,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.875,14.878124999999983,13.0,10.875,14.878124999999983,5.375,4.875,5.875,7.625,5.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375,3.375,7.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent,6,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,24.5,20.75,28.0,0.0,0.0,0.0,5.375,4.875,5.875,19.125,15.375,22.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.125,6.625,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
independent,6,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,24.5,20.75,28.0,2.0,2.0,2.0,5.375,4.875,5.875,19.125,15.375,22.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.125,6.625,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
