id,comparison,metric,difference
MUL0012.json,semantic_memory,project_correct,0.0
MUL0013.json,semantic_memory,project_correct,0.0
MUL0016.json,semantic_memory,project_correct,0.0
MUL0032.json,semantic_memory,project_correct,0.0
MUL0039.json,semantic_memory,project_correct,0.0
MUL0046.json,semantic_memory,project_correct,0.0
MUL0047.json,semantic_memory,project_correct,0.0
MUL0107.json,semantic_memory,project_correct,0.0
MUL0012.json,semantic_memory,artifact_accuracy,0.0
MUL0013.json,semantic_memory,artifact_accuracy,0.0
MUL0016.json,semantic_memory,artifact_accuracy,0.0
MUL0032.json,semantic_memory,artifact_accuracy,0.0
MUL0039.json,semantic_memory,artifact_accuracy,0.0
MUL0046.json,semantic_memory,artifact_accuracy,0.0
MUL0047.json,semantic_memory,artifact_accuracy,0.0
MUL0107.json,semantic_memory,artifact_accuracy,0.0
MUL0012.json,semantic_memory,questions,4.0
MUL0013.json,semantic_memory,questions,4.0
MUL0016.json,semantic_memory,questions,0.0
MUL0032.json,semantic_memory,questions,4.0
MUL0039.json,semantic_memory,questions,0.0
MUL0046.json,semantic_memory,questions,6.0
MUL0047.json,semantic_memory,questions,0.0
MUL0107.json,semantic_memory,questions,3.0
MUL0012.json,semantic_memory,answered_questions,4.0
MUL0013.json,semantic_memory,answered_questions,4.0
MUL0016.json,semantic_memory,answered_questions,0.0
MUL0032.json,semantic_memory,answered_questions,4.0
MUL0039.json,semantic_memory,answered_questions,0.0
MUL0046.json,semantic_memory,answered_questions,6.0
MUL0047.json,semantic_memory,answered_questions,0.0
MUL0107.json,semantic_memory,answered_questions,3.0
MUL0012.json,semantic_memory,revalidation_reads,0.0
MUL0013.json,semantic_memory,revalidation_reads,0.0
MUL0016.json,semantic_memory,revalidation_reads,-7.0
MUL0032.json,semantic_memory,revalidation_reads,0.0
MUL0039.json,semantic_memory,revalidation_reads,-12.0
MUL0046.json,semantic_memory,revalidation_reads,-2.0
MUL0047.json,semantic_memory,revalidation_reads,0.0
MUL0107.json,semantic_memory,revalidation_reads,-9.0
MUL0012.json,full_history,project_correct,0.0
MUL0013.json,full_history,project_correct,0.0
MUL0016.json,full_history,project_correct,0.0
MUL0032.json,full_history,project_correct,1.0
MUL0039.json,full_history,project_correct,0.0
MUL0046.json,full_history,project_correct,0.0
MUL0047.json,full_history,project_correct,0.0
MUL0107.json,full_history,project_correct,0.0
MUL0012.json,full_history,artifact_accuracy,0.0
MUL0013.json,full_history,artifact_accuracy,0.0
MUL0016.json,full_history,artifact_accuracy,0.0
MUL0032.json,full_history,artifact_accuracy,0.16666666666666663
MUL0039.json,full_history,artifact_accuracy,0.0
MUL0046.json,full_history,artifact_accuracy,0.0
MUL0047.json,full_history,artifact_accuracy,0.0
MUL0107.json,full_history,artifact_accuracy,0.0
MUL0012.json,full_history,questions,7.0
MUL0013.json,full_history,questions,4.0
MUL0016.json,full_history,questions,2.0
MUL0032.json,full_history,questions,4.0
MUL0039.json,full_history,questions,4.0
MUL0046.json,full_history,questions,6.0
MUL0047.json,full_history,questions,4.0
MUL0107.json,full_history,questions,5.0
MUL0012.json,full_history,answered_questions,7.0
MUL0013.json,full_history,answered_questions,4.0
MUL0016.json,full_history,answered_questions,2.0
MUL0032.json,full_history,answered_questions,4.0
MUL0039.json,full_history,answered_questions,4.0
MUL0046.json,full_history,answered_questions,6.0
MUL0047.json,full_history,answered_questions,4.0
MUL0107.json,full_history,answered_questions,5.0
MUL0012.json,full_history,revalidation_reads,0.0
MUL0013.json,full_history,revalidation_reads,0.0
MUL0016.json,full_history,revalidation_reads,-7.0
MUL0032.json,full_history,revalidation_reads,0.0
MUL0039.json,full_history,revalidation_reads,-12.0
MUL0046.json,full_history,revalidation_reads,-2.0
MUL0047.json,full_history,revalidation_reads,0.0
MUL0107.json,full_history,revalidation_reads,-9.0
MUL0012.json,global_barrier,project_correct,0.0
MUL0013.json,global_barrier,project_correct,0.0
MUL0016.json,global_barrier,project_correct,0.0
MUL0032.json,global_barrier,project_correct,0.0
MUL0039.json,global_barrier,project_correct,0.0
MUL0046.json,global_barrier,project_correct,0.0
MUL0047.json,global_barrier,project_correct,0.0
MUL0107.json,global_barrier,project_correct,0.0
MUL0012.json,global_barrier,artifact_accuracy,0.0
MUL0013.json,global_barrier,artifact_accuracy,0.0
MUL0016.json,global_barrier,artifact_accuracy,0.0
MUL0032.json,global_barrier,artifact_accuracy,0.0
MUL0039.json,global_barrier,artifact_accuracy,0.0
MUL0046.json,global_barrier,artifact_accuracy,0.0
MUL0047.json,global_barrier,artifact_accuracy,0.0
MUL0107.json,global_barrier,artifact_accuracy,0.0
MUL0012.json,global_barrier,questions,0.0
MUL0013.json,global_barrier,questions,0.0
MUL0016.json,global_barrier,questions,0.0
MUL0032.json,global_barrier,questions,0.0
MUL0039.json,global_barrier,questions,0.0
MUL0046.json,global_barrier,questions,0.0
MUL0047.json,global_barrier,questions,0.0
MUL0107.json,global_barrier,questions,0.0
MUL0012.json,global_barrier,answered_questions,0.0
MUL0013.json,global_barrier,answered_questions,0.0
