comparison,demand,budget,metric,mean,lo,hi,negative,ties,positive,projects
dependency_barrier minus semantic_memory,2,0,project_correct,-0.25,-0.625,0.0,2,6,0,8
dependency_barrier minus semantic_memory,2,0,artifact_accuracy,-0.3125,-0.5,-0.125,4,4,0,8
dependency_barrier minus semantic_memory,2,0,questions,1.75,1.0,2.5,0,2,6,8
dependency_barrier minus semantic_memory,2,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus semantic_memory,2,0,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus semantic_memory,2,2,project_correct,-0.375,-0.75,-0.125,3,5,0,8
dependency_barrier minus semantic_memory,2,2,artifact_accuracy,-0.3125,-0.4375,-0.25,5,3,0,8
dependency_barrier minus semantic_memory,2,2,questions,1.75,1.0,2.5,0,2,6,8
dependency_barrier minus semantic_memory,2,2,answered_questions,0.625,0.125,1.25,0,5,3,8
dependency_barrier minus semantic_memory,2,2,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus semantic_memory,2,6,project_correct,-0.125,-0.375,0.0,1,7,0,8
dependency_barrier minus semantic_memory,2,6,artifact_accuracy,-0.0625,-0.1875,0.0,1,7,0,8
dependency_barrier minus semantic_memory,2,6,questions,1.75,1.0,2.5,0,2,6,8
dependency_barrier minus semantic_memory,2,6,answered_questions,1.625,1.0,2.25,0,2,6,8
dependency_barrier minus semantic_memory,2,6,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus semantic_memory,2,unlimited,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus semantic_memory,2,unlimited,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus semantic_memory,2,unlimited,questions,1.75,1.0,2.5,0,2,6,8
dependency_barrier minus semantic_memory,2,unlimited,answered_questions,1.75,1.0,2.5,0,2,6,8
dependency_barrier minus semantic_memory,2,unlimited,revalidation_reads,-1.25,-1.875,-0.5,4,4,0,8
dependency_barrier minus semantic_memory,4,0,project_correct,-0.25,-0.625,0.0,2,6,0,8
dependency_barrier minus semantic_memory,4,0,artifact_accuracy,-0.28125,-0.5,-0.09375,5,3,0,8
dependency_barrier minus semantic_memory,4,0,questions,2.375,1.25,3.5,0,2,6,8
dependency_barrier minus semantic_memory,4,0,answered_questions,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus semantic_memory,4,0,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus semantic_memory,4,2,project_correct,-0.25,-0.625,0.0,2,6,0,8
dependency_barrier minus semantic_memory,4,2,artifact_accuracy,-0.21875,-0.3125,-0.15625,5,3,0,8
dependency_barrier minus semantic_memory,4,2,questions,2.25,1.125,3.5,0,2,6,8
dependency_barrier minus semantic_memory,4,2,answered_questions,0.625,0.125,1.25,0,5,3,8
dependency_barrier minus semantic_memory,4,2,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus semantic_memory,4,6,project_correct,-0.125,-0.375,0.0,1,7,0,8
dependency_barrier minus semantic_memory,4,6,artifact_accuracy,-0.0625,-0.1875,0.0,1,7,0,8
dependency_barrier minus semantic_memory,4,6,questions,1.75,0.75,2.75,0,3,5,8
dependency_barrier minus semantic_memory,4,6,answered_questions,1.5,0.7468750000000002,2.25,0,3,5,8
dependency_barrier minus semantic_memory,4,6,revalidation_reads,-2.0,-2.875,-0.75,4,4,0,8
dependency_barrier minus semantic_memory,4,unlimited,project_correct,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus semantic_memory,4,unlimited,artifact_accuracy,0.0,0.0,0.0,0,8,0,8
dependency_barrier minus semantic_memory,4,unlimited,questions,1.625,0.75,2.5,0,3,5,8
