bundle_id,replicate,case_id,preparation_status
stage6_00,0,train:313,retained
stage6_00,0,train:421,retained
stage6_00,0,train:153,retained
stage6_00,1,train:313,retained
stage6_00,1,train:421,retained
stage6_00,1,train:153,retained
stage6_00,2,train:313,retained
stage6_00,2,train:421,retained
stage6_00,2,train:153,retained
stage6_01,0,train:158,retained
stage6_01,0,train:320,retained
stage6_01,0,train:436,retained
stage6_01,1,train:158,retained
stage6_01,1,train:320,retained
stage6_01,1,train:436,retained
stage6_01,2,train:158,retained
stage6_01,2,train:320,retained
stage6_01,2,train:436,retained
stage6_02,0,train:437,retained
stage6_02,0,train:162,retained
stage6_02,0,train:323,retained
stage6_02,1,train:437,retained
stage6_02,1,train:162,retained
stage6_02,1,train:323,retained
stage6_02,2,train:437,retained
stage6_02,2,train:162,retained
stage6_02,2,train:323,retained
stage6_03,0,train:167,retained
stage6_03,0,train:324,retained
stage6_03,0,train:439,retained
stage6_03,1,train:167,retained
stage6_03,1,train:324,retained
stage6_03,1,train:439,retained
stage6_03,2,train:167,retained
stage6_03,2,train:324,retained
stage6_03,2,train:439,retained
stage6_04,0,train:169,retained
stage6_04,0,train:338,retained
stage6_04,0,train:450,retained
stage6_04,1,train:169,retained
stage6_04,1,train:338,retained
stage6_04,1,train:450,retained
stage6_04,2,train:169,retained
stage6_04,2,train:338,retained
stage6_04,2,train:450,retained
stage6_05,0,train:174,retained
stage6_05,0,train:455,retained
stage6_05,0,train:341,retained
stage6_05,1,train:174,retained
stage6_05,1,train:455,retained
stage6_05,1,train:341,retained
stage6_05,2,train:174,retained
stage6_05,2,train:455,retained
stage6_05,2,train:341,retained
stage6_06,0,train:466,retained
stage6_06,0,train:177,retained
stage6_06,0,train:356,retained
stage6_06,1,train:466,retained
stage6_06,1,train:177,retained
stage6_06,1,train:356,retained
stage6_06,2,train:466,retained
stage6_06,2,train:177,retained
stage6_06,2,train:356,retained
stage6_07,0,train:357,retained
stage6_07,0,train:482,retained
stage6_07,0,train:178,retained
stage6_07,1,train:357,retained
stage6_07,1,train:482,retained
stage6_07,1,train:178,retained
stage6_07,2,train:357,retained
stage6_07,2,train:482,retained
stage6_07,2,train:178,retained
