blocked_unresolved,bundle_id,completed_reviews,corrections,expired_useful_opportunities,greedy_search_different_heads,multi_eligible_dispatches,operational_loss,policy,replicate,review_busy_ticks,review_duration,review_utilization,service_failure_loss,status,task_completed,total_waiting_ticks,unstaged_failures,variant,wrong_transaction_loss,wrong_transactions,planning_seconds,max_planning_seconds
0,stage6_00,0,0,1,0,0,12,no_review,0,0,2,0.0,8,completed,1,0,1,reference,4,1,0.00012105668429285288,3.150699194520712e-05
0,stage6_00,2,1,0,0,0,4,fcfs,0,4,2,0.6666666666666666,4,completed,2,1,1,reference,0,0,6.537209264934063e-05,3.942695911973715e-05
0,stage6_00,2,1,0,0,0,4,edf,0,4,2,0.6666666666666666,4,completed,2,1,1,reference,0,0,6.588292308151722e-05,3.9619975723326206e-05
0,stage6_00,2,1,0,0,0,4,uncertainty,0,4,2,0.6666666666666666,4,completed,2,1,1,reference,0,0,4.924205131828785e-05,2.2399937734007835e-05
0,stage6_00,2,1,0,0,0,4,greedy,0,4,2,0.6666666666666666,4,completed,2,1,1,reference,0,0,6.583018694072962e-05,3.641308285295963e-05
0,stage6_00,2,1,0,0,0,4,search,0,4,2,0.6666666666666666,4,completed,2,1,1,reference,0,0,6.527802906930447e-05,3.899703733623028e-05
0,stage6_00,0,0,1,1,1,12,no_review,0,0,1,0.0,8,completed,1,0,1,reference,4,1,0.00011308887042105198,3.3325981348752975e-05
0,stage6_00,2,1,0,0,0,4,fcfs,0,2,1,0.3333333333333333,4,completed,2,0,1,reference,0,0,6.430665962398052e-05,2.1567917428910732e-05
0,stage6_00,2,1,0,0,0,4,edf,0,2,1,0.3333333333333333,4,completed,2,0,1,reference,0,0,4.728988278657198e-05,2.2002961486577988e-05
0,stage6_00,2,1,0,0,0,4,uncertainty,0,2,1,0.3333333333333333,4,completed,2,0,1,reference,0,0,5.003204569220543e-05,2.3194937966763973e-05
0,stage6_00,2,1,0,0,0,4,greedy,0,2,1,0.3333333333333333,4,completed,2,0,1,reference,0,0,5.4020900279283524e-05,2.429005689918995e-05
0,stage6_00,2,1,0,0,0,4,search,0,2,1,0.3333333333333333,4,completed,2,0,1,reference,0,0,6.387918256223202e-05,2.7421978302299976e-05
0,stage6_00,0,0,1,0,0,12,no_review,0,0,2,0.0,8,completed,1,0,1,approve_block,4,1,0.00011782220099121332,3.717595245689154e-05
1,stage6_00,2,0,0,0,0,8,fcfs,0,4,2,0.6666666666666666,8,completed,1,1,1,approve_block,0,0,6.741110701113939e-05,4.049297422170639e-05
1,stage6_00,2,0,0,0,0,8,edf,0,4,2,0.6666666666666666,8,completed,1,1,1,approve_block,0,0,6.690912414342165e-05,3.649410791695118e-05
1,stage6_00,2,0,0,0,0,8,uncertainty,0,4,2,0.6666666666666666,8,completed,1,1,1,approve_block,0,0,7.868872489780188e-05,3.722298424690962e-05
1,stage6_00,2,0,0,0,0,8,greedy,0,4,2,0.6666666666666666,8,completed,1,1,1,approve_block,0,0,6.574206054210663e-05,3.736105281859636e-05
1,stage6_00,2,0,0,0,0,8,search,0,4,2,0.6666666666666666,8,completed,1,1,1,approve_block,0,0,5.533790681511164e-05,2.5989022105932236e-05
0,stage6_00,0,0,1,1,1,12,no_review,0,0,1,0.0,8,completed,1,0,1,approve_block,4,1,0.00010077608749270439,2.2490043193101883e-05
1,stage6_00,2,0,0,0,0,8,fcfs,0,2,1,0.3333333333333333,8,completed,1,0,1,approve_block,0,0,4.724995233118534e-05,2.0705978386104107e-05
1,stage6_00,2,0,0,0,0,8,edf,0,2,1,0.3333333333333333,8,completed,1,0,1,approve_block,0,0,5.462917033582926e-05,2.5294022634625435e-05
1,stage6_00,2,0,0,0,0,8,uncertainty,0,2,1,0.3333333333333333,8,completed,1,0,1,approve_block,0,0,5.486106965690851e-05,2.616096753627062e-05
1,stage6_00,2,0,0,0,0,8,greedy,0,2,1,0.3333333333333333,8,completed,1,0,1,approve_block,0,0,5.14141283929348e-05,2.4210079573094845e-05
1,stage6_00,2,0,0,0,0,8,search,0,2,1,0.3333333333333333,8,completed,1,0,1,approve_block,0,0,6.513402331620455e-05,2.936902455985546e-05
0,stage6_00,0,0,1,0,0,12,no_review,0,0,2,0.0,8,completed,1,0,1,complexity_time,4,1,0.00011537095997482538,3.302108962088823e-05
