policy,eligible,dispatches,mean_ms,p95_ms,max_ms,max_ordered_subsets
no_review,0,297,0.0063137367668778,0.021222210489213467,0.040312064811587334,0
no_review,1,345,0.01953615388576535,0.036634248681366444,0.05244102794677019,0
no_review,2,252,0.029875773064319103,0.04662888241000473,0.08664908818900585,0
no_review,3,24,0.03260366308192412,0.033261184580624104,0.033773016184568405,0
fcfs,0,493,0.0028044883158005033,0.006131059490144235,0.052641029469668865,0
fcfs,1,173,0.02595511429291757,0.04098219797015191,0.0610200222581625,0
fcfs,2,110,0.033560798461125654,0.04676516982726753,0.059922109358012676,0
edf,0,492,0.0028647778165806844,0.00671881134621799,0.042310915887355804,0
edf,1,170,0.027457580162102684,0.04260315326973796,0.06105401553213596,0
edf,2,114,0.03761656708982691,0.056768202921375625,0.09221700020134449,0
uncertainty,0,519,0.00232145071804868,0.005724956281483172,0.03583298530429602,0
uncertainty,1,168,0.02901229960289562,0.04539037472568453,0.1454110024496913,0
uncertainty,2,95,0.03494260416023041,0.04849224351346492,0.0541080953553319,0
greedy,0,519,0.0021823752323355747,0.005086115561425684,0.036711920984089375,0
greedy,1,168,0.028152980597778446,0.04436186281964183,0.0741640105843544,0
greedy,2,95,0.03688977908735212,0.05617549177259206,0.09092292748391628,0
search,0,493,0.0029756748032497343,0.007441174238920209,0.04741095472127199,0
search,1,170,0.0317621325580951,0.04639418912120163,0.06488093640655279,2
search,2,114,0.04832022782545863,0.06678259233012793,0.11583103332668543,5
