bundle_id,replicate,variant,review_duration,policy,agent_id,automatic_rejections,blocked_unresolved,case_id,family,initial_error,operational_loss,reviewed,service_failure_loss,staged,task_completed,wrong_transaction_committed,wrong_transaction_loss
stage6_00,0,reference,2,no_review,0,2,False,train:313,cancel,False,0,False,0,True,True,False,0
stage6_00,0,reference,2,no_review,1,4,False,train:421,modify,False,4,False,4,False,False,False,0
stage6_00,0,reference,2,no_review,2,1,False,train:153,return_exchange,True,8,False,4,True,False,True,4
stage6_00,0,reference,2,fcfs,0,2,False,train:313,cancel,False,0,True,0,True,True,False,0
stage6_00,0,reference,2,fcfs,1,4,False,train:421,modify,False,4,False,4,False,False,False,0
stage6_00,0,reference,2,fcfs,2,1,False,train:153,return_exchange,True,0,True,0,True,True,False,0
stage6_00,0,reference,2,edf,0,2,False,train:313,cancel,False,0,True,0,True,True,False,0
stage6_00,0,reference,2,edf,1,4,False,train:421,modify,False,4,False,4,False,False,False,0
stage6_00,0,reference,2,edf,2,1,False,train:153,return_exchange,True,0,True,0,True,True,False,0
stage6_00,0,reference,2,uncertainty,0,2,False,train:313,cancel,False,0,True,0,True,True,False,0
stage6_00,0,reference,2,uncertainty,1,4,False,train:421,modify,False,4,False,4,False,False,False,0
stage6_00,0,reference,2,uncertainty,2,1,False,train:153,return_exchange,True,0,True,0,True,True,False,0
stage6_00,0,reference,2,greedy,0,2,False,train:313,cancel,False,0,True,0,True,True,False,0
stage6_00,0,reference,2,greedy,1,4,False,train:421,modify,False,4,False,4,False,False,False,0
stage6_00,0,reference,2,greedy,2,1,False,train:153,return_exchange,True,0,True,0,True,True,False,0
stage6_00,0,reference,2,search,0,2,False,train:313,cancel,False,0,True,0,True,True,False,0
stage6_00,0,reference,2,search,1,4,False,train:421,modify,False,4,False,4,False,False,False,0
stage6_00,0,reference,2,search,2,1,False,train:153,return_exchange,True,0,True,0,True,True,False,0
stage6_00,0,reference,1,no_review,0,2,False,train:313,cancel,False,0,False,0,True,True,False,0
stage6_00,0,reference,1,no_review,1,4,False,train:421,modify,False,4,False,4,False,False,False,0
stage6_00,0,reference,1,no_review,2,1,False,train:153,return_exchange,True,8,False,4,True,False,True,4
stage6_00,0,reference,1,fcfs,0,2,False,train:313,cancel,False,0,True,0,True,True,False,0
stage6_00,0,reference,1,fcfs,1,4,False,train:421,modify,False,4,False,4,False,False,False,0
stage6_00,0,reference,1,fcfs,2,1,False,train:153,return_exchange,True,0,True,0,True,True,False,0
stage6_00,0,reference,1,edf,0,2,False,train:313,cancel,False,0,True,0,True,True,False,0
stage6_00,0,reference,1,edf,1,4,False,train:421,modify,False,4,False,4,False,False,False,0
stage6_00,0,reference,1,edf,2,1,False,train:153,return_exchange,True,0,True,0,True,True,False,0
