variant,review_duration,policy,metric,bundles,mean_difference,ci_low,ci_high,wins,ties,losses
complexity_time,2,no_review,wrong_transactions,8,0.0,0.0,0.0,0,8,0
complexity_time,2,no_review,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
complexity_time,2,fcfs,operational_loss,8,0.33333333333333337,0.0,1.0,0,7,1
complexity_time,2,fcfs,task_completed,8,-0.041666666666666685,-0.12500000000000006,0.0,0,7,1
complexity_time,2,fcfs,wrong_transactions,8,0.041666666666666664,0.0,0.125,0,7,1
complexity_time,2,fcfs,review_busy_ticks,8,0.12499999999999994,-0.16666666666666685,0.45833333333333326,1,4,3
complexity_time,2,edf,operational_loss,8,0.33333333333333337,0.0,1.0,0,7,1
complexity_time,2,edf,task_completed,8,-0.041666666666666685,-0.12500000000000006,0.0,0,7,1
complexity_time,2,edf,wrong_transactions,8,0.041666666666666664,0.0,0.125,0,7,1
complexity_time,2,edf,review_busy_ticks,8,0.12499999999999994,-0.16666666666666685,0.45833333333333326,1,4,3
complexity_time,2,uncertainty,operational_loss,8,0.33333333333333337,0.0,1.0,0,7,1
complexity_time,2,uncertainty,task_completed,8,-0.041666666666666685,-0.12500000000000006,0.0,0,7,1
complexity_time,2,uncertainty,wrong_transactions,8,0.041666666666666664,0.0,0.125,0,7,1
complexity_time,2,uncertainty,review_busy_ticks,8,0.12499999999999994,-0.16666666666666685,0.45833333333333326,1,4,3
complexity_time,2,greedy,operational_loss,8,0.33333333333333337,0.0,1.0,0,7,1
complexity_time,2,greedy,task_completed,8,-0.041666666666666685,-0.12500000000000006,0.0,0,7,1
complexity_time,2,greedy,wrong_transactions,8,0.041666666666666664,0.0,0.125,0,7,1
complexity_time,2,greedy,review_busy_ticks,8,0.12499999999999994,-0.16666666666666685,0.45833333333333326,1,4,3
complexity_time,2,search,operational_loss,8,0.33333333333333337,0.0,1.0,0,7,1
complexity_time,2,search,task_completed,8,-0.041666666666666685,-0.12500000000000006,0.0,0,7,1
complexity_time,2,search,wrong_transactions,8,0.041666666666666664,0.0,0.125,0,7,1
complexity_time,2,search,review_busy_ticks,8,0.08333333333333331,-0.20833333333333343,0.41666666666666663,1,5,2
