bundle_id,variant,review_duration,comparison,metric,difference
stage6_00,reference,1,search-greedy,operational_loss,0.0
stage6_01,reference,1,search-greedy,operational_loss,0.0
stage6_02,reference,1,search-greedy,operational_loss,0.0
stage6_03,reference,1,search-greedy,operational_loss,0.0
stage6_04,reference,1,search-greedy,operational_loss,0.0
stage6_05,reference,1,search-greedy,operational_loss,0.0
stage6_06,reference,1,search-greedy,operational_loss,0.0
stage6_07,reference,1,search-greedy,operational_loss,0.0
stage6_00,reference,1,search-greedy,task_completed,0.0
stage6_01,reference,1,search-greedy,task_completed,0.0
stage6_02,reference,1,search-greedy,task_completed,0.0
stage6_03,reference,1,search-greedy,task_completed,0.0
stage6_04,reference,1,search-greedy,task_completed,0.0
stage6_05,reference,1,search-greedy,task_completed,0.0
stage6_06,reference,1,search-greedy,task_completed,0.0
stage6_07,reference,1,search-greedy,task_completed,0.0
stage6_00,reference,1,search-greedy,wrong_transactions,0.0
stage6_01,reference,1,search-greedy,wrong_transactions,0.0
stage6_02,reference,1,search-greedy,wrong_transactions,0.0
stage6_03,reference,1,search-greedy,wrong_transactions,0.0
stage6_04,reference,1,search-greedy,wrong_transactions,0.0
stage6_05,reference,1,search-greedy,wrong_transactions,0.0
stage6_06,reference,1,search-greedy,wrong_transactions,0.0
stage6_07,reference,1,search-greedy,wrong_transactions,0.0
stage6_00,reference,1,search-greedy,review_busy_ticks,0.3333333333333335
stage6_01,reference,1,search-greedy,review_busy_ticks,0.0
stage6_02,reference,1,search-greedy,review_busy_ticks,0.0
stage6_03,reference,1,search-greedy,review_busy_ticks,0.0
stage6_04,reference,1,search-greedy,review_busy_ticks,0.0
stage6_05,reference,1,search-greedy,review_busy_ticks,0.0
stage6_06,reference,1,search-greedy,review_busy_ticks,0.3333333333333335
stage6_07,reference,1,search-greedy,review_busy_ticks,1.0
stage6_00,reference,1,search-edf,operational_loss,0.0
stage6_01,reference,1,search-edf,operational_loss,0.0
stage6_02,reference,1,search-edf,operational_loss,0.0
stage6_03,reference,1,search-edf,operational_loss,0.0
stage6_04,reference,1,search-edf,operational_loss,0.0
stage6_05,reference,1,search-edf,operational_loss,0.0
stage6_06,reference,1,search-edf,operational_loss,0.0
stage6_07,reference,1,search-edf,operational_loss,0.0
stage6_00,reference,1,search-edf,task_completed,0.0
stage6_01,reference,1,search-edf,task_completed,0.0
stage6_02,reference,1,search-edf,task_completed,0.0
stage6_03,reference,1,search-edf,task_completed,0.0
stage6_04,reference,1,search-edf,task_completed,0.0
stage6_05,reference,1,search-edf,task_completed,0.0
stage6_06,reference,1,search-edf,task_completed,0.0
stage6_07,reference,1,search-edf,task_completed,0.0
stage6_00,reference,1,search-edf,wrong_transactions,0.0
stage6_01,reference,1,search-edf,wrong_transactions,0.0
stage6_02,reference,1,search-edf,wrong_transactions,0.0
stage6_03,reference,1,search-edf,wrong_transactions,0.0
stage6_04,reference,1,search-edf,wrong_transactions,0.0
stage6_05,reference,1,search-edf,wrong_transactions,0.0
stage6_06,reference,1,search-edf,wrong_transactions,0.0
stage6_07,reference,1,search-edf,wrong_transactions,0.0
stage6_00,reference,1,search-edf,review_busy_ticks,0.0
stage6_01,reference,1,search-edf,review_busy_ticks,0.0
stage6_02,reference,1,search-edf,review_busy_ticks,0.0
stage6_03,reference,1,search-edf,review_busy_ticks,0.0
stage6_04,reference,1,search-edf,review_busy_ticks,0.0
stage6_05,reference,1,search-edf,review_busy_ticks,0.0
stage6_06,reference,1,search-edf,review_busy_ticks,0.0
stage6_07,reference,1,search-edf,review_busy_ticks,0.0
stage6_00,reference,1,search-fcfs,operational_loss,0.0
stage6_01,reference,1,search-fcfs,operational_loss,0.0
stage6_02,reference,1,search-fcfs,operational_loss,0.0
stage6_03,reference,1,search-fcfs,operational_loss,0.0
stage6_04,reference,1,search-fcfs,operational_loss,0.0
stage6_05,reference,1,search-fcfs,operational_loss,0.0
stage6_06,reference,1,search-fcfs,operational_loss,0.0
stage6_07,reference,1,search-fcfs,operational_loss,0.0
stage6_00,reference,1,search-fcfs,task_completed,0.0
stage6_01,reference,1,search-fcfs,task_completed,0.0
stage6_02,reference,1,search-fcfs,task_completed,0.0
stage6_03,reference,1,search-fcfs,task_completed,0.0
stage6_04,reference,1,search-fcfs,task_completed,0.0
stage6_05,reference,1,search-fcfs,task_completed,0.0
stage6_06,reference,1,search-fcfs,task_completed,0.0
stage6_07,reference,1,search-fcfs,task_completed,0.0
stage6_00,reference,1,search-fcfs,wrong_transactions,0.0
stage6_01,reference,1,search-fcfs,wrong_transactions,0.0
stage6_02,reference,1,search-fcfs,wrong_transactions,0.0
stage6_03,reference,1,search-fcfs,wrong_transactions,0.0
stage6_04,reference,1,search-fcfs,wrong_transactions,0.0
stage6_05,reference,1,search-fcfs,wrong_transactions,0.0
stage6_06,reference,1,search-fcfs,wrong_transactions,0.0
stage6_07,reference,1,search-fcfs,wrong_transactions,0.0
stage6_00,reference,1,search-fcfs,review_busy_ticks,0.0
stage6_01,reference,1,search-fcfs,review_busy_ticks,0.0
stage6_02,reference,1,search-fcfs,review_busy_ticks,0.0
stage6_03,reference,1,search-fcfs,review_busy_ticks,0.0
stage6_04,reference,1,search-fcfs,review_busy_ticks,0.0
stage6_05,reference,1,search-fcfs,review_busy_ticks,0.0
stage6_06,reference,1,search-fcfs,review_busy_ticks,0.0
stage6_07,reference,1,search-fcfs,review_busy_ticks,0.0
stage6_00,reference,1,search-uncertainty,operational_loss,0.0
stage6_01,reference,1,search-uncertainty,operational_loss,0.0
stage6_02,reference,1,search-uncertainty,operational_loss,0.0
stage6_03,reference,1,search-uncertainty,operational_loss,0.0
stage6_04,reference,1,search-uncertainty,operational_loss,0.0
stage6_05,reference,1,search-uncertainty,operational_loss,0.0
stage6_06,reference,1,search-uncertainty,operational_loss,0.0
stage6_07,reference,1,search-uncertainty,operational_loss,0.0
stage6_00,reference,1,search-uncertainty,task_completed,0.0
stage6_01,reference,1,search-uncertainty,task_completed,0.0
stage6_02,reference,1,search-uncertainty,task_completed,0.0
stage6_03,reference,1,search-uncertainty,task_completed,0.0
stage6_04,reference,1,search-uncertainty,task_completed,0.0
stage6_05,reference,1,search-uncertainty,task_completed,0.0
stage6_06,reference,1,search-uncertainty,task_completed,0.0
stage6_07,reference,1,search-uncertainty,task_completed,0.0
stage6_00,reference,1,search-uncertainty,wrong_transactions,0.0
stage6_01,reference,1,search-uncertainty,wrong_transactions,0.0
stage6_02,reference,1,search-uncertainty,wrong_transactions,0.0
stage6_03,reference,1,search-uncertainty,wrong_transactions,0.0
stage6_04,reference,1,search-uncertainty,wrong_transactions,0.0
stage6_05,reference,1,search-uncertainty,wrong_transactions,0.0
stage6_06,reference,1,search-uncertainty,wrong_transactions,0.0
stage6_07,reference,1,search-uncertainty,wrong_transactions,0.0
stage6_00,reference,1,search-uncertainty,review_busy_ticks,0.3333333333333335
stage6_01,reference,1,search-uncertainty,review_busy_ticks,0.0
stage6_02,reference,1,search-uncertainty,review_busy_ticks,0.0
stage6_03,reference,1,search-uncertainty,review_busy_ticks,0.0
stage6_04,reference,1,search-uncertainty,review_busy_ticks,0.0
stage6_05,reference,1,search-uncertainty,review_busy_ticks,0.0
stage6_06,reference,1,search-uncertainty,review_busy_ticks,0.3333333333333335
stage6_07,reference,1,search-uncertainty,review_busy_ticks,1.0
stage6_00,reference,1,search-no_review,operational_loss,-16.0
stage6_01,reference,1,search-no_review,operational_loss,0.0
stage6_02,reference,1,search-no_review,operational_loss,0.0
stage6_03,reference,1,search-no_review,operational_loss,-5.333333333333333
stage6_04,reference,1,search-no_review,operational_loss,-10.666666666666668
stage6_05,reference,1,search-no_review,operational_loss,0.0
stage6_06,reference,1,search-no_review,operational_loss,-2.6666666666666665
stage6_07,reference,1,search-no_review,operational_loss,-16.0
stage6_00,reference,1,search-no_review,task_completed,1.3333333333333335
stage6_01,reference,1,search-no_review,task_completed,0.0
