variant,review_duration,policy,episodes,operational_loss,task_completed,wrong_transactions,blocked_unresolved,unstaged_failures,service_failure_loss,wrong_transaction_loss,completed_reviews,corrections,expired_useful_opportunities,review_busy_ticks,total_waiting_ticks,multi_eligible_dispatches,greedy_search_different_heads,mean_loss,mean_utilization
reference,1,no_review,24,236,39,12,0,21,132,104,0,0,12,0,0,57,23,9.833333333333334,0.0
reference,1,fcfs,24,84,51,0,0,21,84,0,51,12,0,51,19,19,6,3.5,0.40138888888888885
reference,1,edf,24,84,51,0,0,21,84,0,51,12,0,51,19,19,6,3.5,0.40138888888888885
reference,1,uncertainty,24,84,51,0,0,21,84,0,46,12,0,46,9,19,10,3.5,0.3611111111111112
reference,1,greedy,24,84,51,0,0,21,84,0,46,12,0,46,9,19,10,3.5,0.3611111111111112
reference,1,search,24,84,51,0,0,21,84,0,51,12,0,51,19,19,6,3.5,0.40138888888888885
reference,2,no_review,24,236,39,12,0,21,132,104,0,0,12,0,0,38,11,9.833333333333334,0.0
reference,2,fcfs,24,132,48,3,0,21,96,36,44,9,3,88,32,18,6,5.5,0.6861111111111112
reference,2,edf,24,132,48,3,0,21,96,36,44,9,3,88,33,19,6,5.5,0.6861111111111112
reference,2,uncertainty,24,84,51,0,0,21,84,0,42,12,0,84,23,14,6,3.5,0.6583333333333335
reference,2,greedy,24,84,51,0,0,21,84,0,42,12,0,84,23,14,6,3.5,0.6583333333333335
reference,2,search,24,140,47,4,0,21,100,40,44,8,4,88,32,19,6,5.833333333333333,0.6861111111111112
approve_block,1,no_review,24,236,39,12,0,21,132,104,0,0,12,0,0,57,23,9.833333333333334,0.0
approve_block,1,fcfs,24,132,39,0,12,21,132,0,51,0,0,51,19,19,6,5.5,0.40138888888888885
approve_block,1,edf,24,132,39,0,12,21,132,0,51,0,0,51,19,19,6,5.5,0.40138888888888885
approve_block,1,uncertainty,24,132,39,0,12,21,132,0,46,0,0,46,9,19,10,5.5,0.3611111111111112
approve_block,1,greedy,24,132,39,0,12,21,132,0,46,0,0,46,9,19,10,5.5,0.3611111111111112
approve_block,1,search,24,132,39,0,12,21,132,0,51,0,0,51,19,19,6,5.5,0.40138888888888885
approve_block,2,no_review,24,236,39,12,0,21,132,104,0,0,12,0,0,38,11,9.833333333333334,0.0
approve_block,2,fcfs,24,168,39,3,9,21,132,36,44,0,3,88,32,18,6,7.0,0.6861111111111112
approve_block,2,edf,24,168,39,3,9,21,132,36,44,0,3,88,33,19,6,7.0,0.6861111111111112
approve_block,2,uncertainty,24,132,39,0,12,21,132,0,42,0,0,84,23,14,6,5.5,0.6583333333333335
approve_block,2,greedy,24,132,39,0,12,21,132,0,42,0,0,84,23,14,6,5.5,0.6583333333333335
approve_block,2,search,24,172,39,4,8,21,132,40,44,0,4,88,32,19,6,7.166666666666667,0.6861111111111112
complexity_time,1,no_review,24,236,39,12,0,21,132,104,0,0,12,0,0,52,23,9.833333333333334,0.0
complexity_time,1,fcfs,24,84,51,0,0,21,84,0,50,12,0,56,22,18,6,3.5,0.4416666666666668
complexity_time,1,edf,24,84,51,0,0,21,84,0,51,12,0,57,24,19,7,3.5,0.4500000000000001
complexity_time,1,uncertainty,24,84,51,0,0,21,84,0,46,12,0,52,14,15,7,3.5,0.40972222222222227
complexity_time,1,greedy,24,84,51,0,0,21,84,0,46,12,0,52,14,15,7,3.5,0.40972222222222227
complexity_time,1,search,24,84,51,0,0,21,84,0,51,12,0,57,24,19,7,3.5,0.4500000000000001
complexity_time,2,no_review,24,236,39,12,0,21,132,104,0,0,12,0,0,34,10,9.833333333333334,0.0
complexity_time,2,fcfs,24,140,47,4,0,21,100,40,43,8,4,91,32,18,6,5.833333333333333,0.7138888888888889
complexity_time,2,edf,24,140,47,4,0,21,100,40,43,8,4,91,32,19,6,5.833333333333333,0.7138888888888889
complexity_time,2,uncertainty,24,92,50,1,0,21,88,4,41,11,1,87,26,14,6,3.8333333333333335,0.6861111111111112
complexity_time,2,greedy,24,92,50,1,0,21,88,4,41,11,1,87,26,14,6,3.8333333333333335,0.6861111111111112
complexity_time,2,search,24,148,46,5,0,21,104,44,43,7,5,90,31,19,6,6.166666666666667,0.7055555555555557
