variant,review_duration,comparator,actual_sequences_differ,paired_replicates,search_path_multi_eligible,search_path_greedy_search_different_heads
reference,1,greedy,6,24,19,6
reference,1,edf,1,24,19,6
reference,2,greedy,6,24,19,6
reference,2,edf,1,24,19,6
approve_block,1,greedy,6,24,19,6
approve_block,1,edf,1,24,19,6
approve_block,2,greedy,6,24,19,6
approve_block,2,edf,1,24,19,6
complexity_time,1,greedy,6,24,19,7
complexity_time,1,edf,0,24,19,7
complexity_time,2,greedy,6,24,19,6
complexity_time,2,edf,1,24,19,6
