bundle_id,replicate,variant,review_duration,comparator,sequences_differ,search_sequence,other_sequence
stage6_01,2,complexity_time,2,greedy,False,train:158;train:436,train:158;train:436
stage6_01,2,complexity_time,2,edf,False,train:158;train:436,train:158;train:436
stage6_02,0,reference,2,greedy,False,train:162;train:323,train:162;train:323
stage6_02,0,reference,2,edf,False,train:162;train:323,train:162;train:323
stage6_02,0,reference,1,greedy,False,train:162;train:323,train:162;train:323
stage6_02,0,reference,1,edf,False,train:162;train:323,train:162;train:323
stage6_02,0,approve_block,2,greedy,False,train:162;train:323,train:162;train:323
stage6_02,0,approve_block,2,edf,False,train:162;train:323,train:162;train:323
stage6_02,0,approve_block,1,greedy,False,train:162;train:323,train:162;train:323
stage6_02,0,approve_block,1,edf,False,train:162;train:323,train:162;train:323
stage6_02,0,complexity_time,2,greedy,False,train:162;train:323,train:162;train:323
stage6_02,0,complexity_time,2,edf,False,train:162;train:323,train:162;train:323
stage6_02,0,complexity_time,1,greedy,False,train:162;train:323,train:162;train:323
stage6_02,0,complexity_time,1,edf,False,train:162;train:323,train:162;train:323
stage6_02,1,reference,2,greedy,False,train:162,train:162
stage6_02,1,reference,2,edf,False,train:162,train:162
stage6_02,1,reference,1,greedy,False,train:162,train:162
stage6_02,1,reference,1,edf,False,train:162,train:162
stage6_02,1,approve_block,2,greedy,False,train:162,train:162
stage6_02,1,approve_block,2,edf,False,train:162,train:162
stage6_02,1,approve_block,1,greedy,False,train:162,train:162
stage6_02,1,approve_block,1,edf,False,train:162,train:162
stage6_02,1,complexity_time,2,greedy,False,train:162,train:162
stage6_02,1,complexity_time,2,edf,False,train:162,train:162
stage6_02,1,complexity_time,1,greedy,False,train:162,train:162
stage6_02,1,complexity_time,1,edf,False,train:162,train:162
stage6_02,2,reference,2,greedy,False,train:162;train:323,train:162;train:323
stage6_02,2,reference,2,edf,False,train:162;train:323,train:162;train:323
stage6_02,2,reference,1,greedy,False,train:162;train:323,train:162;train:323
stage6_02,2,reference,1,edf,False,train:162;train:323,train:162;train:323
stage6_02,2,approve_block,2,greedy,False,train:162;train:323,train:162;train:323
stage6_02,2,approve_block,2,edf,False,train:162;train:323,train:162;train:323
stage6_02,2,approve_block,1,greedy,False,train:162;train:323,train:162;train:323
stage6_02,2,approve_block,1,edf,False,train:162;train:323,train:162;train:323
stage6_02,2,complexity_time,2,greedy,False,train:162;train:323,train:162;train:323
stage6_02,2,complexity_time,2,edf,False,train:162;train:323,train:162;train:323
stage6_02,2,complexity_time,1,greedy,False,train:162;train:323,train:162;train:323
stage6_02,2,complexity_time,1,edf,False,train:162;train:323,train:162;train:323
stage6_03,0,reference,1,greedy,False,train:167;train:324,train:167;train:324
stage6_03,0,reference,1,edf,False,train:167;train:324,train:167;train:324
stage6_03,0,reference,2,greedy,False,train:167;train:324,train:167;train:324
stage6_03,0,reference,2,edf,False,train:167;train:324,train:167;train:324
stage6_03,0,approve_block,1,greedy,False,train:167;train:324,train:167;train:324
stage6_03,0,approve_block,1,edf,False,train:167;train:324,train:167;train:324
stage6_03,0,approve_block,2,greedy,False,train:167;train:324,train:167;train:324
stage6_03,0,approve_block,2,edf,False,train:167;train:324,train:167;train:324
stage6_03,0,complexity_time,1,greedy,False,train:167;train:324,train:167;train:324
stage6_03,0,complexity_time,1,edf,False,train:167;train:324,train:167;train:324
stage6_03,0,complexity_time,2,greedy,False,train:167;train:324,train:167;train:324
stage6_03,0,complexity_time,2,edf,False,train:167;train:324,train:167;train:324
stage6_03,1,reference,1,greedy,False,train:324,train:324
stage6_03,1,reference,1,edf,False,train:324,train:324
stage6_03,1,reference,2,greedy,False,train:324,train:324
stage6_03,1,reference,2,edf,False,train:324,train:324
stage6_03,1,approve_block,1,greedy,False,train:324,train:324
stage6_03,1,approve_block,1,edf,False,train:324,train:324
stage6_03,1,approve_block,2,greedy,False,train:324,train:324
stage6_03,1,approve_block,2,edf,False,train:324,train:324
stage6_03,1,complexity_time,1,greedy,False,train:324,train:324
stage6_03,1,complexity_time,1,edf,False,train:324,train:324
stage6_03,1,complexity_time,2,greedy,False,train:324,train:324
stage6_03,1,complexity_time,2,edf,False,train:324,train:324
stage6_03,2,reference,1,greedy,False,train:167;train:324,train:167;train:324
stage6_03,2,reference,1,edf,False,train:167;train:324,train:167;train:324
stage6_03,2,reference,2,greedy,False,train:167;train:324,train:167;train:324
stage6_03,2,reference,2,edf,False,train:167;train:324,train:167;train:324
stage6_03,2,approve_block,1,greedy,False,train:167;train:324,train:167;train:324
stage6_03,2,approve_block,1,edf,False,train:167;train:324,train:167;train:324
stage6_03,2,approve_block,2,greedy,False,train:167;train:324,train:167;train:324
stage6_03,2,approve_block,2,edf,False,train:167;train:324,train:167;train:324
stage6_03,2,complexity_time,1,greedy,False,train:167;train:324,train:167;train:324
stage6_03,2,complexity_time,1,edf,False,train:167;train:324,train:167;train:324
stage6_03,2,complexity_time,2,greedy,False,train:324,train:324
stage6_03,2,complexity_time,2,edf,False,train:324,train:324
stage6_04,0,reference,2,greedy,False,train:169;train:450,train:169;train:450
stage6_04,0,reference,2,edf,False,train:169;train:450,train:169;train:450
stage6_04,0,reference,1,greedy,False,train:169;train:450,train:169;train:450
stage6_04,0,reference,1,edf,False,train:169;train:450,train:169;train:450
stage6_04,0,approve_block,2,greedy,False,train:169;train:450,train:169;train:450
stage6_04,0,approve_block,2,edf,False,train:169;train:450,train:169;train:450
stage6_04,0,approve_block,1,greedy,False,train:169;train:450,train:169;train:450
stage6_04,0,approve_block,1,edf,False,train:169;train:450,train:169;train:450
stage6_04,0,complexity_time,2,greedy,False,train:169;train:450,train:169;train:450
stage6_04,0,complexity_time,2,edf,False,train:169;train:450,train:169;train:450
stage6_04,0,complexity_time,1,greedy,False,train:169;train:450,train:169;train:450
stage6_04,0,complexity_time,1,edf,False,train:169;train:450,train:169;train:450
stage6_04,1,reference,2,greedy,False,train:450,train:450
stage6_04,1,reference,2,edf,False,train:450,train:450
stage6_04,1,reference,1,greedy,False,train:450,train:450
stage6_04,1,reference,1,edf,False,train:450,train:450
stage6_04,1,approve_block,2,greedy,False,train:450,train:450
stage6_04,1,approve_block,2,edf,False,train:450,train:450
stage6_04,1,approve_block,1,greedy,False,train:450,train:450
stage6_04,1,approve_block,1,edf,False,train:450,train:450
