id,db,domain,kind,rep,budget,method,status,questions,correct,wrong,unfinished,loss,executions
467,data/attachment/Filmmaking/attachment_1tab_val_animation_studio/attachment_1tab_val_animation_studio.sqlite,Filmmaking,attachment,0,0,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
467,data/attachment/Filmmaking/attachment_1tab_val_animation_studio/attachment_1tab_val_animation_studio.sqlite,Filmmaking,attachment,0,1,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
467,data/attachment/Filmmaking/attachment_1tab_val_animation_studio/attachment_1tab_val_animation_studio.sqlite,Filmmaking,attachment,0,2,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
467,data/attachment/Filmmaking/attachment_1tab_val_animation_studio/attachment_1tab_val_animation_studio.sqlite,Filmmaking,attachment,1,0,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
467,data/attachment/Filmmaking/attachment_1tab_val_animation_studio/attachment_1tab_val_animation_studio.sqlite,Filmmaking,attachment,1,1,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
467,data/attachment/Filmmaking/attachment_1tab_val_animation_studio/attachment_1tab_val_animation_studio.sqlite,Filmmaking,attachment,1,2,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
469,data/attachment/Filmmaking/attachment_1tab_ref_genre2/attachment_1tab_ref_genre2.sqlite,Filmmaking,attachment,0,0,direct_reader_answer_or_ask,ready,0,0,1,0,4,1
469,data/attachment/Filmmaking/attachment_1tab_ref_genre2/attachment_1tab_ref_genre2.sqlite,Filmmaking,attachment,0,1,direct_reader_answer_or_ask,ready,0,0,1,0,4,1
469,data/attachment/Filmmaking/attachment_1tab_ref_genre2/attachment_1tab_ref_genre2.sqlite,Filmmaking,attachment,0,2,direct_reader_answer_or_ask,ready,0,0,1,0,4,1
469,data/attachment/Filmmaking/attachment_1tab_ref_genre2/attachment_1tab_ref_genre2.sqlite,Filmmaking,attachment,1,0,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
469,data/attachment/Filmmaking/attachment_1tab_ref_genre2/attachment_1tab_ref_genre2.sqlite,Filmmaking,attachment,1,1,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
469,data/attachment/Filmmaking/attachment_1tab_ref_genre2/attachment_1tab_ref_genre2.sqlite,Filmmaking,attachment,1,2,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
472,data/attachment/Filmmaking/attachment_1tab_val_event/attachment_1tab_val_event.sqlite,Filmmaking,attachment,0,0,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
472,data/attachment/Filmmaking/attachment_1tab_val_event/attachment_1tab_val_event.sqlite,Filmmaking,attachment,0,1,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
472,data/attachment/Filmmaking/attachment_1tab_val_event/attachment_1tab_val_event.sqlite,Filmmaking,attachment,0,2,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
472,data/attachment/Filmmaking/attachment_1tab_val_event/attachment_1tab_val_event.sqlite,Filmmaking,attachment,1,0,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
472,data/attachment/Filmmaking/attachment_1tab_val_event/attachment_1tab_val_event.sqlite,Filmmaking,attachment,1,1,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
472,data/attachment/Filmmaking/attachment_1tab_val_event/attachment_1tab_val_event.sqlite,Filmmaking,attachment,1,2,direct_reader_answer_or_ask,ready,0,0,0,1,1,1
475,data/attachment/Filmmaking/attachment_1tab_val_film_industry_company/attachment_1tab_val_film_industry_company.sqlite,Filmmaking,attachment,0,0,direct_reader_answer_or_ask,ready,0,0,1,0,4,1
475,data/attachment/Filmmaking/attachment_1tab_val_film_industry_company/attachment_1tab_val_film_industry_company.sqlite,Filmmaking,attachment,0,1,direct_reader_answer_or_ask,ready,0,0,1,0,4,1
475,data/attachment/Filmmaking/attachment_1tab_val_film_industry_company/attachment_1tab_val_film_industry_company.sqlite,Filmmaking,attachment,0,2,direct_reader_answer_or_ask,ready,0,0,1,0,4,1
475,data/attachment/Filmmaking/attachment_1tab_val_film_industry_company/attachment_1tab_val_film_industry_company.sqlite,Filmmaking,attachment,1,0,direct_reader_answer_or_ask,ready,0,1,0,0,0,1
475,data/attachment/Filmmaking/attachment_1tab_val_film_industry_company/attachment_1tab_val_film_industry_company.sqlite,Filmmaking,attachment,1,1,direct_reader_answer_or_ask,ready,0,1,0,0,0,1
475,data/attachment/Filmmaking/attachment_1tab_val_film_industry_company/attachment_1tab_val_film_industry_company.sqlite,Filmmaking,attachment,1,2,direct_reader_answer_or_ask,ready,0,1,0,0,0,1
477,data/attachment/Filmmaking/attachment_1tab_val_film_type/attachment_1tab_val_film_type.sqlite,Filmmaking,attachment,0,0,direct_reader_answer_or_ask,ready,0,0,1,0,4,1
477,data/attachment/Filmmaking/attachment_1tab_val_film_type/attachment_1tab_val_film_type.sqlite,Filmmaking,attachment,0,1,direct_reader_answer_or_ask,ready,0,0,1,0,4,1
477,data/attachment/Filmmaking/attachment_1tab_val_film_type/attachment_1tab_val_film_type.sqlite,Filmmaking,attachment,0,2,direct_reader_answer_or_ask,ready,0,0,1,0,4,1
477,data/attachment/Filmmaking/attachment_1tab_val_film_type/attachment_1tab_val_film_type.sqlite,Filmmaking,attachment,1,0,direct_reader_answer_or_ask,ready,0,1,0,0,0,1
477,data/attachment/Filmmaking/attachment_1tab_val_film_type/attachment_1tab_val_film_type.sqlite,Filmmaking,attachment,1,1,direct_reader_answer_or_ask,ready,0,1,0,0,0,1
477,data/attachment/Filmmaking/attachment_1tab_val_film_type/attachment_1tab_val_film_type.sqlite,Filmmaking,attachment,1,2,direct_reader_answer_or_ask,ready,0,1,0,0,0,1
479,data/attachment/Filmmaking/attachment_1tab_val_genre1/attachment_1tab_val_genre1.sqlite,Filmmaking,attachment,0,0,direct_reader_answer_or_ask,ready,0,0,1,0,4,1
