id,family,seed,method,budget,tasks,project_correct,correct,incorrect,unfinished,loss,questions,distinct_questions,repeated_questions,incorrect_scope_transfers,unresolved_responses,scope_questions,initial_predicted_loss,final_predicted_loss,predicted_benefit,realized_benefit,planning_nodes,planning_caps
scope_exception_5000,scope_exception,5000,no_review,0,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,no_review,1,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,no_review,2,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,no_review,4,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,no_review,6,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,no_review,unlimited,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,memory,0,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,memory,1,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,memory,2,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,memory,4,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,memory,6,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,memory,unlimited,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,uncertainty,0,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
scope_exception_5000,scope_exception,5000,uncertainty,1,3,1,3,0,0,0,1,1,0,0,0,0,2.6,0.6000000000000001,2.0,2.0,0,0
scope_exception_5000,scope_exception,5000,uncertainty,2,3,1,3,0,0,0,2,2,0,0,0,1,2.6,0.6000000000000001,2.0,2.0,0,0
scope_exception_5000,scope_exception,5000,uncertainty,4,3,1,3,0,0,0,3,3,0,0,0,1,2.6,0.0,2.6,2.0,0,0
scope_exception_5000,scope_exception,5000,uncertainty,6,3,1,3,0,0,0,3,3,0,0,0,1,2.6,0.0,2.6,2.0,0,0
scope_exception_5000,scope_exception,5000,uncertainty,unlimited,3,1,3,0,0,0,3,3,0,0,0,1,2.6,0.0,2.6,2.0,0,0
scope_exception_5000,scope_exception,5000,depth1,0,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,1,0
scope_exception_5000,scope_exception,5000,depth1,1,3,1,3,0,0,0,1,1,0,0,0,0,2.6,0.6000000000000001,2.0,2.0,8,0
scope_exception_5000,scope_exception,5000,depth1,2,3,1,3,0,0,0,2,2,0,0,0,0,2.6,0.0,2.6,2.0,13,0
scope_exception_5000,scope_exception,5000,depth1,4,3,1,3,0,0,0,2,2,0,0,0,0,2.6,0.0,2.6,2.0,15,0
scope_exception_5000,scope_exception,5000,depth1,6,3,1,3,0,0,0,2,2,0,0,0,0,2.6,0.0,2.6,2.0,15,0
scope_exception_5000,scope_exception,5000,depth1,unlimited,3,1,3,0,0,0,2,2,0,0,0,0,2.6,0.0,2.6,2.0,15,0
scope_exception_5000,scope_exception,5000,completion,0,3,0,1,0,2,2.0,0,0,0,0,0,0,2.6,2.6,0.0,0.0,0,0
