bundle,condition_id,policy,input_hash,study,load,setup,budget,reviewer,contexts,loss,correct,unresolved,reviews,corrections,harms,abstentions,proposal_failures,review_failures,missed_useful,active_time,setup_time,switch_time,decision_time,coordination_time,session_offers,context_changes,repeated_context_inspections,expired_unreviewed,waiting_time,planning_and_controller_seconds
0,development,no_review,bad0a0e099b25ff30bdd4a6658a56c55aabaeae6a3960032cf03cbbf77ea98ce,development,high,1,12,ideal,related,48,3,6,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0.0003146809758618474
0,development,fifo,bad0a0e099b25ff30bdd4a6658a56c55aabaeae6a3960032cf03cbbf77ea98ce,development,high,1,12,ideal,related,8,7,2,5,4,0,0,0,0,2,11.0,5.0,1.0,5.0,0.0,5,4,2,4,17.5,0.0004200540715828538
0,development,edf,bad0a0e099b25ff30bdd4a6658a56c55aabaeae6a3960032cf03cbbf77ea98ce,development,high,1,12,ideal,related,8,8,1,6,5,0,0,0,0,1,10.75,4.0,0.75,6.0,0.0,6,3,1,3,22.5,0.00046300399117171764
0,development,greedy,bad0a0e099b25ff30bdd4a6658a56c55aabaeae6a3960032cf03cbbf77ea98ce,development,high,1,12,ideal,related,8,7,2,5,4,0,0,0,0,2,11.0,5.0,1.0,5.0,0.0,5,4,2,4,17.5,0.0004971800372004509
0,development,density,bad0a0e099b25ff30bdd4a6658a56c55aabaeae6a3960032cf03cbbf77ea98ce,development,high,1,12,ideal,related,8,7,2,5,4,0,0,0,0,2,8.5,3.0,0.5,5.0,0.0,5,2,0,4,12.5,0.00043276906944811344
0,development,fixed_window,bad0a0e099b25ff30bdd4a6658a56c55aabaeae6a3960032cf03cbbf77ea98ce,development,high,1,12,ideal,related,16,6,3,3,3,0,0,0,0,3,6.5,3.0,0.5,3.0,0.0,3,2,1,6,7.0,0.00045017607044428587
0,development,unguarded,bad0a0e099b25ff30bdd4a6658a56c55aabaeae6a3960032cf03cbbf77ea98ce,development,high,1,12,ideal,related,8,7,2,6,4,0,0,0,0,2,10.0,3.0,0.5,6.0,0.5,4,2,0,3,19.5,0.001404964947141707
0,development,sticky_edf,bad0a0e099b25ff30bdd4a6658a56c55aabaeae6a3960032cf03cbbf77ea98ce,development,high,1,12,ideal,related,8,8,1,6,5,0,0,0,0,1,10.75,4.0,0.75,6.0,0.0,6,3,1,3,22.5,0.0006551329279318452
0,development,allocation,bad0a0e099b25ff30bdd4a6658a56c55aabaeae6a3960032cf03cbbf77ea98ce,development,high,1,12,ideal,related,8,7,2,5,4,0,0,0,0,2,11.0,5.0,1.0,5.0,0.0,5,4,2,4,17.5,0.0008149789646267891
0,development,guarded,bad0a0e099b25ff30bdd4a6658a56c55aabaeae6a3960032cf03cbbf77ea98ce,development,high,1,12,ideal,related,8,8,1,6,5,0,0,0,0,1,11.0,4.0,0.75,6.0,0.25,5,3,1,3,23.25,0.0015022680163383484
