policy,seed,scenario_hash,evidence,status,error,planned_calls,total_loss,accrued_loss,loss_upper_bound,correct_jobs,jobs_closed,reviews_started,reviews_completed,corrections,late_returns,expired_requests,review_busy_ticks,simulated_ticks_completed,incomplete_service,episode_wall_seconds,scheduled_calls,attempts,prompt_tokens,completion_tokens,unknown_token_attempts,request_wall_seconds
fcfs,100,46a0826cab9be11d19cdac899a1febe746c52296070d8ab010bea452c3545e55,live_gpu,completed,,12,0,0,24,5,6,1,1,0,0,5,2,12,,2.140519,12,12,2508,84,0,1.68942916020751
uncertainty,100,46a0826cab9be11d19cdac899a1febe746c52296070d8ab010bea452c3545e55,live_gpu,completed,,12,0,0,24,5,6,1,1,0,0,5,2,12,,2.139898,12,12,2508,84,0,1.6824896521866322
myopic,100,46a0826cab9be11d19cdac899a1febe746c52296070d8ab010bea452c3545e55,live_gpu,completed,,12,0,0,24,5,6,1,1,0,0,5,2,12,,2.126719,12,12,2508,84,0,1.6732448488473892
delay,100,46a0826cab9be11d19cdac899a1febe746c52296070d8ab010bea452c3545e55,live_gpu,completed,,12,0,0,24,5,6,1,1,0,0,5,2,12,,2.18288,12,12,2508,84,0,1.6753211710602045
