bundle_id,replicate,review_duration,comparator,sequences_differ,search_sequence,other_sequence,loss_difference
development_00,2,2,greedy,True,train:004;train:000,train:000,0
development_00,2,2,edf,False,train:004;train:000,train:004;train:000,0
development_00,2,1,greedy,False,train:000;train:004,train:000;train:004,0
development_00,2,1,edf,True,train:000;train:004,train:004;train:000,0
development_00,3,2,greedy,True,train:004;train:000;train:009,train:000;train:009,0
development_00,3,2,edf,False,train:004;train:000;train:009,train:004;train:000;train:009,0
development_00,3,1,greedy,True,train:000;train:004;train:009,train:000;train:009,0
development_00,3,1,edf,True,train:000;train:004;train:009,train:004;train:000;train:009,0
development_00,4,2,greedy,True,train:004;train:000;train:009,train:000;train:009,0
development_00,4,2,edf,False,train:004;train:000;train:009,train:004;train:000;train:009,0
development_00,4,1,greedy,True,train:000;train:004;train:009,train:000;train:009,0
development_00,4,1,edf,True,train:000;train:004;train:009,train:004;train:000;train:009,0
development_01,2,1,greedy,True,train:001;train:016;train:019,train:001;train:019;train:016,0
development_01,2,1,edf,False,train:001;train:016;train:019,train:001;train:016;train:019,0
development_01,2,2,greedy,False,train:001;train:019,train:001;train:019,0
development_01,2,2,edf,True,train:001;train:019,train:001;train:016,0
development_01,3,1,greedy,True,train:001;train:016;train:019,train:001;train:019;train:016,0
development_01,3,1,edf,False,train:001;train:016;train:019,train:001;train:016;train:019,0
development_01,3,2,greedy,False,train:001;train:019,train:001;train:019,0
development_01,3,2,edf,True,train:001;train:019,train:001;train:016,0
development_01,4,1,greedy,True,train:001;train:016;train:019,train:001;train:019;train:016,0
development_01,4,1,edf,False,train:001;train:016;train:019,train:001;train:016;train:019,0
development_01,4,2,greedy,False,train:001;train:019,train:001;train:019,0
development_01,4,2,edf,True,train:001;train:019,train:001;train:016,0
development_02,2,2,greedy,True,train:040;train:021;train:002,train:021;train:002,0
development_02,2,2,edf,False,train:040;train:021;train:002,train:040;train:021;train:002,0
development_02,2,1,greedy,True,train:040;train:021;train:002,train:021;train:002,0
development_02,2,1,edf,False,train:040;train:021;train:002,train:040;train:021;train:002,0
development_02,3,2,greedy,False,train:021;train:002,train:021;train:002,0
development_02,3,2,edf,False,train:021;train:002,train:021;train:002,0
development_02,3,1,greedy,False,train:021;train:002,train:021;train:002,0
development_02,3,1,edf,False,train:021;train:002,train:021;train:002,0
development_02,4,2,greedy,True,train:040;train:021;train:002,train:021;train:002,0
development_02,4,2,edf,False,train:040;train:021;train:002,train:040;train:021;train:002,0
development_02,4,1,greedy,True,train:040;train:021;train:002,train:021;train:002,0
development_02,4,1,edf,False,train:040;train:021;train:002,train:040;train:021;train:002,0
development_03,2,1,greedy,True,train:050;train:023;train:006,train:023;train:006,0
development_03,2,1,edf,False,train:050;train:023;train:006,train:050;train:023;train:006,0
development_03,2,2,greedy,True,train:050;train:006,train:023;train:006,12
development_03,2,2,edf,True,train:050;train:006,train:050;train:023,-4
development_03,3,1,greedy,True,train:050;train:023,train:023;train:050,0
development_03,3,1,edf,False,train:050;train:023,train:050;train:023,0
development_03,3,2,greedy,True,train:050;train:023,train:023,0
development_03,3,2,edf,False,train:050;train:023,train:050;train:023,0
development_03,4,1,greedy,True,train:050;train:023;train:006,train:023;train:006,0
development_03,4,1,edf,False,train:050;train:023;train:006,train:050;train:023;train:006,0
development_03,4,2,greedy,True,train:050;train:006,train:023;train:006,12
development_03,4,2,edf,True,train:050;train:006,train:050;train:023,-4
development_04,2,2,greedy,False,train:028;train:011,train:028;train:011,0
development_04,2,2,edf,False,train:028;train:011,train:028;train:011,0
development_04,2,1,greedy,False,train:028;train:011;train:060,train:028;train:011;train:060,0
development_04,2,1,edf,False,train:028;train:011;train:060,train:028;train:011;train:060,0
development_04,3,2,greedy,False,train:028;train:011,train:028;train:011,0
development_04,3,2,edf,False,train:028;train:011,train:028;train:011,0
development_04,3,1,greedy,False,train:028;train:011;train:060,train:028;train:011;train:060,0
development_04,3,1,edf,False,train:028;train:011;train:060,train:028;train:011;train:060,0
development_04,4,2,greedy,False,train:028;train:011,train:028;train:011,0
development_04,4,2,edf,False,train:028;train:011,train:028;train:011,0
development_04,4,1,greedy,False,train:028;train:011;train:060,train:028;train:011;train:060,0
development_04,4,1,edf,False,train:028;train:011;train:060,train:028;train:011;train:060,0
development_05,2,1,greedy,False,train:014;train:033;train:065,train:014;train:033;train:065,0
development_05,2,1,edf,True,train:014;train:033;train:065,train:033;train:014;train:065,0
development_05,2,2,greedy,True,train:033;train:014,train:014;train:065,0
development_05,2,2,edf,False,train:033;train:014,train:033;train:014,0
development_05,3,1,greedy,False,train:014;train:033;train:065,train:014;train:033;train:065,0
development_05,3,1,edf,True,train:014;train:033;train:065,train:033;train:014;train:065,0
development_05,3,2,greedy,True,train:033;train:014,train:014;train:065,0
development_05,3,2,edf,False,train:033;train:014,train:033;train:014,0
development_05,4,1,greedy,False,train:014;train:033;train:065,train:014;train:033;train:065,0
development_05,4,1,edf,True,train:014;train:033;train:065,train:033;train:014;train:065,0
development_05,4,2,greedy,True,train:033;train:014,train:014;train:065,0
development_05,4,2,edf,False,train:033;train:014,train:033;train:014,0
development_06,2,2,greedy,False,train:015;train:038,train:015;train:038,0
development_06,2,2,edf,True,train:015;train:038,train:038;train:015,0
development_06,2,1,greedy,False,train:015;train:038;train:077,train:015;train:038;train:077,0
development_06,2,1,edf,True,train:015;train:038;train:077,train:038;train:077;train:015,0
development_06,3,2,greedy,False,train:038,train:038,0
development_06,3,2,edf,False,train:038,train:038,0
development_06,3,1,greedy,False,train:038;train:077,train:038;train:077,0
development_06,3,1,edf,False,train:038;train:077,train:038;train:077,0
development_06,4,2,greedy,False,train:077,train:077,0
development_06,4,2,edf,False,train:077,train:077,0
development_06,4,1,greedy,False,train:077,train:077,0
development_06,4,1,edf,False,train:077,train:077,0
development_07,2,1,greedy,False,train:088;train:056,train:088;train:056,0
development_07,2,1,edf,False,train:088;train:056,train:088;train:056,0
development_07,2,2,greedy,False,train:088,train:088,0
development_07,2,2,edf,False,train:088,train:088,0
development_07,3,1,greedy,True,train:017;train:088;train:056,train:017;train:056;train:088,0
development_07,3,1,edf,True,train:017;train:088;train:056,train:088;train:056;train:017,0
development_07,3,2,greedy,False,train:017;train:088,train:017;train:088,0
development_07,3,2,edf,True,train:017;train:088,train:088;train:017,0
development_07,4,1,greedy,False,train:088;train:056,train:088;train:056,0
development_07,4,1,edf,False,train:088;train:056,train:088;train:056,0
development_07,4,2,greedy,False,train:088,train:088,0
development_07,4,2,edf,False,train:088,train:088,0
