policy,eligible_requests,dispatches,mean_ms,p50_ms,p95_ms,max_ms,max_ordered_subsets
no_review,0,88,0.010467895745850083,0.00528348027728498,0.03179578052368013,0.0923830084502697,0
no_review,1,51,0.029233119943562674,0.023865955881774426,0.05863499245606363,0.08248898666352034,0
no_review,2,140,0.03571876025359545,0.03150897100567818,0.05913199856877326,0.15311699826270342,0
no_review,3,21,0.035969518302452,0.03298500087112188,0.056774995755404234,0.06367999594658613,0
fcfs,0,146,0.005917684238863318,0.0007899943739175797,0.032729716622270644,0.07865502266213298,0
fcfs,1,44,0.03511665933977135,0.03377601387910545,0.0611660914728418,0.07320498116314411,0
fcfs,2,65,0.037884751621347204,0.032521027605980635,0.06219259230419993,0.08070201147347689,0
edf,0,140,0.0055773466426346984,0.0008630158845335245,0.0322892126860097,0.04395499126985669,0
edf,1,42,0.036562744450444974,0.037004007026553154,0.06051470118109136,0.07711001671850681,0
edf,2,70,0.040589059270652275,0.035394972655922174,0.05457344232127069,0.12828095350414515,0
uncertainty,0,158,0.003412403858891582,0.0007709895726293325,0.009298123768530793,0.04711298970505595,0
uncertainty,1,42,0.03806421522139793,0.03561301855370402,0.06295679486356676,0.06965501233935356,0
uncertainty,2,58,0.03723682462366234,0.03481050953269005,0.05569619534071535,0.06115296855568886,0
greedy,0,158,0.004194810974729966,0.000821542926132679,0.030551731470040977,0.05209504161030054,0
greedy,1,39,0.036280842509884864,0.03653200110420585,0.05977448308840395,0.06537698209285736,0
greedy,2,61,0.04248744445532316,0.038327008951455355,0.06025098264217377,0.07603899575769901,0
search,0,140,0.006162972671778074,0.0012414820957928896,0.03520605969242749,0.06001000292599201,0
search,1,42,0.03969609609893745,0.038302503526210785,0.05855549243278799,0.11365697719156742,2
search,2,70,0.05236046854406595,0.04653853829950094,0.07646593439858407,0.10193302296102047,5
