bundle_id,replicate,case_id,status,error_classes,failure
development_00,2,train:000,staged,wrong_or_incomplete_item_list,
development_00,2,train:009,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
development_02,3,train:040,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
development_03,2,train:023,staged,wrong_variant_mapping,
development_03,2,train:006,staged,wrong_variant_mapping,
development_03,3,train:023,staged,wrong_variant_mapping,
development_03,3,train:006,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
development_03,4,train:023,staged,wrong_variant_mapping,
development_03,4,train:006,staged,wrong_variant_mapping,
development_04,2,train:011,staged,wrong_variant_mapping,
development_04,4,train:011,staged,wrong_variant_mapping,
development_05,2,train:014,staged,wrong_variant_mapping,
development_05,3,train:014,staged,wrong_variant_mapping,
development_05,4,train:014,staged,wrong_variant_mapping,
development_06,2,train:038,staged,wrong_variant_mapping,
development_06,3,train:015,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
development_06,3,train:038,staged,wrong_variant_mapping,
development_06,4,train:015,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
development_06,4,train:038,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
development_07,2,train:017,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
development_07,3,train:056,staged,wrong_variant_mapping,
development_07,3,train:017,staged,wrong_variant_mapping,
development_07,4,train:017,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
