bundle_id,review_duration,comparator,mean_search_minus_other,replicates
development_00,1,greedy,0.0,3
development_01,1,greedy,0.0,3
development_02,1,greedy,0.0,3
development_03,1,greedy,0.0,3
development_04,1,greedy,0.0,3
development_05,1,greedy,0.0,3
development_06,1,greedy,0.0,3
development_07,1,greedy,0.0,3
development_00,1,edf,0.0,3
development_01,1,edf,0.0,3
development_02,1,edf,0.0,3
development_03,1,edf,0.0,3
development_04,1,edf,0.0,3
development_05,1,edf,0.0,3
development_06,1,edf,0.0,3
development_07,1,edf,0.0,3
development_00,1,fcfs,0.0,3
development_01,1,fcfs,0.0,3
development_02,1,fcfs,0.0,3
development_03,1,fcfs,0.0,3
development_04,1,fcfs,0.0,3
development_05,1,fcfs,0.0,3
development_06,1,fcfs,0.0,3
development_07,1,fcfs,0.0,3
development_00,1,uncertainty,0.0,3
development_01,1,uncertainty,0.0,3
development_02,1,uncertainty,0.0,3
development_03,1,uncertainty,0.0,3
development_04,1,uncertainty,0.0,3
development_05,1,uncertainty,0.0,3
development_06,1,uncertainty,0.0,3
development_07,1,uncertainty,0.0,3
development_00,1,no_review,-4.0,3
development_01,1,no_review,0.0,3
development_02,1,no_review,0.0,3
development_03,1,no_review,-22.666666666666668,3
development_04,1,no_review,-5.333333333333333,3
development_05,1,no_review,-16.0,3
development_06,1,no_review,-5.333333333333333,3
development_07,1,no_review,-9.333333333333334,3
development_00,2,greedy,0.0,3
development_01,2,greedy,0.0,3
development_02,2,greedy,0.0,3
development_03,2,greedy,8.0,3
development_04,2,greedy,0.0,3
development_05,2,greedy,0.0,3
development_06,2,greedy,0.0,3
development_07,2,greedy,0.0,3
development_00,2,edf,0.0,3
development_01,2,edf,0.0,3
development_02,2,edf,0.0,3
development_03,2,edf,-2.6666666666666665,3
development_04,2,edf,0.0,3
development_05,2,edf,0.0,3
development_06,2,edf,0.0,3
development_07,2,edf,0.0,3
development_00,2,fcfs,0.0,3
development_01,2,fcfs,0.0,3
development_02,2,fcfs,0.0,3
development_03,2,fcfs,-2.6666666666666665,3
development_04,2,fcfs,0.0,3
development_05,2,fcfs,0.0,3
development_06,2,fcfs,0.0,3
development_07,2,fcfs,0.0,3
development_00,2,uncertainty,0.0,3
development_01,2,uncertainty,0.0,3
development_02,2,uncertainty,0.0,3
development_03,2,uncertainty,8.0,3
development_04,2,uncertainty,0.0,3
development_05,2,uncertainty,0.0,3
development_06,2,uncertainty,0.0,3
development_07,2,uncertainty,0.0,3
development_00,2,no_review,-4.0,3
development_01,2,no_review,0.0,3
development_02,2,no_review,0.0,3
development_03,2,no_review,-14.666666666666666,3
development_04,2,no_review,-5.333333333333333,3
development_05,2,no_review,-16.0,3
development_06,2,no_review,-5.333333333333333,3
development_07,2,no_review,-4.0,3
