seed,policy,tick,eligible_count,selected,any_policy_disagreement,search_greedy_disagreement,choice_fcfs,choice_uncertainty,choice_myopic,choice_greedy,choice_delay
216,fcfs,0,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0
216,fcfs,2,0,,False,False,,,,,
216,fcfs,3,0,,False,False,,,,,
216,fcfs,4,0,,False,False,,,,,
216,fcfs,5,0,,False,False,,,,,
216,fcfs,6,1,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1
216,fcfs,8,0,,False,False,,,,,
216,fcfs,9,0,,False,False,,,,,
216,fcfs,10,0,,False,False,,,,,
216,fcfs,11,0,,False,False,,,,,
216,uncertainty,0,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0
216,uncertainty,2,0,,False,False,,,,,
216,uncertainty,3,0,,False,False,,,,,
216,uncertainty,4,0,,False,False,,,,,
216,uncertainty,5,0,,False,False,,,,,
216,uncertainty,6,1,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1
216,uncertainty,8,0,,False,False,,,,,
216,uncertainty,9,0,,False,False,,,,,
216,uncertainty,10,0,,False,False,,,,,
216,uncertainty,11,0,,False,False,,,,,
216,myopic,0,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0
216,myopic,2,0,,False,False,,,,,
216,myopic,3,0,,False,False,,,,,
216,myopic,4,0,,False,False,,,,,
216,myopic,5,0,,False,False,,,,,
216,myopic,6,1,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1
216,myopic,8,0,,False,False,,,,,
216,myopic,9,0,,False,False,,,,,
216,myopic,10,0,,False,False,,,,,
216,myopic,11,0,,False,False,,,,,
216,greedy,0,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0
216,greedy,2,0,,False,False,,,,,
216,greedy,3,0,,False,False,,,,,
216,greedy,4,0,,False,False,,,,,
216,greedy,5,0,,False,False,,,,,
216,greedy,6,1,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1
216,greedy,8,0,,False,False,,,,,
216,greedy,9,0,,False,False,,,,,
216,greedy,10,0,,False,False,,,,,
216,greedy,11,0,,False,False,,,,,
216,delay,0,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0
216,delay,2,0,,False,False,,,,,
216,delay,3,0,,False,False,,,,,
216,delay,4,0,,False,False,,,,,
216,delay,5,0,,False,False,,,,,
216,delay,6,1,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1
216,delay,8,0,,False,False,,,,,
216,delay,9,0,,False,False,,,,,
216,delay,10,0,,False,False,,,,,
216,delay,11,0,,False,False,,,,,
217,uncertainty,0,0,,False,False,,,,,
217,uncertainty,1,0,,False,False,,,,,
217,uncertainty,2,0,,False,False,,,,,
217,uncertainty,3,0,,False,False,,,,,
217,uncertainty,4,0,,False,False,,,,,
217,uncertainty,5,0,,False,False,,,,,
217,uncertainty,6,0,,False,False,,,,,
217,uncertainty,7,1,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1
217,uncertainty,9,0,,False,False,,,,,
