seed,policy,status,review_order,timed_order
216,fcfs,completed,"['a2j0', 'a1j1']","[(0, 'a2j0'), (6, 'a1j1')]"
216,uncertainty,completed,"['a2j0', 'a1j1']","[(0, 'a2j0'), (6, 'a1j1')]"
216,myopic,completed,"['a2j0', 'a1j1']","[(0, 'a2j0'), (6, 'a1j1')]"
216,greedy,completed,"['a2j0', 'a1j1']","[(0, 'a2j0'), (6, 'a1j1')]"
216,delay,completed,"['a2j0', 'a1j1']","[(0, 'a2j0'), (6, 'a1j1')]"
217,uncertainty,completed,['a0j1'],"[(7, 'a0j1')]"
217,myopic,completed,['a0j1'],"[(7, 'a0j1')]"
217,greedy,completed,['a0j1'],"[(7, 'a0j1')]"
217,delay,completed,['a0j1'],"[(7, 'a0j1')]"
217,fcfs,completed,['a0j1'],"[(7, 'a0j1')]"
218,myopic,completed,['a1j1'],"[(6, 'a1j1')]"
218,greedy,completed,['a1j1'],"[(6, 'a1j1')]"
218,delay,completed,['a1j1'],"[(6, 'a1j1')]"
218,fcfs,completed,['a1j1'],"[(6, 'a1j1')]"
218,uncertainty,completed,['a1j1'],"[(6, 'a1j1')]"
219,greedy,completed,"['a0j0', 'a1j1']","[(1, 'a0j0'), (6, 'a1j1')]"
219,delay,completed,"['a0j0', 'a1j1']","[(1, 'a0j0'), (6, 'a1j1')]"
219,fcfs,completed,"['a0j0', 'a1j1']","[(1, 'a0j0'), (6, 'a1j1')]"
219,uncertainty,completed,"['a0j0', 'a1j1']","[(1, 'a0j0'), (6, 'a1j1')]"
219,myopic,completed,"['a2j0', 'a1j1']","[(1, 'a2j0'), (6, 'a1j1')]"
220,delay,completed,"['a1j0', 'a2j0']","[(0, 'a1j0'), (2, 'a2j0')]"
220,fcfs,completed,"['a1j0', 'a2j0']","[(0, 'a1j0'), (2, 'a2j0')]"
220,uncertainty,completed,"['a1j0', 'a2j0']","[(0, 'a1j0'), (2, 'a2j0')]"
220,myopic,completed,"['a1j0', 'a2j0']","[(0, 'a1j0'), (2, 'a2j0')]"
220,greedy,completed,"['a1j0', 'a2j0']","[(0, 'a1j0'), (2, 'a2j0')]"
221,fcfs,completed,"['a2j0', 'a2j1', 'a1j1']","[(1, 'a2j0'), (6, 'a2j1'), (8, 'a1j1')]"
221,uncertainty,completed,"['a2j0', 'a2j1', 'a1j1']","[(1, 'a2j0'), (6, 'a2j1'), (8, 'a1j1')]"
221,myopic,completed,"['a2j0', 'a2j1', 'a1j1']","[(1, 'a2j0'), (6, 'a2j1'), (8, 'a1j1')]"
221,greedy,completed,"['a2j0', 'a2j1', 'a1j1']","[(1, 'a2j0'), (6, 'a2j1'), (8, 'a1j1')]"
221,delay,completed,"['a2j0', 'a2j1', 'a1j1']","[(1, 'a2j0'), (6, 'a2j1'), (8, 'a1j1')]"
222,uncertainty,completed,"['a0j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (7, 'a0j1'), (9, 'a2j1')]"
222,myopic,completed,"['a0j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (7, 'a0j1'), (9, 'a2j1')]"
222,greedy,completed,"['a0j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (7, 'a0j1'), (9, 'a2j1')]"
222,delay,completed,"['a0j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (7, 'a0j1'), (9, 'a2j1')]"
222,fcfs,completed,"['a0j0', 'a0j1', 'a2j1']","[(0, 'a0j0'), (7, 'a0j1'), (9, 'a2j1')]"
223,myopic,completed,"['a0j0', 'a1j0', 'a2j1', 'a1j1']","[(1, 'a0j0'), (3, 'a1j0'), (7, 'a2j1'), (9, 'a1j1')]"
223,greedy,completed,"['a0j0', 'a1j0', 'a2j1', 'a1j1']","[(1, 'a0j0'), (3, 'a1j0'), (7, 'a2j1'), (9, 'a1j1')]"
223,delay,completed,"['a0j0', 'a1j0', 'a2j1', 'a1j1']","[(1, 'a0j0'), (3, 'a1j0'), (7, 'a2j1'), (9, 'a1j1')]"
223,fcfs,completed,"['a0j0', 'a1j0', 'a1j1', 'a2j1']","[(1, 'a0j0'), (3, 'a1j0'), (7, 'a1j1'), (9, 'a2j1')]"
223,uncertainty,completed,"['a0j0', 'a1j0', 'a1j1', 'a2j1']","[(1, 'a0j0'), (3, 'a1j0'), (7, 'a1j1'), (9, 'a2j1')]"
