policy,seed,scenario_hash,evidence,status,error,planned_calls,total_loss,accrued_loss,loss_upper_bound,correct_jobs,jobs_closed,reviews_started,reviews_completed,corrections,late_returns,expired_requests,review_busy_ticks,simulated_ticks_completed,incomplete_service,episode_wall_seconds,scheduled_calls,attempts,prompt_tokens,completion_tokens,unknown_token_attempts,request_wall_seconds,execution_index,folder,phase,estimator_hash
fcfs,200,a649715894dd0977535a69531676be5965130c60d8e95205bc604aef9b2796d2,live_gpu,completed,,12,6,6,28,5,6,1,1,0,0,5,2,12,,2.218516,12,12,2508,84,0,1.6783151626586914,0,calibration/200/fcfs,calibration,
fcfs,201,95fc7b0470c43bc83c273415a6723e1ef7a36cf524aff6cffb59a849c0de5d75,live_gpu,completed,,12,18,18,72,6,6,3,3,2,0,3,6,12,,2.190187,12,12,2564,84,0,1.6871018968522549,1,calibration/201/fcfs,calibration,
fcfs,202,cff280356f04d5661d194a9f0236d31000bad9efc17dc147db404de2e91dbf58,live_gpu,completed,,12,8,8,42,6,6,4,4,2,0,2,8,12,,2.234049,12,12,2566,84,0,1.6762760207057,2,calibration/202/fcfs,calibration,
fcfs,203,f813b9bea89d2c6b9c515f8620a2d6f28b246600b81688e61e58c51e40df0f80,live_gpu,completed,,12,8,8,49,5,6,2,2,1,0,4,4,12,,2.213755,12,12,2508,84,0,1.684391489252448,3,calibration/203/fcfs,calibration,
fcfs,204,fc19d284d2ae4c214beedd5699e6c439e029b6c11d994676a87214229a560f5d,live_gpu,completed,,12,10,10,46,5,6,4,4,0,0,2,8,12,,2.299501,12,12,2564,84,0,1.6748390793800354,4,calibration/204/fcfs,calibration,
fcfs,205,3515383c2933c6ceb03d991da007d9e9111041bb2237d10646def4403030c640,live_gpu,completed,,12,6,6,32,6,6,1,1,1,0,5,2,12,,2.153423,12,12,2508,84,0,1.6899690050631762,5,calibration/205/fcfs,calibration,
fcfs,206,3ce3cd51d94ee2fc9a8933395006132ebe7b0ef5dac21caee58b2de74a6abd94,live_gpu,completed,,12,0,0,61,6,6,3,3,0,0,3,6,12,,2.246222,12,12,2566,84,0,1.6730795744806528,6,calibration/206/fcfs,calibration,
fcfs,207,9c04f844b3af8ac5a8902f0ddbd9768ab6783be2fc2bb34b16bc65dbac3f6ea5,live_gpu,completed,,12,0,0,66,6,6,3,3,0,0,3,6,12,,2.159247,12,12,2512,84,0,1.6753702387213707,7,calibration/207/fcfs,calibration,
fcfs,208,84d2f74bed0d9c879fc461dcd18e089c4dbee88ba5c6ac8ed1ada1debcf9b114,live_gpu,completed,,12,3,3,29,5,6,1,1,0,0,5,2,12,,2.231064,12,12,2508,84,0,1.6818787921220064,8,calibration/208/fcfs,calibration,
fcfs,209,ea1d52e6c644cb1bbc17ac854f43be7aaaf6b1c9345936d66e9fe48bb20ab7d0,live_gpu,completed,,12,1,1,34,5,6,3,3,0,0,3,6,12,,2.304157,12,12,2564,84,0,1.672786831855774,9,calibration/209/fcfs,calibration,
fcfs,210,08fea82576193782c6cd1fc52386923ccc2c65b002d20db05b2f421b810e508d,live_gpu,completed,,12,0,0,45,6,6,2,2,0,0,4,4,12,,2.201082,12,12,2456,84,0,1.6917046029120684,10,calibration/210/fcfs,calibration,
fcfs,211,f04b137ccdf98a6c8504acb1ff412c1bda50021635d0f6890379b989144f7ae7,live_gpu,completed,,12,0,0,78,6,6,4,4,0,0,2,8,12,,2.593744,12,12,2566,84,0,1.685040621086955,11,calibration/211/fcfs,calibration,
fcfs,212,5a1dd7b1b1418a57d8f0b3acbaf258e4051d2035ac75c65c4de02012c46a285a,live_gpu,completed,,12,14,14,35,6,6,2,2,2,0,4,4,12,,2.248274,12,12,2458,84,0,1.6943352408707142,12,calibration/212/fcfs,calibration,
fcfs,213,7be433e751f3da81d3688d752ae3c3ba31be4be84f3e85d0fc6d2d1b9a916347,live_gpu,completed,,12,3,3,71,6,6,5,5,1,0,1,10,12,,2.285098,12,12,2568,84,0,1.6800306048244238,13,calibration/213/fcfs,calibration,
