policy,planned_episodes,completed_episodes,incomplete_episodes,total_loss,correct_jobs,reviews_completed,corrections,expired_requests,expired_opportunities,wrong_expired_opportunities,late_returns,dispatch_opportunities,competing_dispatches,same_queue_search_greedy_disagreements
fcfs,8,8,0,60,42,18,2,30,2,1,0,18,4,0
uncertainty,8,8,0,60,42,18,2,30,2,1,0,18,4,0
myopic,8,8,0,62,42,18,2,30,2,1,0,18,4,0
greedy,8,8,0,62,42,18,2,30,2,1,0,18,4,0
delay,8,8,0,62,42,18,2,30,2,1,0,18,4,0
