seed,left,right,loss_difference,lower_bound,upper_bound
216,uncertainty,fcfs,0,0,0
217,uncertainty,fcfs,0,0,0
218,uncertainty,fcfs,0,0,0
219,uncertainty,fcfs,0,0,0
220,uncertainty,fcfs,0,0,0
221,uncertainty,fcfs,0,0,0
222,uncertainty,fcfs,0,0,0
223,uncertainty,fcfs,0,0,0
216,myopic,fcfs,0,0,0
217,myopic,fcfs,0,0,0
218,myopic,fcfs,0,0,0
219,myopic,fcfs,0,0,0
220,myopic,fcfs,0,0,0
221,myopic,fcfs,0,0,0
222,myopic,fcfs,0,0,0
223,myopic,fcfs,2,2,2
216,myopic,uncertainty,0,0,0
217,myopic,uncertainty,0,0,0
218,myopic,uncertainty,0,0,0
219,myopic,uncertainty,0,0,0
220,myopic,uncertainty,0,0,0
221,myopic,uncertainty,0,0,0
222,myopic,uncertainty,0,0,0
223,myopic,uncertainty,2,2,2
216,greedy,fcfs,0,0,0
217,greedy,fcfs,0,0,0
218,greedy,fcfs,0,0,0
219,greedy,fcfs,0,0,0
220,greedy,fcfs,0,0,0
221,greedy,fcfs,0,0,0
222,greedy,fcfs,0,0,0
223,greedy,fcfs,2,2,2
216,greedy,uncertainty,0,0,0
217,greedy,uncertainty,0,0,0
218,greedy,uncertainty,0,0,0
219,greedy,uncertainty,0,0,0
220,greedy,uncertainty,0,0,0
221,greedy,uncertainty,0,0,0
222,greedy,uncertainty,0,0,0
223,greedy,uncertainty,2,2,2
216,greedy,myopic,0,0,0
217,greedy,myopic,0,0,0
218,greedy,myopic,0,0,0
219,greedy,myopic,0,0,0
220,greedy,myopic,0,0,0
221,greedy,myopic,0,0,0
222,greedy,myopic,0,0,0
223,greedy,myopic,0,0,0
216,delay,fcfs,0,0,0
217,delay,fcfs,0,0,0
218,delay,fcfs,0,0,0
219,delay,fcfs,0,0,0
220,delay,fcfs,0,0,0
221,delay,fcfs,0,0,0
222,delay,fcfs,0,0,0
223,delay,fcfs,2,2,2
216,delay,uncertainty,0,0,0
217,delay,uncertainty,0,0,0
218,delay,uncertainty,0,0,0
219,delay,uncertainty,0,0,0
220,delay,uncertainty,0,0,0
221,delay,uncertainty,0,0,0
222,delay,uncertainty,0,0,0
223,delay,uncertainty,2,2,2
216,delay,myopic,0,0,0
217,delay,myopic,0,0,0
218,delay,myopic,0,0,0
219,delay,myopic,0,0,0
220,delay,myopic,0,0,0
221,delay,myopic,0,0,0
222,delay,myopic,0,0,0
223,delay,myopic,0,0,0
216,delay,greedy,0,0,0
217,delay,greedy,0,0,0
218,delay,greedy,0,0,0
219,delay,greedy,0,0,0
220,delay,greedy,0,0,0
221,delay,greedy,0,0,0
222,delay,greedy,0,0,0
223,delay,greedy,0,0,0
