left,right,completed_scenario_pairs,mean_loss_difference,left_lower_loss,ties,left_higher_loss
uncertainty,fcfs,8,0.0,0,8,0
myopic,fcfs,8,0.25,0,7,1
myopic,uncertainty,8,0.25,0,7,1
greedy,fcfs,8,0.25,0,7,1
greedy,uncertainty,8,0.25,0,7,1
greedy,myopic,8,0.0,0,8,0
delay,fcfs,8,0.25,0,7,1
delay,uncertainty,8,0.25,0,7,1
delay,myopic,8,0.0,0,8,0
delay,greedy,8,0.0,0,8,0
