method,runs,project_correct_total,project_correct_mean,accepted_correct_total,accepted_correct_mean,accepted_wrong_total,accepted_wrong_mean,unfinished_total,unfinished_mean,raw_correct_total,raw_correct_mean,requirement_violations_total,requirement_violations_mean,dependency_inconsistencies_total,dependency_inconsistencies_mean,unnecessary_modifications_total,unnecessary_modifications_mean,appendix_correct_total,appendix_correct_mean,calls_total,calls_mean,attempts_total,attempts_mean,tokens_total,tokens_mean,inference_seconds_total,inference_seconds_mean,rounds_total,rounds_mean,repair_repeats_total,repair_repeats_mean,direct_recipients_total,direct_recipients_mean,forwarded_messages_total,forwarded_messages_mean,public_probe_executions_total,public_probe_executions_mean,V_total,V_mean
shared_state,16,15,0.9375,63,3.9375,0,0.0,1,0.0625,63,3.9375,1,0.0625,0,0.0,0,0.0,16,1.0,48,3.0,48,3.0,40772,2548.25,91.93731491605286,5.7460821822533035,18,1.125,2,0.125,46,2.875,0,0.0,356,22.25,0.5,0.03125
broadcast,16,16,1.0,64,4.0,0,0.0,0,0.0,64,4.0,0,0.0,0,0.0,17,1.0625,16,1.0,64,4.0,64,4.0,47049,2940.5625,118.84940985916182,7.428088116197614,16,1.0,0,0.0,64,4.0,0,0.0,384,24.0,0.0,0.0
targeted,16,16,1.0,64,4.0,0,0.0,0,0.0,64,4.0,0,0.0,0,0.0,0,0.0,16,1.0,46,2.875,46,2.875,35187,2199.1875,86.06673072150443,5.379170670094027,16,1.0,0,0.0,46,2.875,0,0.0,312,19.5,0.0,0.0
sparse,16,16,1.0,64,4.0,0,0.0,0,0.0,64,4.0,0,0.0,0,0.0,0,0.0,16,1.0,46,2.875,46,2.875,35247,2202.9375,86.3507070215419,5.396919188846368,16,1.0,0,0.0,16,1.0,30,1.875,312,19.5,0.0,0.0
global_packet,16,16,1.0,64,4.0,0,0.0,0,0.0,64,4.0,0,0.0,0,0.0,0,0.0,16,1.0,46,2.875,46,2.875,35187,2199.1875,86.0299452051986,5.3768715753249126,16,1.0,0,0.0,46,2.875,0,0.0,344,21.5,0.0,0.0
