record_kind,config,family,contrast,metric,mean,mc_se,mc_low,mc_high,seed_positive,seed_ties,seed_negative,raw_positive,raw_ties,raw_negative,seeds
computational_simulation,000_o0_ideal_short,original,G_minus_Q,correct,-0.33333333333333326,0.042333375666730164,-0.4163067496401244,-0.25035991702654214,0,6,26,0,64,32,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,incorrect,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,unfinished,0.33333333333333326,0.042333375666730164,0.25035991702654214,0.4163067496401244,26,6,0,32,64,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,released,-0.33333333333333326,0.042333375666730164,-0.4163067496401244,-0.25035991702654214,0,6,26,0,64,32,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,never_selected,0.33333333333333326,0.042333375666730164,0.25035991702654214,0.4163067496401244,26,6,0,32,64,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,unstarted,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,deferred,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,blocked,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,approved_unreleased,0.041666666666666664,0.0248201415492196,-0.0069808107698037525,0.09031414410313708,5,26,1,6,88,2,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,review_attempts,-0.33333333333333326,0.042333375666730164,-0.4163067496401244,-0.25035991702654214,0,6,26,0,64,32,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,repairs,-0.10416666666666666,0.04081796945983928,-0.18416988680795165,-0.024163446525381674,0,25,7,0,86,10,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,damage,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,carryover_harms,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,mean_wait,6.831823677160669,0.19365982121140995,6.452250427586305,7.211396926735032,32,0,0,82,0,14,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,unrelated_wait_sum,63.430066875556406,2.3185188403820174,58.88576994840765,67.97436380270516,32,0,0,71,0,25,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,source_switches,-4.666666666666667,0.04733015285392207,-4.759433766260354,-4.57389956707298,0,0,32,0,0,96,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,source_returns,-4.666666666666667,0.04733015285392207,-4.759433766260354,-4.57389956707298,0,0,32,0,0,96,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,groups,2.8229166666666665,0.03341513819473858,2.757422995804979,2.888410337528354,32,0,0,96,0,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,time_orientation,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,time_question,-3.4807592136747134,0.41314773630266866,-4.290528776827944,-2.670989650521483,2,1,29,2,47,47,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,time_verification,-4.9584067032149495,0.5636065778775676,-6.063075595854982,-3.853737810574917,0,1,31,2,40,54,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,time_construction,-1.5320947511256848,0.743367965844055,-2.9890959641800325,-0.07509353807133712,12,1,19,18,34,44,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,time_interaction,-0.670135546281551,0.06108633888178001,-0.7898647704898398,-0.5504063220732622,0,3,29,0,57,39,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,time_release,-0.6164453195821503,0.07457562493070465,-0.7626135444463314,-0.4702770947179692,0,5,27,0,62,34,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,time_grouping,11.25784153387906,0.1307268295050926,11.001616948049078,11.51406611970904,32,0,0,96,0,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q,time_idle,-7.1048491164423434e-15,9.379237485277568e-15,-2.5488154587586376e-14,1.127845635470169e-14,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,correct,-0.12499999999999999,0.041666666666666664,-0.20666666666666667,-0.04333333333333332,0,23,9,0,84,12,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,incorrect,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,unfinished,0.12499999999999999,0.041666666666666664,0.04333333333333332,0.20666666666666667,9,23,0,12,84,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,released,-0.12499999999999999,0.041666666666666664,-0.20666666666666667,-0.04333333333333332,0,23,9,0,84,12,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,never_selected,0.12499999999999999,0.041666666666666664,0.04333333333333332,0.20666666666666667,9,23,0,12,84,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,unstarted,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,deferred,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,blocked,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,approved_unreleased,0.05208333333333333,0.021737760738757887,0.009477322285367872,0.09468934438129878,5,27,0,6,89,1,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,review_attempts,-0.12499999999999999,0.041666666666666664,-0.20666666666666667,-0.04333333333333332,0,23,9,0,84,12,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,repairs,-0.12499999999999999,0.041666666666666664,-0.20666666666666667,-0.04333333333333332,0,23,9,0,84,12,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,damage,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
computational_simulation,000_o0_ideal_short,original,G_minus_Q-source-aware,carryover_harms,0.0,0.0,0.0,0.0,0,32,0,0,96,0,32
