example,common_task_attempts,planned_orientation_saved_on_common_attempts,planned_group_cost_on_common_attempts,balance,limit
beneficial,9,0.0,12.0,-12.0,"Planned phase times on shared attempted tasks, not a guarantee of another released answer"
tie,7,0.0,8.0,-8.0,"Planned phase times on shared attempted tasks, not a guarantee of another released answer"
unfavorable,7,0.0,8.0,-8.0,"Planned phase times on shared attempted tasks, not a guarantee of another released answer"
