record_kind,config,family,policy,metric,mean,mc_se,mc_low,mc_high,seeds,rotations
computational_simulation,000_o0_ideal_short,original,Q,correct,7.489583333333333,0.059839194234771145,7.372298512633182,7.606868154033484,32,3
computational_simulation,000_o0_ideal_short,original,Q,incorrect,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,Q,unfinished,4.510416666666667,0.059839194234771145,4.393131845966516,4.627701487366818,32,3
computational_simulation,000_o0_ideal_short,original,Q,released,7.489583333333333,0.059839194234771145,7.372298512633182,7.606868154033484,32,3
computational_simulation,000_o0_ideal_short,original,Q,never_selected,3.5104166666666665,0.05983919423477112,3.393131845966515,3.627701487366818,32,3
computational_simulation,000_o0_ideal_short,original,Q,unstarted,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,Q,deferred,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,Q,blocked,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,Q,approved_unreleased,0.020833333333333332,0.014491840492505258,-0.007570674031976973,0.049237340698643633,32,3
computational_simulation,000_o0_ideal_short,original,Q,review_attempts,8.489583333333334,0.059839194234771076,8.372298512633183,8.606868154033485,32,3
computational_simulation,000_o0_ideal_short,original,Q,repairs,5.59375,0.046697318562545984,5.50222325561741,5.68527674438259,32,3
computational_simulation,000_o0_ideal_short,original,Q,damage,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,Q,carryover_harms,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,Q,mean_wait,234.46174773200624,1.098859666793446,232.3079827850911,236.6155126789214,32,3
computational_simulation,000_o0_ideal_short,original,Q,unrelated_wait_sum,1535.0594307150925,6.520284316598412,1522.2796734545595,1547.8391879756255,32,3
computational_simulation,000_o0_ideal_short,original,Q,source_switches,7.489583333333333,0.059839194234771145,7.372298512633182,7.606868154033484,32,3
computational_simulation,000_o0_ideal_short,original,Q,source_returns,6.489583333333333,0.059839194234771145,6.372298512633182,6.606868154033484,32,3
computational_simulation,000_o0_ideal_short,original,Q,groups,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,Q,time_orientation,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,Q,time_question,78.30152281224595,0.6732760257339993,76.98190180180731,79.62114382268459,32,3
computational_simulation,000_o0_ideal_short,original,Q,time_verification,132.72945158290145,1.3397088956655636,130.10362214739695,135.35528101840595,32,3
computational_simulation,000_o0_ideal_short,original,Q,time_construction,298.58530352709636,1.6514585832881423,295.3484447038516,301.8221623503411,32,3
computational_simulation,000_o0_ideal_short,original,Q,time_interaction,15.136694830860549,0.11919578829628734,14.903071085799825,15.370318575921273,32,3
computational_simulation,000_o0_ideal_short,original,Q,time_release,14.997027246895748,0.11722697213681604,14.767262381507589,15.226792112283906,32,3
computational_simulation,000_o0_ideal_short,original,Q,time_grouping,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,Q,time_idle,0.2499999999999987,7.704457182111106e-15,0.2499999999999836,0.2500000000000138,32,3
computational_simulation,000_o0_ideal_short,original,G,correct,7.15625,0.05181381880344677,7.0546949151452445,7.2578050848547555,32,3
computational_simulation,000_o0_ideal_short,original,G,incorrect,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,G,unfinished,4.84375,0.05181381880344677,4.7421949151452445,4.9453050848547555,32,3
computational_simulation,000_o0_ideal_short,original,G,released,7.15625,0.05181381880344677,7.0546949151452445,7.2578050848547555,32,3
computational_simulation,000_o0_ideal_short,original,G,never_selected,3.8437499999999996,0.05181381880344678,3.742194915145244,3.945305084854755,32,3
computational_simulation,000_o0_ideal_short,original,G,unstarted,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,G,deferred,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,G,blocked,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,G,approved_unreleased,0.0625,0.023367390659561435,0.01669991430725959,0.10830008569274041,32,3
computational_simulation,000_o0_ideal_short,original,G,review_attempts,8.15625,0.05181381880344679,8.054694915145244,8.257805084854756,32,3
computational_simulation,000_o0_ideal_short,original,G,repairs,5.489583333333333,0.0518138188034468,5.3880282484785775,5.5911384181880885,32,3
computational_simulation,000_o0_ideal_short,original,G,damage,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,G,carryover_harms,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,G,mean_wait,241.29357140916693,1.1010785118189221,239.13545752600183,243.45168529233203,32,3
computational_simulation,000_o0_ideal_short,original,G,unrelated_wait_sum,1598.489497590649,6.650556273353297,1585.4544072948765,1611.5245878864216,32,3
computational_simulation,000_o0_ideal_short,original,G,source_switches,2.8229166666666665,0.03341513819473858,2.757422995804979,2.888410337528354,32,3
computational_simulation,000_o0_ideal_short,original,G,source_returns,1.8229166666666667,0.03341513819473857,1.7574229958049792,1.8884103375283543,32,3
computational_simulation,000_o0_ideal_short,original,G,groups,2.8229166666666665,0.03341513819473858,2.757422995804979,2.888410337528354,32,3
computational_simulation,000_o0_ideal_short,original,G,time_orientation,0.0,0.0,0.0,0.0,32,3
computational_simulation,000_o0_ideal_short,original,G,time_question,74.82076359857123,0.557688984152253,73.72769318963282,75.91383400750965,32,3
computational_simulation,000_o0_ideal_short,original,G,time_verification,127.77104487968649,1.2479380975696186,125.32508620845003,130.21700355092293,32,3
computational_simulation,000_o0_ideal_short,original,G,time_construction,297.0532087759706,1.5627872914056558,293.9901456848155,300.11627186712565,32,3
computational_simulation,000_o0_ideal_short,original,G,time_interaction,14.466559284578999,0.08754459674098687,14.294971874966665,14.638146694191333,32,3
computational_simulation,000_o0_ideal_short,original,G,time_release,14.380581927313596,0.08991790315376758,14.204342837132211,14.55682101749498,32,3
computational_simulation,000_o0_ideal_short,original,G,time_grouping,11.25784153387906,0.1307268295050926,11.001616948049078,11.51406611970904,32,3
