assumed_paired_sd,proposed_quality_margin,normal_approximation_n,counterbalanced_n,with_10pct_attrition,status
0.1,0.05,32,32,36,"hypothetical planning, not estimated from participants"
0.15,0.05,71,72,80,"hypothetical planning, not estimated from participants"
0.2,0.05,126,128,140,"hypothetical planning, not estimated from participants"
