id,db,domain,kind,rep,condition,method,budget,questions,correct,wrong,unfinished,project_correct,loss,recovered,suppressed,incorrect_suppression,covered_references,references,intended_covered,reference_equal,reference_failure,verification_failures,executions,controller_seconds,reason,trace_hash,repeated_questions,incorrect_scope_transfers
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,no_recovery,2,1,0,0,1,0,1,0,0,0,0,2,0,0,0,4,6,0.002917450969107449,answer_execution_failed,2820a0d1014b4ad6af5986c717f1a998a45a378f0f6bbbaec473ce6d446b37ce,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,no_verification,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,4,4,0.0026013320311903954,verification_failed,005c64ac07c7013b029a4981bcf22c7e6da1f07f08a693a675ce0e3c72155e8f,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,no_verification,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,4,6,0.0027383490232750773,answer_execution_failed,32e416ababc105cd7925f4a38240d6f058342d1518ec83bcf9b7d0709f019979,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,no_verification,2,1,0,0,1,0,1,0,0,0,0,2,0,0,0,4,6,0.0027734959730878472,answer_execution_failed,2820a0d1014b4ad6af5986c717f1a998a45a378f0f6bbbaec473ce6d446b37ce,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,no_coverage_guard,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,4,4,0.0026822600048035383,verification_failed,005c64ac07c7013b029a4981bcf22c7e6da1f07f08a693a675ce0e3c72155e8f,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,no_coverage_guard,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,4,6,0.0027117739664390683,answer_execution_failed,32e416ababc105cd7925f4a38240d6f058342d1518ec83bcf9b7d0709f019979,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,no_coverage_guard,2,1,0,0,1,0,1,0,0,0,0,2,0,0,0,4,6,0.00280045997351408,answer_execution_failed,2820a0d1014b4ad6af5986c717f1a998a45a378f0f6bbbaec473ce6d446b37ce,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,no_sharing,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,4,4,0.0029100700048729777,verification_failed,005c64ac07c7013b029a4981bcf22c7e6da1f07f08a693a675ce0e3c72155e8f,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,no_sharing,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,4,5,0.0022910769330337644,verification_failed,992ca53946440a2b440f00b7fbb98434502ca4e29c3ceddb93d51953afbb137d,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,no_sharing,2,1,0,0,1,0,1,0,0,0,0,2,0,0,0,4,5,0.002368334913626313,verification_failed,fe5995b5fc050c8861548bf9d99327b60cb8cf47cd35401e415dcbc43b386cb7,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,all_wait,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,4,4,0.0018957919673994184,verification_failed,005c64ac07c7013b029a4981bcf22c7e6da1f07f08a693a675ce0e3c72155e8f,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,all_wait,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,4,6,0.003030264051631093,answer_execution_failed,32e416ababc105cd7925f4a38240d6f058342d1518ec83bcf9b7d0709f019979,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,generated,all_wait,2,1,0,0,1,0,1,0,0,0,0,2,0,0,0,4,6,0.0027307940181344748,answer_execution_failed,2820a0d1014b4ad6af5986c717f1a998a45a378f0f6bbbaec473ce6d446b37ce,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,recovery_completion,0,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,4,0.0021179949399083853,unresolved_interpretation,d13472c359e1c6f0c46604a3620d03b49417128a18cd89663b4dcd9e72bd5320,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,recovery_completion,1,1,1,0,0,1,0,0,0,0,2,2,1,0,0,0,5,0.002732020919211209,user_answer,597c0fb3cdccc46382f7db1e71a8da950ba75e6ab79ee50278832c929c5ca650,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,recovery_completion,2,1,1,0,0,1,0,0,0,0,2,2,1,0,0,0,5,0.0027717259945347905,user_answer,9eb9b96234498c33ceb65e2522e86ae105dc719e18613abcdfc894487850e35c,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,recovery_depth2,0,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,4,0.0024842179846018553,unresolved_interpretation,d13472c359e1c6f0c46604a3620d03b49417128a18cd89663b4dcd9e72bd5320,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,recovery_depth2,1,1,1,0,0,1,0,0,0,0,2,2,1,0,0,0,5,0.0028942140052095056,user_answer,597c0fb3cdccc46382f7db1e71a8da950ba75e6ab79ee50278832c929c5ca650,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,recovery_depth2,2,1,1,0,0,1,0,0,0,0,2,2,1,0,0,0,5,0.003167429007589817,user_answer,9eb9b96234498c33ceb65e2522e86ae105dc719e18613abcdfc894487850e35c,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,verification,0,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,4,0.002058269106782973,unresolved_interpretation,d13472c359e1c6f0c46604a3620d03b49417128a18cd89663b4dcd9e72bd5320,0,0
106,data/attachment/Airport/attachment_1tab_ref_aircraft_manufacturers/attachment_1tab_ref_aircraft_manufacturers.sqlite,Airport,attachment,0,reference_candidates,verification,1,1,1,0,0,1,0,0,0,0,2,2,1,0,0,0,5,0.002615269972011447,user_answer,597c0fb3cdccc46382f7db1e71a8da950ba75e6ab79ee50278832c929c5ca650,0,0
