policy,seed,scenario_hash,evidence,status,error,planned_calls,total_loss,accrued_loss,loss_upper_bound,correct_jobs,jobs_closed,reviews_started,reviews_completed,corrections,late_returns,expired_requests,review_busy_ticks,simulated_ticks_completed,incomplete_service,episode_wall_seconds,scheduled_calls,attempts,prompt_tokens,completion_tokens,unknown_token_attempts,request_wall_seconds,agents,closure_penalty,execution_index,horizon,jobs,phase,review_ticks,risk,run_id,workload
fcfs,10000,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,live_gpu,completed,,12,14,14,75,6,6,6,6,4,0,0,6,12,,2.420287,12,12,2618,84,0,1.6841542143374681,3,0,0,12,6,replication,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,original
uncertainty,10000,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,live_gpu,completed,,12,14,14,75,6,6,6,6,4,0,0,6,12,,2.369872,12,12,2618,84,0,1.65328180603683,3,0,1,12,6,replication,1,frozen,replication/original/10000/a3/s1/frozen/uncertainty/lambda0,original
myopic,10000,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,live_gpu,completed,,12,24,24,75,4,6,4,4,2,0,2,4,12,,2.378461,12,12,2564,84,0,1.6848636232316494,3,0,2,12,6,replication,1,frozen,replication/original/10000/a3/s1/frozen/myopic/lambda0,original
greedy,10000,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,live_gpu,completed,,12,24,24,75,4,6,4,4,2,0,2,4,12,,2.309924,12,12,2564,84,0,1.6623665057122707,3,0,3,12,6,replication,1,frozen,replication/original/10000/a3/s1/frozen/greedy/lambda0,original
edf,10000,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,live_gpu,completed,,12,14,14,75,6,6,6,6,4,0,0,6,12,,2.407425,12,12,2618,84,0,1.6794863399118185,3,0,4,12,6,replication,1,frozen,replication/original/10000/a3/s1/frozen/edf/lambda0,original
delay,10000,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,live_gpu,completed,,12,14,14,75,6,6,6,6,4,0,0,6,12,,2.326131,12,12,2618,84,0,1.6674309186637402,3,0,5,12,6,replication,1,frozen,replication/original/10000/a3/s1/frozen/delay/lambda0,original
uncertainty,10000,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,live_gpu,completed,,12,33,33,75,4,6,4,4,2,0,2,8,12,,2.292943,12,12,2564,84,0,1.6831733547151089,3,0,6,12,6,replication,2,frozen,replication/original/10000/a3/s2/frozen/uncertainty/lambda0,original
myopic,10000,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,live_gpu,completed,,12,27,27,75,4,6,3,3,2,0,3,6,12,,2.30325,12,12,2564,84,0,1.6764376927167177,3,0,7,12,6,replication,2,frozen,replication/original/10000/a3/s2/frozen/myopic/lambda0,original
greedy,10000,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,live_gpu,completed,,12,27,27,75,4,6,3,3,2,0,3,6,12,,2.305898,12,12,2564,84,0,1.6713787540793419,3,0,8,12,6,replication,2,frozen,replication/original/10000/a3/s2/frozen/greedy/lambda0,original
edf,10000,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,live_gpu,completed,,12,33,33,75,4,6,4,4,2,0,2,8,12,,2.338049,12,12,2564,84,0,1.674622256308794,3,0,9,12,6,replication,2,frozen,replication/original/10000/a3/s2/frozen/edf/lambda0,original
