agents,closure_penalty,execution_index,horizon,jobs,loss_upper_bound,phase,planned_calls,policy,review_ticks,risk,run_id,scenario_hash,seed,workload,status,review_order,timed_order
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a1j0', 'a2j0', 'a0j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (7, 'a0j1'), (8, 'a1j1'), (9, 'a2j1')]"
3,0,1,12,6,75,replication,12,uncertainty,1,frozen,replication/original/10000/a3/s1/frozen/uncertainty/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a1j0', 'a2j0', 'a0j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (7, 'a0j1'), (8, 'a1j1'), (9, 'a2j1')]"
3,0,2,12,6,75,replication,12,myopic,1,frozen,replication/original/10000/a3/s1/frozen/myopic/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a1j0', 'a0j0', 'a2j1', 'a1j1']","[(0, 'a1j0'), (1, 'a0j0'), (7, 'a2j1'), (8, 'a1j1')]"
3,0,3,12,6,75,replication,12,greedy,1,frozen,replication/original/10000/a3/s1/frozen/greedy/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a1j0', 'a0j0', 'a2j1', 'a1j1']","[(0, 'a1j0'), (1, 'a0j0'), (7, 'a2j1'), (8, 'a1j1')]"
3,0,4,12,6,75,replication,12,edf,1,frozen,replication/original/10000/a3/s1/frozen/edf/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a1j0', 'a2j0', 'a0j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (7, 'a0j1'), (8, 'a1j1'), (9, 'a2j1')]"
3,0,5,12,6,75,replication,12,delay,1,frozen,replication/original/10000/a3/s1/frozen/delay/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a1j0', 'a2j0', 'a0j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (7, 'a0j1'), (8, 'a1j1'), (9, 'a2j1')]"
3,0,6,12,6,75,replication,12,uncertainty,2,frozen,replication/original/10000/a3/s2/frozen/uncertainty/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a2j0', 'a0j0', 'a1j1', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (7, 'a1j1'), (9, 'a2j1')]"
3,0,7,12,6,75,replication,12,myopic,2,frozen,replication/original/10000/a3/s2/frozen/myopic/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a2j0', 'a0j0', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (7, 'a2j1')]"
3,0,8,12,6,75,replication,12,greedy,2,frozen,replication/original/10000/a3/s2/frozen/greedy/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a2j0', 'a0j0', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (7, 'a2j1')]"
3,0,9,12,6,75,replication,12,edf,2,frozen,replication/original/10000/a3/s2/frozen/edf/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a2j0', 'a0j0', 'a1j1', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (7, 'a1j1'), (9, 'a2j1')]"
3,0,10,12,6,75,replication,12,delay,2,frozen,replication/original/10000/a3/s2/frozen/delay/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a2j0', 'a0j0', 'a1j1', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (7, 'a1j1'), (9, 'a2j1')]"
3,0,11,12,6,75,replication,12,fcfs,2,frozen,replication/original/10000/a3/s2/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a2j0', 'a0j0', 'a1j1', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (7, 'a1j1'), (9, 'a2j1')]"
3,0,12,12,6,75,risk_ablation,12,greedy,1,pooled,risk_ablation/original/10000/a3/s1/pooled/greedy/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a2j0', 'a0j0', 'a2j1', 'a1j1']","[(0, 'a2j0'), (1, 'a0j0'), (7, 'a2j1'), (8, 'a1j1')]"
3,0,13,12,6,75,risk_ablation,12,delay,1,pooled,risk_ablation/original/10000/a3/s1/pooled/delay/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a1j0', 'a2j0', 'a0j0', 'a0j1', 'a1j1', 'a2j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (7, 'a0j1'), (8, 'a1j1'), (9, 'a2j1')]"
3,0,14,12,6,75,risk_ablation,12,greedy,1,analytical,risk_ablation/original/10000/a3/s1/analytical/greedy/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a1j0', 'a0j0', 'a2j1', 'a1j1']","[(0, 'a1j0'), (1, 'a0j0'), (7, 'a2j1'), (8, 'a1j1')]"
3,0,15,12,6,75,risk_ablation,12,delay,1,analytical,risk_ablation/original/10000/a3/s1/analytical/delay/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a1j0', 'a2j0', 'a0j0', 'a0j1', 'a2j1']","[(0, 'a1j0'), (1, 'a2j0'), (2, 'a0j0'), (7, 'a0j1'), (8, 'a2j1')]"
3,0,16,12,6,75,risk_ablation,12,delay,2,analytical,risk_ablation/original/10000/a3/s2/analytical/delay/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,"['a2j0', 'a0j0', 'a2j1']","[(0, 'a2j0'), (2, 'a0j0'), (7, 'a2j1')]"
