agents,closure_penalty,execution_index,horizon,jobs,loss_upper_bound,phase,planned_calls,policy,review_ticks,risk,run_id,scenario_hash,seed,workload,status,total_loss,accrued_loss,correct_jobs,incorrect_jobs,reviews_completed,corrections,review_utilization,expired_requests,initially_infeasible_expiries,zero_value_expiries,missed_opportunities,wrong_missed_opportunities,max_outstanding,episode_wall_seconds,request_wall_seconds,scheduled_calls,attempts,retries,failed_attempts,unfinished_attempts,prompt_tokens,completion_tokens,unknown_token_attempts,augmented_loss,objective_missed_opportunities
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,14,14,6,0,6,4,0.5,0,0,0,0,0,3,2.420287,1.6841542143374681,12,12,0,0,0,2618,84,0,14,0
3,0,1,12,6,75,replication,12,uncertainty,1,frozen,replication/original/10000/a3/s1/frozen/uncertainty/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,14,14,6,0,6,4,0.5,0,0,0,0,0,3,2.369872,1.65328180603683,12,12,0,0,0,2618,84,0,14,0
3,0,2,12,6,75,replication,12,myopic,1,frozen,replication/original/10000/a3/s1/frozen/myopic/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,24,24,4,2,4,2,0.3333333333333333,2,0,0,2,2,3,2.378461,1.6848636232316494,12,12,0,0,0,2564,84,0,24,2
3,0,3,12,6,75,replication,12,greedy,1,frozen,replication/original/10000/a3/s1/frozen/greedy/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,24,24,4,2,4,2,0.3333333333333333,2,0,0,2,2,3,2.309924,1.6623665057122707,12,12,0,0,0,2564,84,0,24,2
3,0,4,12,6,75,replication,12,edf,1,frozen,replication/original/10000/a3/s1/frozen/edf/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,14,14,6,0,6,4,0.5,0,0,0,0,0,3,2.407425,1.6794863399118185,12,12,0,0,0,2618,84,0,14,0
3,0,5,12,6,75,replication,12,delay,1,frozen,replication/original/10000/a3/s1/frozen/delay/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,14,14,6,0,6,4,0.5,0,0,0,0,0,3,2.326131,1.6674309186637402,12,12,0,0,0,2618,84,0,14,0
3,0,6,12,6,75,replication,12,uncertainty,2,frozen,replication/original/10000/a3/s2/frozen/uncertainty/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,33,33,4,2,4,2,0.6666666666666666,2,2,0,0,0,3,2.292943,1.6831733547151089,12,12,0,0,0,2564,84,0,33,0
3,0,7,12,6,75,replication,12,myopic,2,frozen,replication/original/10000/a3/s2/frozen/myopic/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,27,27,4,2,3,2,0.5,3,2,0,1,0,3,2.30325,1.6764376927167177,12,12,0,0,0,2564,84,0,27,1
3,0,8,12,6,75,replication,12,greedy,2,frozen,replication/original/10000/a3/s2/frozen/greedy/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,27,27,4,2,3,2,0.5,3,2,0,1,0,3,2.305898,1.6713787540793419,12,12,0,0,0,2564,84,0,27,1
3,0,9,12,6,75,replication,12,edf,2,frozen,replication/original/10000/a3/s2/frozen/edf/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,33,33,4,2,4,2,0.6666666666666666,2,2,0,0,0,3,2.338049,1.674622256308794,12,12,0,0,0,2564,84,0,33,0
3,0,10,12,6,75,replication,12,delay,2,frozen,replication/original/10000/a3/s2/frozen/delay/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,33,33,4,2,4,2,0.6666666666666666,2,2,0,0,0,3,2.360685,1.68063778989017,12,12,0,0,0,2564,84,0,33,0
3,0,11,12,6,75,replication,12,fcfs,2,frozen,replication/original/10000/a3/s2/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,33,33,4,2,4,2,0.6666666666666666,2,2,0,0,0,3,2.315636,1.6716634202748537,12,12,0,0,0,2564,84,0,33,0
3,0,12,12,6,75,risk_ablation,12,greedy,1,pooled,risk_ablation/original/10000/a3/s1/pooled/greedy/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,23,23,4,2,4,2,0.3333333333333333,2,0,0,2,2,3,2.340637,1.6781170926988125,12,12,0,0,0,2564,84,0,23,2
3,0,13,12,6,75,risk_ablation,12,delay,1,pooled,risk_ablation/original/10000/a3/s1/pooled/delay/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,14,14,6,0,6,4,0.5,0,0,0,0,0,3,2.507712,1.676536813378334,12,12,0,0,0,2618,84,0,14,0
3,0,14,12,6,75,risk_ablation,12,greedy,1,analytical,risk_ablation/original/10000/a3/s1/analytical/greedy/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,completed,24,24,4,2,4,2,0.3333333333333333,2,0,0,2,2,3,2.378979,1.6638498958200216,12,12,0,0,0,2564,84,0,24,2
