2026-09-10T00:26:12Z
uuid, name, memory.total [MiB], memory.used [MiB], driver_version
GPU-c9db04c6-026b-f6d2-e711-de40c5b3e9cd, NVIDIA RTX 6000 Ada Generation, 49140 MiB, 1 MiB, 580.126.20
pid, process_name, used_gpu_memory [MiB]
Filesystem                                                   Size  Used Avail Use% Mounted on
us-ca-2-vast.runpod.net:/runpodfs/networkvolumes/a9bi5tffa6   70G     0   70G   0% /workspace
overlay                                                       75G   16M   75G   1% /
               total        used        free      shared  buff/cache   available
Mem:           1.5Ti       153Gi       503Gi       914Mi       870Gi       1.3Ti
Swap:             0B          0B          0B
192
    PID COMMAND
      1 docker-init
    333 start.sh
    364 nginx
    365 nginx
    401 sshd
    406 start.sh
    412 jupyter-lab
    414 sleep
   1119 sshd
   1130 bash
   4338 sshd
   4364 bash
   4366 bash
   4375 ps
{"packages": {"torch": "2.8.0+cu128", "transformers": null, "vllm": null}, "python": "3.12.3 (main, Aug 14 2025, 17:47:21) [GCC 13.3.0]"}
