agents,closure_penalty,execution_index,horizon,jobs,loss_upper_bound,phase,planned_calls,policy,review_ticks,risk,run_id,scenario_hash,seed,workload,agent_id,status,closed_jobs,loss,incorrect_jobs,initial_errors,corrections
3,0,0,12,2,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,0,completed,2,3,0,1,1
3,0,0,12,2,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,1,completed,2,9,1,2,1
3,0,0,12,2,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,2,completed,2,0,0,0,0
3,0,1,12,2,58,risk_pilot,12,delay,1,frozen,risk_pilot/original/400/a3/s1/frozen/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,0,completed,2,3,0,1,1
3,0,1,12,2,58,risk_pilot,12,delay,1,frozen,risk_pilot/original/400/a3/s1/frozen/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,1,completed,2,1,0,2,2
3,0,1,12,2,58,risk_pilot,12,delay,1,frozen,risk_pilot/original/400/a3/s1/frozen/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,2,completed,2,0,0,0,0
3,0,2,12,2,58,risk_pilot,12,greedy,1,pooled,risk_pilot/original/400/a3/s1/pooled/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,0,completed,2,3,0,1,1
3,0,2,12,2,58,risk_pilot,12,greedy,1,pooled,risk_pilot/original/400/a3/s1/pooled/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,1,completed,2,9,1,2,1
3,0,2,12,2,58,risk_pilot,12,greedy,1,pooled,risk_pilot/original/400/a3/s1/pooled/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,2,completed,2,0,0,0,0
3,0,3,12,2,58,risk_pilot,12,delay,1,pooled,risk_pilot/original/400/a3/s1/pooled/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,0,completed,2,3,0,1,1
3,0,3,12,2,58,risk_pilot,12,delay,1,pooled,risk_pilot/original/400/a3/s1/pooled/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,1,completed,2,1,0,2,2
3,0,3,12,2,58,risk_pilot,12,delay,1,pooled,risk_pilot/original/400/a3/s1/pooled/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,2,completed,2,0,0,0,0
