agents,closure_penalty,execution_index,horizon,jobs,loss_upper_bound,phase,planned_calls,policy,review_ticks,risk,run_id,scenario_hash,seed,workload,status,total_loss,accrued_loss,correct_jobs,incorrect_jobs,reviews_completed,corrections,review_utilization,expired_requests,missed_opportunities,wrong_missed_opportunities,max_outstanding,episode_wall_seconds,request_wall_seconds,scheduled_calls,attempts,retries,failed_attempts,unfinished_attempts,prompt_tokens,completion_tokens,unknown_token_attempts,augmented_loss,objective_missed_opportunities
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,completed,12,12,5,1,5,2,0.4166666666666667,1,1,1,2,2.469641,1.6972569078207016,12,12,0,0,0,2564,84,0,12,1
3,0,1,12,6,58,risk_pilot,12,delay,1,frozen,risk_pilot/original/400/a3/s1/frozen/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,completed,4,4,6,0,6,3,0.5,0,0,0,2,2.397427,1.6739505995064974,12,12,0,0,0,2618,84,0,4,0
3,0,2,12,6,58,risk_pilot,12,greedy,1,pooled,risk_pilot/original/400/a3/s1/pooled/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,completed,12,12,5,1,5,2,0.4166666666666667,1,1,1,2,3.152655,1.6688282173126936,12,12,0,0,0,2564,84,0,12,1
3,0,3,12,6,58,risk_pilot,12,delay,1,pooled,risk_pilot/original/400/a3/s1/pooled/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,completed,4,4,6,0,6,3,0.5,0,0,0,2,2.378065,1.6739460453391075,12,12,0,0,0,2618,84,0,4,0
3,0,4,12,6,58,risk_pilot,12,greedy,1,analytical,risk_pilot/original/400/a3/s1/analytical/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,completed,12,12,5,1,5,2,0.4166666666666667,1,1,1,2,2.419926,1.6856061033904552,12,12,0,0,0,2564,84,0,12,1
3,0,5,12,6,58,risk_pilot,12,delay,1,analytical,risk_pilot/original/400/a3/s1/analytical/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,completed,4,4,6,0,6,3,0.5,0,0,0,2,2.477642,1.6841103695333004,12,12,0,0,0,2618,84,0,4,0
3,0,6,12,6,58,risk_pilot,12,delay,2,pooled,risk_pilot/original/400/a3/s2/pooled/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,completed,28,28,3,3,2,0,0.3333333333333333,4,1,0,2,2.511029,1.7035609185695648,12,12,0,0,0,2510,84,0,28,1
3,0,7,12,6,58,risk_pilot,12,greedy,2,pooled,risk_pilot/original/400/a3/s2/pooled/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,completed,28,28,3,3,2,0,0.3333333333333333,4,1,0,2,2.47358,1.6813825871795416,12,12,0,0,0,2510,84,0,28,1
3,0,8,12,6,58,risk_pilot,12,delay,2,analytical,risk_pilot/original/400/a3/s2/analytical/delay/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,completed,28,28,3,3,2,0,0.3333333333333333,4,1,0,2,2.577491,1.6853596698492765,12,12,0,0,0,2510,84,0,28,1
3,0,9,12,6,58,risk_pilot,12,greedy,2,analytical,risk_pilot/original/400/a3/s2/analytical/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,completed,28,28,3,3,2,0,0.3333333333333333,4,1,0,2,3.375482,1.6792026367038488,12,12,0,0,0,2510,84,0,28,1
