bundle,replica,condition,load,active,admitted,deferred,in_flight,offered,queued,received,released,remaining,resolved,started,unresolved,unstarted,withdrawn,correct_released,wrong_released,peak_queued,mean_wait_seconds,events,stable_checks,stability_failures
0,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.6256982670747675,90,297,0
0,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.11788250349595078,90,314,0
0,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5899707503133238,102,282,0
0,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,3,0.21762674479811853,106,311,0
0,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.622815170874154,90,304,0
0,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.1203098443469831,90,308,0
0,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5684719854750886,86,274,0
0,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05163518184473595,86,295,0
0,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5800595677260739,101,279,0
0,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10913495215264937,101,284,0
0,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5586628950057695,86,277,0
0,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05156632938171522,86,289,0
1,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.6276036914371487,90,298,0
1,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.11993545650537792,90,313,0
1,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5904986696192421,102,279,0
1,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,3,0.2195512322110257,106,308,0
1,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.6262177250797062,90,304,0
1,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.11976906407757529,90,312,0
1,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5657818097567472,86,283,0
1,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05110094652403719,86,289,0
1,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.576770700308351,101,283,0
1,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10932142477339277,101,292,0
1,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5614774546747168,86,276,0
1,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05096709408546583,86,297,0
2,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5646643564015483,86,286,0
2,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05331179505894677,86,287,0
2,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5904236888656249,101,280,0
2,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10558833558864605,101,289,0
2,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5654510094049888,86,283,0
2,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05100980126119863,86,293,0
2,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5777376289210784,86,278,0
2,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05173277330154983,86,286,0
2,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5856674816280317,101,279,0
2,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10825344090923093,101,283,0
2,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5662200801396886,86,280,0
2,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.050453460381294675,86,297,0
3,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5542022682493553,86,297,0
3,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05121635393096277,86,304,0
3,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5693451054483796,101,297,0
3,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10781552190355097,101,306,0
3,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5524996969705591,86,295,0
3,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.04987314063160179,86,307,0
3,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5600241002214786,86,299,0
3,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05225859223327671,86,295,0
3,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5743042893815212,101,286,0
3,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.09827018999315512,101,304,0
3,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5657621319137084,86,287,0
3,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.051065039615003534,86,310,0
4,0,queue,higher,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,11,0.6034254757936911,93,300,0
4,0,queue,lower,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,1,0.05028649656534461,93,309,0
4,0,sessions,higher,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,11,0.6287676964919748,109,302,0
4,0,sessions,lower,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,2,0.10120569193635934,109,301,0
4,0,threads,higher,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,11,0.6173859853630087,93,301,0
4,0,threads,lower,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,1,0.04764417841631387,93,308,0
4,1,queue,higher,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,11,0.6086910917656496,93,297,0
4,1,queue,lower,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,1,0.04733105101955256,93,314,0
4,1,sessions,higher,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,11,0.626887450734752,109,294,0
4,1,sessions,lower,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,2,0.09807550764110472,109,306,0
4,1,threads,higher,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,11,0.6025442412355915,93,296,0
4,1,threads,lower,0,13,0,0,13,0,13,13,0,13,13,0,0,0,13,0,1,0.04834386130096391,93,313,0
5,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5605332876931732,86,284,0
5,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.0523796283836978,86,291,0
5,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5691917030176578,101,279,0
5,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10791248006996913,101,291,0
5,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5669614775285411,86,281,0
5,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05329708607258418,86,281,0
5,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.564637678872364,86,280,0
5,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05291008730777181,86,294,0
5,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5925155952393723,101,259,0
5,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.11286985386127177,101,285,0
5,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5714764491601202,86,277,0
5,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05382328423169943,86,290,0
6,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5612732163236405,86,273,0
6,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.05146643004487627,86,293,0
6,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5963538120805214,101,273,0
6,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.11295977032456833,101,278,0
6,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5683365773069314,86,284,0
6,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.0513186122989282,86,291,0
6,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5677465755367078,86,283,0
6,1,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.053083062682372444,86,295,0
6,1,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5815345452059634,101,278,0
6,1,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.10996815198674224,101,292,0
6,1,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5696738305985212,86,278,0
6,1,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.050753804308792144,86,285,0
7,0,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.566763395559974,86,281,0
7,0,queue,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.049903565229704745,86,295,0
7,0,sessions,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5707878515464612,101,283,0
7,0,sessions,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,2,0.11048623100997737,101,294,0
7,0,threads,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.5638887863248013,86,282,0
7,0,threads,lower,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,1,0.052303075682944976,86,299,0
7,1,queue,higher,0,12,0,0,12,0,12,12,0,12,12,0,0,0,12,0,10,0.557726595013474,86,284,0
