bundle,replica,condition,load,at,offered,admitted,started,received,unstarted,in_flight,queued,active,deferred,unresolved,resolved,withdrawn,released,remaining
5,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
5,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
5,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
5,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
5,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
5,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
5,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
5,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
6,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
6,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
6,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
6,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
6,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
6,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
7,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
7,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
7,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
7,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
7,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
7,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
7,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
7,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
7,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
7,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
7,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
7,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
8,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
8,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
8,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
8,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
8,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
8,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
8,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
8,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
8,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
8,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
8,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
8,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
9,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
9,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
9,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
9,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
9,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
9,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
9,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
9,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
9,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
9,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
9,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
9,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
10,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
10,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
10,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
10,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
10,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
10,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
10,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
10,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
10,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
10,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
10,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
10,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
11,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
11,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
11,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
11,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
11,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
11,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
11,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
11,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
11,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
11,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
11,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
11,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
