condition,load,episodes,source_contexts,offered,admitted,started,received,unstarted,in_flight,queued,active,deferred,unresolved,resolved,withdrawn,released,remaining,correct_released,wrong_released,mean_peak_queued,mean_wait_seconds,command_errors
threads,lower,24,24,290,290,290,290,0,0,0,0,0,0,290,0,290,0,290,0,1.0416666666666667,0.05715336924668376,0
threads,higher,24,24,290,290,290,290,0,0,0,0,0,0,290,0,290,0,290,0,10.083333333333334,0.5735648015446907,0
queue,lower,24,24,290,290,290,290,0,0,0,0,0,0,290,0,290,0,290,0,1.0,0.05737685257395825,0
queue,higher,24,24,290,290,290,290,0,0,0,0,0,0,290,0,290,0,290,0,10.083333333333334,0.5728170240211882,0
sessions,lower,24,24,290,290,290,290,0,0,0,0,0,0,290,0,290,0,290,0,2.0833333333333335,0.11636535998141402,0
sessions,higher,24,24,290,290,290,290,0,0,0,0,0,0,290,0,290,0,290,0,10.083333333333334,0.5835273223676181,0
