review_duration,policy,episodes,scenario_bundles,operational_loss,task_completed,wrong_transactions,service_failure_loss,wrong_transaction_loss,completed_reviews,corrections,expired_useful_opportunities,multi_eligible_dispatches,greedy_search_different_heads,mean_loss,mean_utilization,mean_waiting,max_planning_ms
1,no_review,96,32,800,182,51,424,376,0,0,51,301,146,8.333333333333334,0.0,0.0,0.10951299918815494
1,fcfs,96,32,220,233,0,220,0,233,51,0,115,58,2.2916666666666665,0.45937500000000026,0.49356223175965663,0.08808803977444768
1,edf,96,32,220,233,0,220,0,233,51,0,115,57,2.2916666666666665,0.45937500000000026,0.49356223175965663,0.09542604675516486
1,uncertainty,96,32,220,233,0,220,0,224,51,0,115,65,2.2916666666666665,0.4416666666666667,0.4330357142857143,0.10363198816776276
1,greedy,96,32,220,233,0,220,0,224,51,0,115,65,2.2916666666666665,0.4416666666666667,0.4330357142857143,0.1441650092601776
1,search,96,32,220,233,0,220,0,233,51,0,115,58,2.2916666666666665,0.45937500000000026,0.49356223175965663,0.12028601486235857
2,no_review,96,32,800,182,51,424,376,0,0,51,212,75,8.333333333333334,0.0,0.0,0.10019098408520222
2,fcfs,96,32,480,210,23,312,168,182,28,23,87,45,5.0,0.7118055555555548,0.8351648351648352,0.11753098806366324
2,edf,96,32,440,215,18,292,148,190,33,18,103,47,4.583333333333333,0.7395833333333329,1.0052631578947369,0.10569399455562234
2,uncertainty,96,32,332,223,10,260,72,169,41,10,83,47,3.4583333333333335,0.663888888888888,0.6153846153846154,0.09240198414772749
2,greedy,96,32,332,223,10,260,72,169,41,10,83,47,3.4583333333333335,0.663888888888888,0.6153846153846154,0.09452499216422439
2,search,96,32,356,222,11,264,92,190,40,11,103,47,3.7083333333333335,0.7395833333333329,0.968421052631579,0.12670300202444196
