bundle_id,replicate,review_duration,policy,tick,pending,eligible,selected,greedy_choice,search_choice,edf_choice,planning_seconds,ordered_subsets_evaluated
evaluation_00,0,2,no_review,0,2,2,,train:062,train:089,train:062,3.409502096474171e-05,0
evaluation_00,0,2,no_review,1,3,3,,train:018,train:018,train:018,3.515800926834345e-05,0
evaluation_00,0,2,no_review,2,3,2,,train:062,train:062,train:062,3.4382042940706015e-05,0
evaluation_00,0,2,no_review,3,2,1,,train:089,train:089,train:089,4.893500590696931e-05,0
evaluation_00,0,2,no_review,4,1,0,,,,,3.4923956263810396e-05,0
evaluation_00,0,2,no_review,5,0,0,,,,,6.845977623015642e-06,0
evaluation_00,0,2,fcfs,0,2,2,train:089,train:062,train:089,train:062,3.153103170916438e-05,0
evaluation_00,0,2,fcfs,2,2,1,train:062,train:062,train:062,train:062,5.4258969612419605e-05,0
evaluation_00,0,2,fcfs,4,0,0,,,,,3.2499665394425392e-06,0
evaluation_00,0,2,fcfs,5,0,0,,,,,7.530325092375278e-07,0
evaluation_00,0,2,edf,0,2,2,train:062,train:062,train:089,train:062,3.420101711526513e-05,0
evaluation_00,0,2,edf,2,2,1,train:089,train:089,train:089,train:089,5.2333984058350325e-05,0
evaluation_00,0,2,edf,4,0,0,,,,,3.2039824873209e-06,0
evaluation_00,0,2,edf,5,0,0,,,,,7.539638318121433e-07,0
evaluation_00,0,2,uncertainty,0,2,2,train:062,train:062,train:089,train:062,3.2882962841540575e-05,0
evaluation_00,0,2,uncertainty,2,2,1,train:089,train:089,train:089,train:089,3.8784986827522516e-05,0
evaluation_00,0,2,uncertainty,4,0,0,,,,,4.701956640928984e-06,0
evaluation_00,0,2,uncertainty,5,0,0,,,,,7.399939931929111e-07,0
evaluation_00,0,2,greedy,0,2,2,train:062,train:062,train:089,train:062,3.7071004044264555e-05,0
evaluation_00,0,2,greedy,2,2,1,train:089,train:089,train:089,train:089,4.628096939995885e-05,0
evaluation_00,0,2,greedy,4,0,0,,,,,8.82596941664815e-06,0
evaluation_00,0,2,greedy,5,0,0,,,,,1.2170057743787766e-06,0
evaluation_00,0,2,search,0,2,2,train:089,train:062,train:089,train:062,4.228297621011734e-05,5
evaluation_00,0,2,search,2,2,1,train:062,train:062,train:062,train:062,5.520298145711422e-05,2
evaluation_00,0,2,search,4,0,0,,,,,3.905966877937317e-06,0
evaluation_00,0,2,search,5,0,0,,,,,8.310307748615742e-07,0
evaluation_00,0,1,no_review,0,2,2,,train:062,train:089,train:062,2.95360223390162e-05,0
evaluation_00,0,1,no_review,1,3,3,,train:018,train:089,train:018,3.2051990274339914e-05,0
