bundle_id,replicate,review_duration,comparator,sequences_differ,search_sequence,other_sequence,loss_difference
evaluation_07,1,2,greedy,False,train:132,train:132,0
evaluation_07,1,2,edf,False,train:132,train:132,0
evaluation_07,2,1,greedy,False,train:132;train:051,train:132;train:051,0
evaluation_07,2,1,edf,False,train:132;train:051,train:132;train:051,0
evaluation_07,2,2,greedy,False,train:132,train:132,0
evaluation_07,2,2,edf,False,train:132,train:132,0
evaluation_08,0,2,greedy,True,train:137;train:052,train:052;train:137,0
evaluation_08,0,2,edf,True,train:137;train:052,train:052;train:137,0
evaluation_08,0,1,greedy,True,train:137;train:052,train:052;train:137,0
evaluation_08,0,1,edf,True,train:137;train:052,train:052;train:137,0
evaluation_08,1,2,greedy,True,train:137;train:052,train:052;train:137,0
evaluation_08,1,2,edf,True,train:137;train:052,train:052;train:137,0
evaluation_08,1,1,greedy,True,train:137;train:052;train:118,train:052;train:118;train:137,0
evaluation_08,1,1,edf,True,train:137;train:052;train:118,train:052;train:118;train:137,0
evaluation_08,2,2,greedy,True,train:137;train:052,train:052;train:137,0
evaluation_08,2,2,edf,True,train:137;train:052,train:052;train:137,0
evaluation_08,2,1,greedy,True,train:137;train:052,train:052;train:137,0
evaluation_08,2,1,edf,True,train:137;train:052,train:052;train:137,0
evaluation_09,0,1,greedy,True,train:159;train:054;train:120,train:054;train:120,0
evaluation_09,0,1,edf,False,train:159;train:054;train:120,train:159;train:054;train:120,0
evaluation_09,0,2,greedy,True,train:159;train:054,train:054;train:120,12
evaluation_09,0,2,edf,False,train:159;train:054,train:159;train:054,0
evaluation_09,1,1,greedy,True,train:159;train:054,train:054;train:159,0
evaluation_09,1,1,edf,False,train:159;train:054,train:159;train:054,0
evaluation_09,1,2,greedy,True,train:159;train:054,train:054,0
evaluation_09,1,2,edf,False,train:159;train:054,train:159;train:054,0
evaluation_09,2,1,greedy,True,train:159;train:054;train:120,train:054;train:120,0
evaluation_09,2,1,edf,False,train:159;train:054;train:120,train:159;train:054;train:120,0
evaluation_09,2,2,greedy,True,train:159;train:054,train:054;train:120,12
evaluation_09,2,2,edf,False,train:159;train:054,train:159;train:054,0
evaluation_10,0,2,greedy,False,train:058;train:160,train:058;train:160,0
evaluation_10,0,2,edf,True,train:058;train:160,train:160;train:058,0
evaluation_10,0,1,greedy,False,train:058;train:160,train:058;train:160,0
evaluation_10,0,1,edf,True,train:058;train:160,train:160;train:058,0
evaluation_10,1,2,greedy,False,train:058;train:160,train:058;train:160,0
evaluation_10,1,2,edf,True,train:058;train:160,train:160;train:058,0
evaluation_10,1,1,greedy,True,train:058;train:160;train:126,train:058;train:126;train:160,0
evaluation_10,1,1,edf,True,train:058;train:160;train:126,train:160;train:126;train:058,0
evaluation_10,2,2,greedy,False,train:058;train:160,train:058;train:160,0
evaluation_10,2,2,edf,True,train:058;train:160,train:160;train:058,0
evaluation_10,2,1,greedy,False,train:058;train:160,train:058;train:160,0
evaluation_10,2,1,edf,True,train:058;train:160,train:160;train:058,0
evaluation_11,0,1,greedy,True,train:165;train:061,train:061;train:165,0
evaluation_11,0,1,edf,False,train:165;train:061,train:165;train:061,0
evaluation_11,0,2,greedy,True,train:165;train:061,train:061,0
evaluation_11,0,2,edf,False,train:165;train:061,train:165;train:061,0
evaluation_11,1,1,greedy,True,train:165;train:061,train:061;train:165,0
evaluation_11,1,1,edf,False,train:165;train:061,train:165;train:061,0
evaluation_11,1,2,greedy,True,train:165;train:061,train:061,0
evaluation_11,1,2,edf,False,train:165;train:061,train:165;train:061,0
evaluation_11,2,1,greedy,True,train:165;train:061;train:133,train:061;train:133,0
evaluation_11,2,1,edf,False,train:165;train:061;train:133,train:165;train:061;train:133,0
evaluation_11,2,2,greedy,True,train:165;train:061,train:061;train:133,16
evaluation_11,2,2,edf,False,train:165;train:061,train:165;train:061,0
evaluation_12,0,2,greedy,True,train:170;train:066;train:152,train:066;train:152,0
evaluation_12,0,2,edf,False,train:170;train:066;train:152,train:170;train:066;train:152,0
evaluation_12,0,1,greedy,True,train:170;train:066;train:152,train:066;train:152,0
evaluation_12,0,1,edf,False,train:170;train:066;train:152,train:170;train:066;train:152,0
evaluation_12,1,2,greedy,True,train:170;train:066,train:066,0
evaluation_12,1,2,edf,False,train:170;train:066,train:170;train:066,0
evaluation_12,1,1,greedy,True,train:170;train:066,train:066;train:170,0
evaluation_12,1,1,edf,False,train:170;train:066,train:170;train:066,0
evaluation_12,2,2,greedy,True,train:170;train:066,train:066,0
evaluation_12,2,2,edf,False,train:170;train:066,train:170;train:066,0
evaluation_12,2,1,greedy,True,train:170;train:066,train:066;train:170,0
evaluation_12,2,1,edf,False,train:170;train:066,train:170;train:066,0
evaluation_13,0,1,greedy,False,train:067;train:163,train:067;train:163,0
evaluation_13,0,1,edf,False,train:067;train:163,train:067;train:163,0
evaluation_13,0,2,greedy,False,train:067,train:067,0
evaluation_13,0,2,edf,False,train:067,train:067,0
evaluation_13,1,1,greedy,True,train:067;train:171;train:163,train:067;train:163;train:171,0
evaluation_13,1,1,edf,True,train:067;train:171;train:163,train:171;train:163;train:067,0
evaluation_13,1,2,greedy,False,train:067;train:171,train:067;train:171,0
evaluation_13,1,2,edf,True,train:067;train:171,train:171;train:067,0
evaluation_13,2,1,greedy,True,train:067;train:171;train:163,train:067;train:163;train:171,0
evaluation_13,2,1,edf,True,train:067;train:171;train:163,train:171;train:163;train:067,0
evaluation_13,2,2,greedy,False,train:067;train:171,train:067;train:171,0
evaluation_13,2,2,edf,True,train:067;train:171,train:171;train:067,0
evaluation_14,0,2,greedy,False,train:188;train:072,train:188;train:072,0
evaluation_14,0,2,edf,True,train:188;train:072,train:188;train:175,-12
evaluation_14,0,1,greedy,True,train:188;train:175;train:072,train:188;train:072;train:175,0
evaluation_14,0,1,edf,False,train:188;train:175;train:072,train:188;train:175;train:072,0
evaluation_14,1,2,greedy,False,train:188;train:072,train:188;train:072,0
evaluation_14,1,2,edf,False,train:188;train:072,train:188;train:072,0
evaluation_14,1,1,greedy,False,train:188;train:072,train:188;train:072,0
evaluation_14,1,1,edf,False,train:188;train:072,train:188;train:072,0
evaluation_14,2,2,greedy,False,train:188;train:072,train:188;train:072,0
evaluation_14,2,2,edf,False,train:188;train:072,train:188;train:072,0
evaluation_14,2,1,greedy,False,train:188;train:072,train:188;train:072,0
evaluation_14,2,1,edf,False,train:188;train:072,train:188;train:072,0
evaluation_15,0,1,greedy,True,train:075;train:181;train:230,train:075;train:230;train:181,0
evaluation_15,0,1,edf,False,train:075;train:181;train:230,train:075;train:181;train:230,0
evaluation_15,0,2,greedy,True,train:075;train:181;train:230,train:075;train:230,0
evaluation_15,0,2,edf,False,train:075;train:181;train:230,train:075;train:181;train:230,0
evaluation_15,1,1,greedy,False,train:075;train:181,train:075;train:181,0
evaluation_15,1,1,edf,False,train:075;train:181,train:075;train:181,0
evaluation_15,1,2,greedy,False,train:075;train:181,train:075;train:181,0
evaluation_15,1,2,edf,False,train:075;train:181,train:075;train:181,0
evaluation_15,2,1,greedy,True,train:075;train:181;train:230,train:075;train:230;train:181,0
