review_duration,comparison,bundles,mean_difference,ci_low,ci_high,search_wins,ties,search_losses
1,search-greedy,32,0.0,0.0,0.0,0,32,0
1,search-edf,32,0.0,0.0,0.0,0,32,0
1,search-fcfs,32,0.0,0.0,0.0,0,32,0
1,search-uncertainty,32,0.0,0.0,0.0,0,32,0
1,search-no_review,32,-6.041666666666666,-8.625,-3.6666666666666665,19,13,0
2,search-greedy,32,0.24999999999999997,-0.3333333333333333,0.9999999999999999,1,29,2
2,search-edf,32,-0.875,-2.0,0.0,3,29,0
2,search-fcfs,32,-1.2916666666666667,-2.5,-0.25,5,27,0
2,search-uncertainty,32,0.24999999999999997,-0.3333333333333333,0.9999999999999999,1,29,2
2,search-no_review,32,-4.625000000000001,-7.166666666666668,-2.5833333333333335,15,17,0
