bundle_id,review_duration,comparator,mean_search_minus_other,replicates
evaluation_00,2,greedy,0.0,3
evaluation_01,2,greedy,0.0,3
evaluation_02,2,greedy,0.0,3
evaluation_03,2,greedy,0.0,3
evaluation_04,2,greedy,0.0,3
evaluation_05,2,greedy,0.0,3
evaluation_06,2,greedy,0.0,3
evaluation_07,2,greedy,0.0,3
evaluation_08,2,greedy,0.0,3
evaluation_09,2,greedy,8.0,3
evaluation_10,2,greedy,0.0,3
evaluation_11,2,greedy,5.333333333333333,3
evaluation_12,2,greedy,0.0,3
evaluation_13,2,greedy,0.0,3
evaluation_14,2,greedy,0.0,3
evaluation_15,2,greedy,0.0,3
evaluation_16,2,greedy,0.0,3
evaluation_17,2,greedy,0.0,3
evaluation_18,2,greedy,0.0,3
evaluation_19,2,greedy,0.0,3
evaluation_20,2,greedy,0.0,3
evaluation_21,2,greedy,0.0,3
evaluation_22,2,greedy,0.0,3
evaluation_23,2,greedy,0.0,3
evaluation_24,2,greedy,0.0,3
evaluation_25,2,greedy,0.0,3
evaluation_26,2,greedy,0.0,3
evaluation_27,2,greedy,0.0,3
evaluation_28,2,greedy,-5.333333333333333,3
evaluation_29,2,greedy,0.0,3
evaluation_30,2,greedy,0.0,3
evaluation_31,2,greedy,0.0,3
evaluation_00,2,edf,0.0,3
evaluation_01,2,edf,0.0,3
evaluation_02,2,edf,0.0,3
evaluation_03,2,edf,-12.0,3
evaluation_04,2,edf,0.0,3
evaluation_05,2,edf,0.0,3
evaluation_06,2,edf,0.0,3
evaluation_07,2,edf,0.0,3
evaluation_08,2,edf,0.0,3
evaluation_09,2,edf,0.0,3
evaluation_10,2,edf,0.0,3
evaluation_11,2,edf,0.0,3
evaluation_12,2,edf,0.0,3
evaluation_13,2,edf,0.0,3
evaluation_14,2,edf,-4.0,3
evaluation_15,2,edf,0.0,3
evaluation_16,2,edf,0.0,3
evaluation_17,2,edf,0.0,3
evaluation_18,2,edf,0.0,3
evaluation_19,2,edf,0.0,3
evaluation_20,2,edf,0.0,3
evaluation_21,2,edf,-12.0,3
evaluation_22,2,edf,0.0,3
evaluation_23,2,edf,0.0,3
evaluation_24,2,edf,0.0,3
evaluation_25,2,edf,0.0,3
evaluation_26,2,edf,0.0,3
evaluation_27,2,edf,0.0,3
evaluation_28,2,edf,0.0,3
evaluation_29,2,edf,0.0,3
evaluation_30,2,edf,0.0,3
evaluation_31,2,edf,0.0,3
evaluation_00,2,fcfs,0.0,3
evaluation_01,2,fcfs,0.0,3
evaluation_02,2,fcfs,0.0,3
evaluation_03,2,fcfs,-12.0,3
evaluation_04,2,fcfs,0.0,3
evaluation_05,2,fcfs,0.0,3
evaluation_06,2,fcfs,0.0,3
evaluation_07,2,fcfs,0.0,3
evaluation_08,2,fcfs,0.0,3
evaluation_09,2,fcfs,0.0,3
evaluation_10,2,fcfs,0.0,3
evaluation_11,2,fcfs,0.0,3
evaluation_12,2,fcfs,0.0,3
evaluation_13,2,fcfs,0.0,3
evaluation_14,2,fcfs,-4.0,3
evaluation_15,2,fcfs,0.0,3
evaluation_16,2,fcfs,0.0,3
evaluation_17,2,fcfs,0.0,3
evaluation_18,2,fcfs,0.0,3
evaluation_19,2,fcfs,0.0,3
evaluation_20,2,fcfs,0.0,3
evaluation_21,2,fcfs,-12.0,3
evaluation_22,2,fcfs,0.0,3
evaluation_23,2,fcfs,0.0,3
evaluation_24,2,fcfs,0.0,3
evaluation_25,2,fcfs,-8.0,3
evaluation_26,2,fcfs,0.0,3
evaluation_27,2,fcfs,0.0,3
evaluation_28,2,fcfs,-5.333333333333333,3
evaluation_29,2,fcfs,0.0,3
evaluation_30,2,fcfs,0.0,3
evaluation_31,2,fcfs,0.0,3
evaluation_00,2,uncertainty,0.0,3
evaluation_01,2,uncertainty,0.0,3
evaluation_02,2,uncertainty,0.0,3
evaluation_03,2,uncertainty,0.0,3
evaluation_04,2,uncertainty,0.0,3
evaluation_05,2,uncertainty,0.0,3
evaluation_06,2,uncertainty,0.0,3
evaluation_07,2,uncertainty,0.0,3
evaluation_08,2,uncertainty,0.0,3
evaluation_09,2,uncertainty,8.0,3
evaluation_10,2,uncertainty,0.0,3
evaluation_11,2,uncertainty,5.333333333333333,3
evaluation_12,2,uncertainty,0.0,3
evaluation_13,2,uncertainty,0.0,3
evaluation_14,2,uncertainty,0.0,3
evaluation_15,2,uncertainty,0.0,3
evaluation_16,2,uncertainty,0.0,3
evaluation_17,2,uncertainty,0.0,3
evaluation_18,2,uncertainty,0.0,3
evaluation_19,2,uncertainty,0.0,3
evaluation_20,2,uncertainty,0.0,3
evaluation_21,2,uncertainty,0.0,3
evaluation_22,2,uncertainty,0.0,3
evaluation_23,2,uncertainty,0.0,3
evaluation_24,2,uncertainty,0.0,3
evaluation_25,2,uncertainty,0.0,3
evaluation_26,2,uncertainty,0.0,3
evaluation_27,2,uncertainty,0.0,3
evaluation_28,2,uncertainty,-5.333333333333333,3
evaluation_29,2,uncertainty,0.0,3
evaluation_30,2,uncertainty,0.0,3
evaluation_31,2,uncertainty,0.0,3
evaluation_00,2,no_review,-5.333333333333333,3
evaluation_01,2,no_review,-5.333333333333333,3
evaluation_02,2,no_review,0.0,3
evaluation_03,2,no_review,-12.0,3
evaluation_04,2,no_review,-12.0,3
evaluation_05,2,no_review,-5.333333333333333,3
evaluation_06,2,no_review,0.0,3
evaluation_07,2,no_review,0.0,3
evaluation_08,2,no_review,0.0,3
evaluation_09,2,no_review,-8.0,3
evaluation_10,2,no_review,0.0,3
evaluation_11,2,no_review,0.0,3
evaluation_12,2,no_review,-5.333333333333333,3
evaluation_13,2,no_review,0.0,3
evaluation_14,2,no_review,-28.0,3
evaluation_15,2,no_review,-5.333333333333333,3
evaluation_16,2,no_review,-4.0,3
evaluation_17,2,no_review,0.0,3
evaluation_18,2,no_review,-4.0,3
evaluation_19,2,no_review,0.0,3
evaluation_20,2,no_review,0.0,3
evaluation_21,2,no_review,-12.0,3
evaluation_22,2,no_review,-16.0,3
evaluation_23,2,no_review,0.0,3
evaluation_24,2,no_review,0.0,3
evaluation_25,2,no_review,-12.0,3
evaluation_26,2,no_review,0.0,3
evaluation_27,2,no_review,0.0,3
evaluation_28,2,no_review,-13.333333333333334,3
evaluation_29,2,no_review,0.0,3
evaluation_30,2,no_review,0.0,3
evaluation_31,2,no_review,0.0,3
