policy,eligible_requests,dispatches,mean_ms,p50_ms,p95_ms,max_ms,max_ordered_subsets
no_review,0,352,0.00876606232354375,0.004983972758054733,0.03200331702828407,0.06377097452059388,0
no_review,1,347,0.026181224640995607,0.02171494998037815,0.05080588161945343,0.07538101635873318,0
no_review,2,441,0.03398178594583928,0.030489987693727016,0.0612720032222569,0.10951299918815494,0
no_review,3,72,0.03633280882948182,0.032454991014674306,0.05406859272625297,0.06529700476676226,0
fcfs,0,615,0.0035836349991036623,0.0007569906301796436,0.009640998905524605,0.07406703662127256,0
fcfs,1,213,0.034599334871650025,0.03421504516154528,0.06018860731273889,0.11753098806366324,0
fcfs,2,202,0.03609927872537017,0.03155000740662217,0.05489442264661193,0.09001803118735552,0
edf,0,599,0.0040975424775135435,0.0007639755494892597,0.022900279145687853,0.059031008277088404,0
edf,1,205,0.03691664357419785,0.036237004678696394,0.061266415286809206,0.09659898933023214,0
edf,2,218,0.04052261553849991,0.03464298788458109,0.06476638081949203,0.10569399455562234,0
uncertainty,0,650,0.002921154865851769,0.0007445050869137049,0.007063103839755051,0.07177295628935099,0
uncertainty,1,195,0.035833196642880254,0.03570597618818283,0.06070659728720784,0.10363198816776276,0
uncertainty,2,198,0.038895179221237246,0.035000499337911606,0.057358373305760296,0.08126703323796391,0
greedy,0,650,0.0028593743291611853,0.0007469789125025272,0.00815560924820602,0.06555404979735613,0
greedy,1,195,0.03777323738456918,0.03736501093953848,0.06097911973483857,0.1441650092601776,0
greedy,2,198,0.03945913707903313,0.03519700840115547,0.05866172141395505,0.09452499216422439,0
search,0,599,0.0038878627405976116,0.0007700291462242603,0.02689048997126522,0.04910101415589452,0
search,1,205,0.04140553235008222,0.04046596586704254,0.06817701505497097,0.12028601486235857,2
search,2,218,0.051353570263952424,0.04503250238485634,0.07699044072069222,0.12670300202444196,5
