bundle_id,replicate,case_id,status,error_classes,failure
evaluation_00,0,train:062,staged,wrong_variant_mapping,
evaluation_00,0,train:018,staged,wrong_variant_mapping,
evaluation_00,1,train:062,staged,wrong_variant_mapping,
evaluation_00,1,train:018,staged,wrong_variant_mapping,
evaluation_00,2,train:062,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_00,2,train:018,staged,wrong_variant_mapping,
evaluation_01,0,train:063,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_01,0,train:025,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_01,1,train:063,staged,wrong_variant_mapping,
evaluation_01,1,train:090,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_01,2,train:063,staged,wrong_variant_mapping,
evaluation_02,0,train:073,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_02,1,train:073,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_02,2,train:073,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_03,0,train:037,staged,wrong_variant_mapping,
evaluation_03,1,train:037,staged,wrong_variant_mapping,
evaluation_03,2,train:037,staged,wrong_variant_mapping,
evaluation_04,0,train:039,staged,wrong_variant_mapping,
evaluation_04,0,train:123,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_04,1,train:039,staged,wrong_variant_mapping,
evaluation_04,2,train:039,staged,wrong_variant_mapping,
evaluation_05,0,train:041,staged,wrong_or_incomplete_item_list;wrong_variant_mapping,
evaluation_05,0,train:098,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_05,1,train:041,staged,wrong_variant_mapping,
evaluation_05,1,train:098,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_05,2,train:041,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_05,2,train:098,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_07,0,train:115,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_07,1,train:051,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_07,1,train:115,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_07,2,train:115,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_08,0,train:118,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_08,1,train:118,staged,wrong_variant_mapping,
evaluation_08,2,train:118,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_09,0,train:120,staged,wrong_variant_mapping,
evaluation_09,0,train:054,staged,wrong_or_incomplete_item_list,
evaluation_09,1,train:120,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_09,1,train:054,staged,wrong_or_incomplete_item_list,
evaluation_09,2,train:120,staged,wrong_variant_mapping,
evaluation_09,2,train:054,staged,wrong_or_incomplete_item_list,
evaluation_10,0,train:126,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_10,1,train:126,staged,wrong_variant_mapping,
evaluation_10,2,train:126,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_11,0,train:133,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_11,1,train:133,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_11,2,train:133,staged,wrong_variant_mapping,
evaluation_12,0,train:152,staged,wrong_variant_mapping,
evaluation_12,1,train:152,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_12,2,train:152,workflow_failed,unstaged_failure,
evaluation_13,0,train:171,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_13,0,train:163,staged,wrong_variant_mapping,
evaluation_13,1,train:163,staged,wrong_variant_mapping,
evaluation_13,2,train:163,staged,wrong_variant_mapping,
evaluation_14,0,train:072,staged,wrong_variant_mapping,
evaluation_14,0,train:188,staged,wrong_variant_mapping,
evaluation_14,1,train:072,staged,wrong_variant_mapping,
evaluation_14,1,train:188,staged,wrong_variant_mapping,
evaluation_14,1,train:175,workflow_failed,unstaged_failure,Maximum agent tool-call steps reached
evaluation_14,2,train:072,staged,wrong_variant_mapping,
evaluation_14,2,train:188,staged,wrong_variant_mapping,
